,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,114838000.0,49011000.0,153558000.0,-3069000.0,
Repurchase Of Capital Stock,-16978000.0,-11547000.0,-25394000.0,-46125000.0,
Repayment Of Debt,0.0,0.0,,,
Issuance Of Debt,0.0,0.0,,,
Issuance Of Capital Stock,,0.0,0.0,1028228000.0,0.0
Capital Expenditure,-52305000.0,-48694000.0,-47354000.0,-26380000.0,
End Cash Position,378610000.0,262973000.0,359295000.0,319185000.0,
Beginning Cash Position,262973000.0,359295000.0,319185000.0,111196000.0,
Effect Of Exchange Rate Changes,25115000.0,-14203000.0,-13185000.0,-10013000.0,
Changes In Cash,90522000.0,-82119000.0,53295000.0,218002000.0,
Financing Cash Flow,-66573000.0,-34844000.0,-75320000.0,549363000.0,
Net Other Financing Charges,-7166000.0,-2246000.0,-29440000.0,-244920000.0,
Cash Dividends Paid,-40425000.0,-20322000.0,-17895000.0,-186718000.0,
Common Stock Dividend Paid,-40425000.0,-20322000.0,-17895000.0,-186718000.0,
Net Common Stock Issuance,-16978000.0,-11547000.0,-25394000.0,982103000.0,
Common Stock Payments,-16978000.0,-11547000.0,-25394000.0,-46125000.0,
Common Stock Issuance,,0.0,0.0,1028228000.0,0.0
Net Issuance Payments Of Debt,0.0,0.0,,,
Net Long Term Debt Issuance,0.0,0.0,,,
Long Term Debt Payments,0.0,0.0,,,
Long Term Debt Issuance,0.0,0.0,,,
Investing Cash Flow,-10048000.0,-144980000.0,-72297000.0,-354672000.0,
Dividends Received Cfi,,,0.0,0.0,
Net Investment Purchase And Sale,44394000.0,-50232000.0,-24943000.0,-194548000.0,
Sale Of Investment,45324000.0,0.0,1617000.0,0.0,
Purchase Of Investment,-930000.0,-50232000.0,-26560000.0,-194548000.0,
Net Business Purchase And Sale,-2137000.0,-46054000.0,0.0,-133744000.0,
Sale Of Business,0.0,11507000.0,0.0,59986000.0,
Purchase Of Business,-2137000.0,-57561000.0,0.0,-193730000.0,
Net PPE Purchase And Sale,-52305000.0,-48694000.0,-47354000.0,-26380000.0,
Purchase Of PPE,-52305000.0,-48694000.0,-47354000.0,-26380000.0,
Operating Cash Flow,167143000.0,97705000.0,200912000.0,23311000.0,
Taxes Refund Paid,-44306000.0,-39708000.0,-13407000.0,-3961000.0,
Interest Paid Cfo,-760000.0,-1642000.0,-4124000.0,-934000.0,
Change In Working Capital,-22708000.0,-65754000.0,-6503000.0,-112495000.0,
Change In Other Current Liabilities,-255000.0,2702000.0,-54574000.0,6514000.0,
Change In Other Current Assets,,94000.0,0.0,-23866000.0,0.0
Change In Payable,65309000.0,56200000.0,-40105000.0,-21403000.0,
Change In Prepaid Assets,1972000.0,-3720000.0,-3571000.0,2361000.0,
Change In Inventory,12451000.0,13993000.0,15217000.0,-22064000.0,
Change In Receivables,-109542000.0,-129881000.0,76530000.0,-54037000.0,
Other Non Cash Items,-11628000.0,-2223000.0,-31201000.0,2804000.0,
Stock Based Compensation,7205000.0,8624000.0,,,
Provisionand Write Offof Assets,-3837000.0,0.0,,,
Depreciation And Amortization,66625000.0,58652000.0,63540000.0,33561000.0,
Depreciation,66625000.0,58652000.0,63540000.0,33561000.0,
Gain Loss On Investment Securities,4291000.0,7853000.0,19518000.0,,
Net Foreign Currency Exchange Gain Loss,0.0,0.0,0.0,0.0,
Gain Loss On Sale Of Business,,,-28500000.0,0.0,
Net Income From Continuing Operations,164290000.0,131903000.0,136230000.0,108638000.0,
