,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,788942000.0,989162000.0,1259240000.0,4252450000.0,
Repayment Of Debt,,,,0.0,-229313000.0
Issuance Of Debt,,,,,0.0
Capital Expenditure,-1099000.0,-4000.0,-202000.0,,
End Cash Position,287950000.0,246204000.0,408700000.0,294709000.0,
Beginning Cash Position,246204000.0,408700000.0,294709000.0,62563000.0,
Changes In Cash,41746000.0,-162496000.0,113991000.0,232146000.0,
Financing Cash Flow,-747196000.0,-1151658000.0,-1145322000.0,-4020304000.0,
Net Other Financing Charges,0.0,0.0,0.0,0.0,
Interest Paid Cff,,,-1145322000.0,-4020304000.0,-887855000.0
Cash Dividends Paid,-747196000.0,-1151658000.0,-1145322000.0,-4020304000.0,
Common Stock Dividend Paid,-747196000.0,-1151658000.0,-1145322000.0,-4020304000.0,
Net Issuance Payments Of Debt,,,,0.0,-229313000.0
Net Long Term Debt Issuance,,,,0.0,-229313000.0
Long Term Debt Payments,,,,0.0,-229313000.0
Long Term Debt Issuance,,,,,0.0
Investing Cash Flow,-1099000.0,-4000.0,-129000.0,0.0,
Net Investment Purchase And Sale,,,,,0.0
Sale Of Investment,,,,,0.0
Net PPE Purchase And Sale,-1099000.0,-4000.0,-129000.0,0.0,
Sale Of PPE,,0.0,73000.0,0.0,
Purchase Of PPE,-1099000.0,-4000.0,-202000.0,0.0,
Operating Cash Flow,790041000.0,989166000.0,1259442000.0,4252450000.0,
Taxes Refund Paid,-37175000.0,-32623000.0,-30671000.0,-24365000.0,
Interest Received Cfo,738081000.0,967607000.0,1153350000.0,4268473000.0,
Change In Working Capital,97354000.0,62520000.0,128036000.0,14602000.0,
Change In Other Current Liabilities,-2659000.0,-2585000.0,3719000.0,1071000.0,
Change In Other Current Assets,100013000.0,65105000.0,124317000.0,13531000.0,
Other Non Cash Items,-1200427000.0,-1904957000.0,-3718948000.0,-8085521000.0,
Gain Loss On Investment Securities,,,,,0.0
Net Income From Continuing Operations,1192208000.0,1896619000.0,3727675000.0,8079261000.0,
