,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,1050490000.0,-4335209000.0,-1461673000.0,-303900000.0,
Repurchase Of Capital Stock,-167399000.0,0.0,0.0,,
Repayment Of Debt,-3960891000.0,-122773000.0,-3052000.0,-733694000.0,
Issuance Of Debt,3884350000.0,8854087000.0,1000000000.0,47124000.0,
Issuance Of Capital Stock,7336000.0,901377000.0,13790000.0,3014897000.0,
Capital Expenditure,-803570000.0,-5343907000.0,-1551978000.0,-366739000.0,
End Cash Position,3171958000.0,1754106000.0,800442000.0,118725000.0,
Beginning Cash Position,1754106000.0,800442000.0,118725000.0,287942000.0,
Effect Of Exchange Rate Changes,45168000.0,-127566000.0,-8878000.0,4642000.0,
Changes In Cash,1372684000.0,1081230000.0,690595000.0,-173859000.0,
Financing Cash Flow,-1456986000.0,8691277000.0,957331000.0,2092691000.0,
Net Other Financing Charges,110756000.0,-307356000.0,-19274000.0,-119023000.0,
Interest Paid Cff,-1086380000.0,-614031000.0,-26906000.0,-115852000.0,
Cash Dividends Paid,-94531000.0,,,,
Net Common Stock Issuance,-160063000.0,901377000.0,13790000.0,3014897000.0,
Common Stock Payments,-167399000.0,0.0,0.0,,
Common Stock Issuance,7336000.0,901377000.0,13790000.0,3014897000.0,
Net Issuance Payments Of Debt,-76541000.0,8731314000.0,996948000.0,-686570000.0,
Net Long Term Debt Issuance,-76541000.0,8731314000.0,996948000.0,-686570000.0,
Long Term Debt Payments,-3960891000.0,-122773000.0,-3052000.0,-733694000.0,
Long Term Debt Issuance,3884350000.0,8854087000.0,1000000000.0,47124000.0,
Investing Cash Flow,975610000.0,-8618745000.0,-357041000.0,-2329389000.0,
Net Other Investing Changes,-2662658000.0,-1098025000.0,-454683000.0,-4599000.0,
Interest Received Cfi,,0.0,0.0,0.0,
Dividends Received Cfi,,0.0,0.0,0.0,
Net Investment Purchase And Sale,2753185000.0,-2176813000.0,2241569000.0,-1913198000.0,
Purchase Of Investment,,,,-1913198000.0,-417520000.0
Net Business Purchase And Sale,,,0.0,0.0,0.0
Purchase Of Business,,,0.0,0.0,0.0
Net Intangibles Purchase And Sale,-330105000.0,-35551000.0,-1316216000.0,-219078000.0,
Purchase Of Intangibles,-330105000.0,-35551000.0,-1316216000.0,-219078000.0,
Net PPE Purchase And Sale,1222201000.0,-5308356000.0,-235762000.0,-147661000.0,
Sale Of PPE,1695666000.0,0.0,0.0,,28192000.0
Purchase Of PPE,-473465000.0,-5308356000.0,-235762000.0,-147661000.0,
Operating Cash Flow,1854060000.0,1008698000.0,90305000.0,62839000.0,
Taxes Refund Paid,-243434000.0,-209388000.0,-86741000.0,-36599000.0,
Change In Working Capital,-774534000.0,-554087000.0,-448474000.0,-156840000.0,
Change In Other Current Liabilities,19837000.0,-108094000.0,64930000.0,-688000.0,
Change In Other Current Assets,174877000.0,-3916000.0,-337595000.0,-145008000.0,
Change In Accrued Expense,16006000.0,47886000.0,39518000.0,13177000.0,
Change In Payable,163526000.0,302190000.0,193059000.0,31697000.0,
Change In Prepaid Assets,-403388000.0,-65882000.0,-308180000.0,-8868000.0,
Change In Inventory,-185378000.0,-580177000.0,-113217000.0,0.0,
Change In Receivables,-560014000.0,-146094000.0,13011000.0,-47150000.0,
Other Non Cash Items,1758004000.0,1002687000.0,125262000.0,180109000.0,
Stock Based Compensation,-16065000.0,21002000.0,33793000.0,3343000.0,
Provisionand Write Offof Assets,-232527000.0,68921000.0,23097000.0,11453000.0,
Deferred Tax,-420102000.0,-43809000.0,-428590000.0,-64423000.0,
Depreciation And Amortization,1246205000.0,620100000.0,279302000.0,117368000.0,
Amortization Cash Flow,,328522000.0,158741000.0,87003000.0,27067000.0
Depreciation,1246205000.0,620100000.0,279302000.0,30365000.0,
Gain Loss On Investment Securities,328556000.0,-276170000.0,353808000.0,154614000.0,
Net Foreign Currency Exchange Gain Loss,1096602000.0,-88667000.0,-13349000.0,-4120000.0,
Net Income From Continuing Operations,-909691000.0,425215000.0,127716000.0,15991000.0,
