,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,8353807000.0,1522805000.0,-1192752000.0,948832000.0,
Repurchase Of Capital Stock,-1288242000.0,0.0,0.0,-27721000.0,
Repayment Of Debt,-4852511000.0,-7632391000.0,-4634268000.0,-2100774000.0,
Issuance Of Debt,2344762000.0,3836483000.0,3392613000.0,2990782000.0,
Issuance Of Capital Stock,0.0,5313241000.0,5275444000.0,0.0,
Capital Expenditure,-2422935000.0,-2416592000.0,-3069136000.0,-2974804000.0,
End Cash Position,11165364000.0,9264664000.0,8130929000.0,7528820000.0,
Beginning Cash Position,9264664000.0,8130929000.0,7528820000.0,7576625000.0,
Effect Of Exchange Rate Changes,1349849000.0,170019000.0,-271026000.0,149826000.0,
Changes In Cash,550851000.0,963716000.0,873135000.0,-197631000.0,
Financing Cash Flow,-6727312000.0,-861837000.0,2255538000.0,-572476000.0,
Cash From Discontinued Financing Activities,,,,0.0,0.0
Cash Flow From Continuing Financing Activities,-6727312000.0,-861837000.0,2255538000.0,-572476000.0,
Net Other Financing Charges,-110041000.0,-699345000.0,-259950000.0,-241396000.0,
Interest Paid Cff,-1676827000.0,-1679825000.0,-1518301000.0,-1193367000.0,
Cash Dividends Paid,-1144453000.0,0.0,0.0,0.0,
Common Stock Dividend Paid,-1144453000.0,0.0,0.0,,
Net Common Stock Issuance,-1288242000.0,5313241000.0,5275444000.0,-27721000.0,
Common Stock Payments,-1288242000.0,0.0,0.0,-27721000.0,
Common Stock Issuance,0.0,5313241000.0,5275444000.0,0.0,
Net Issuance Payments Of Debt,-2507749000.0,-3795908000.0,-1241655000.0,890008000.0,
Net Long Term Debt Issuance,-2507749000.0,-3795908000.0,-1241655000.0,890008000.0,
Long Term Debt Payments,-4852511000.0,-7632391000.0,-4634268000.0,-2100774000.0,
Long Term Debt Issuance,2344762000.0,3836483000.0,3392613000.0,2990782000.0,
Investing Cash Flow,-3498579000.0,-2113844000.0,-3258787000.0,-3548791000.0,
Cash From Discontinued Investing Activities,,0.0,0.0,-17550000.0,0.0
Cash Flow From Continuing Investing Activities,-3498579000.0,-2113844000.0,-3258787000.0,-3531241000.0,
Net Other Investing Changes,-258484000.0,12851000.0,-2074000.0,400000.0,
Net Investment Purchase And Sale,-850326000.0,-60711000.0,1111000.0,235245000.0,
Sale Of Investment,36425000.0,,1111000.0,252171000.0,26352000.0
Purchase Of Investment,-886751000.0,-60711000.0,0.0,-16926000.0,
Net Business Purchase And Sale,-45173000.0,182904000.0,-251233000.0,-850918000.0,
Sale Of Business,0.0,183672000.0,0.0,134721000.0,
Purchase Of Business,-45173000.0,-768000.0,-251233000.0,-985639000.0,
Net Intangibles Purchase And Sale,-158945000.0,-167601000.0,-228734000.0,-179632000.0,
Purchase Of Intangibles,-158945000.0,-167601000.0,-228734000.0,-179632000.0,
Net PPE Purchase And Sale,-731426000.0,-624113000.0,-1390188000.0,-1496590000.0,
Sale Of PPE,78339000.0,167704000.0,62545000.0,58836000.0,
Purchase Of PPE,-809765000.0,-791817000.0,-1452733000.0,-1555426000.0,
Capital Expenditure Reported,-1454225000.0,-1457174000.0,-1387669000.0,-1239746000.0,
Operating Cash Flow,10776742000.0,3939397000.0,1876384000.0,3923636000.0,
Cash From Discontinued Operating Activities,,,,,0.0
Cash Flow From Continuing Operating Activities,10776742000.0,3939397000.0,1876384000.0,3923636000.0,
Taxes Refund Paid,-260967000.0,-397872000.0,-292385000.0,-399252000.0,
Interest Received Cfo,923798000.0,455827000.0,281989000.0,106388000.0,
Interest Paid Cfo,,,,,-1421539000.0
Dividend Received Cfo,,,0.0,0.0,
Dividend Paid Cfo,0.0,-851000.0,,,
Change In Working Capital,-758613000.0,-1554840000.0,-1095285000.0,-1096357000.0,
Change In Other Working Capital,,,,-622179000.0,24216000.0
Change In Other Current Liabilities,,,-843467000.0,790946000.0,620232000.0
Change In Payables And Accrued Expense,-1155516000.0,-3295127000.0,-1366667000.0,2210960000.0,
Change In Payable,-1155516000.0,-3295127000.0,-1366667000.0,2210960000.0,
Change In Account Payable,-1155516000.0,-3295127000.0,-1366667000.0,2210960000.0,
Change In Inventory,411455000.0,2346837000.0,415979000.0,-3694206000.0,
Change In Receivables,-14552000.0,-606550000.0,-144597000.0,386889000.0,
Changes In Account Receivables,,,-144597000.0,386889000.0,-481192000.0
Other Non Cash Items,2449218000.0,4114277000.0,2529031000.0,2688887000.0,
Provisionand Write Offof Assets,,-172117000.0,554460000.0,2793000.0,61185000.0
Asset Impairment Charge,,-96094000.0,56337000.0,128680000.0,132242000.0
Deferred Tax,1357206000.0,26891000.0,549098000.0,-800385000.0,
Deferred Income Tax,1357206000.0,26891000.0,549098000.0,-800385000.0,
Depreciation Amortization Depletion,3524504000.0,3224782000.0,2991705000.0,2746354000.0,
Depreciation And Amortization,3524504000.0,3224782000.0,2991705000.0,2746354000.0,
Depreciation,3524504000.0,3224782000.0,2991705000.0,2746354000.0,
Operating Gains Losses,-150308000.0,-59965000.0,2909000.0,29214000.0,
Pension And Employee Benefit Expense,,281867000.0,-10190000.0,170425000.0,283065000.0
Earnings Losses From Equity Investments,13675000.0,3264000.0,-1076000.0,0.0,
Gain Loss On Sale Of PPE,-163983000.0,-63229000.0,3985000.0,-141211000.0,
Net Income From Continuing Operations,3691904000.0,-1868852000.0,-3090678000.0,517314000.0,
