,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,16282974000.0,5734890000.0,620180000.0,3442825000.0,
Repayment Of Debt,,-94957000.0,-3071752000.0,,
Issuance Of Debt,,0.0,300201000.0,1661994000.0,0.0
Capital Expenditure,-241465000.0,-320503000.0,-220782000.0,-221172000.0,
End Cash Position,1792236000.0,5665478000.0,3439759000.0,6630661000.0,
Beginning Cash Position,5665478000.0,3439759000.0,6630255000.0,6980155000.0,
Effect Of Exchange Rate Changes,0.0,-13681000.0,-12487000.0,34928000.0,
Changes In Cash,-3873242000.0,2239400000.0,-3178009000.0,-384422000.0,
Financing Cash Flow,-511205000.0,-469215000.0,-3128178000.0,932280000.0,
Net Other Financing Charges,-3097000.0,569000.0,3868000.0,213000.0,
Interest Paid Cff,-433182000.0,-454957000.0,-345520000.0,-706728000.0,
Cash Dividends Paid,-74926000.0,-14827000.0,-14975000.0,-23199000.0,
Common Stock Dividend Paid,-74926000.0,-14827000.0,-14975000.0,-23199000.0,
Net Issuance Payments Of Debt,,-94957000.0,-2771551000.0,1661994000.0,0.0
Net Long Term Debt Issuance,,-94957000.0,-2771551000.0,1661994000.0,0.0
Long Term Debt Payments,,-94957000.0,-3071752000.0,,
Long Term Debt Issuance,,0.0,300201000.0,1661994000.0,0.0
Investing Cash Flow,-19886476000.0,-3346778000.0,-890793000.0,-4980699000.0,
Dividends Received Cfi,80660000.0,94848000.0,37494000.0,40499000.0,
Net Investment Purchase And Sale,-19758163000.0,-3138110000.0,-730647000.0,-4807323000.0,
Sale Of Investment,12184000.0,3251000.0,35181000.0,9677000.0,
Purchase Of Investment,-19770347000.0,-3141361000.0,-765828000.0,-4817000000.0,
Net Business Purchase And Sale,,,,,-3872000.0
Sale Of Business,,,,,2434000.0
Purchase Of Business,,,,,-6306000.0
Net Intangibles Purchase And Sale,-64197000.0,-165081000.0,-126116000.0,-130907000.0,
Sale Of Intangibles,1138000.0,0.0,19000.0,2508000.0,
Purchase Of Intangibles,-65335000.0,-165081000.0,-126135000.0,-133415000.0,
Net PPE Purchase And Sale,-144776000.0,-138435000.0,-71524000.0,-82968000.0,
Sale Of PPE,31354000.0,16987000.0,23123000.0,4789000.0,
Purchase Of PPE,-176130000.0,-155422000.0,-94647000.0,-87757000.0,
Operating Cash Flow,16524439000.0,6055393000.0,840962000.0,3663997000.0,
Taxes Refund Paid,-378085000.0,-411481000.0,-282587000.0,-388343000.0,
Change In Working Capital,13413228000.0,3458772000.0,-647882000.0,816660000.0,
Change In Other Current Liabilities,6508777000.0,7259904000.0,3009928000.0,5576717000.0,
Change In Other Current Assets,-75823000.0,143690000.0,13505000.0,131944000.0,
Change In Payable,-64226000.0,197873000.0,76444000.0,106026000.0,
Change In Receivables,186700000.0,25602000.0,-53742000.0,-60418000.0,
Other Non Cash Items,585285000.0,428552000.0,-433409000.0,335648000.0,
Provisionand Write Offof Assets,1847528000.0,1122015000.0,1159804000.0,1354400000.0,
Deferred Tax,,,,0.0,-176622000.0
Depreciation And Amortization,408977000.0,370821000.0,353191000.0,244870000.0,
Amortization Cash Flow,219865000.0,,,,
Depreciation,189112000.0,370821000.0,353191000.0,244870000.0,
Net Foreign Currency Exchange Gain Loss,0.0,13681000.0,12487000.0,-12441000.0,
Net Income From Continuing Operations,760953000.0,1177645000.0,760426000.0,1356033000.0,
