,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,7872000.0,-145735000.0,-45110000.0,-40256000.0,
Repurchase Of Capital Stock,-424440000.0,0.0,0.0,-10989000.0,
Repayment Of Debt,-328000.0,-585000.0,-6972000.0,-1326000.0,
Issuance Of Debt,,,,,13000000.0
Issuance Of Capital Stock,,,0.0,427500000.0,334678000.0
Capital Expenditure,-24685000.0,-10702000.0,-2088000.0,-7469000.0,
End Cash Position,37365000.0,69361000.0,455772000.0,514749000.0,
Beginning Cash Position,69361000.0,455772000.0,514749000.0,331207000.0,
Effect Of Exchange Rate Changes,1931000.0,386000.0,-4673000.0,-2427000.0,
Changes In Cash,-33927000.0,-386797000.0,-54304000.0,185969000.0,
Financing Cash Flow,-421347000.0,-585000.0,-6974000.0,387088000.0,
Net Other Financing Charges,3431000.0,,,,-62000.0
Cash Dividends Paid,-10000.0,,-2000.0,-4665000.0,
Common Stock Dividend Paid,-10000.0,0.0,-2000.0,,
Net Common Stock Issuance,-424440000.0,0.0,0.0,416511000.0,
Common Stock Payments,-424440000.0,0.0,0.0,-10989000.0,
Common Stock Issuance,,,0.0,427500000.0,334678000.0
Net Issuance Payments Of Debt,-328000.0,-585000.0,-6972000.0,-1326000.0,
Net Long Term Debt Issuance,-328000.0,-585000.0,-6972000.0,-1326000.0,
Long Term Debt Payments,-328000.0,-585000.0,-6972000.0,-1326000.0,
Long Term Debt Issuance,,,,,13000000.0
Investing Cash Flow,354863000.0,-251179000.0,-4308000.0,-168332000.0,
Net Other Investing Changes,-56000.0,-131000.0,-15846000.0,-4347000.0,
Dividends Received Cfi,0.0,0.0,,,
Net Investment Purchase And Sale,385481000.0,-379631000.0,-6496000.0,-85000.0,
Sale Of Investment,,,4000.0,,
Purchase Of Investment,,-379631000.0,-6496000.0,-85000.0,-4000000.0
Net Business Purchase And Sale,-2900000.0,138657000.0,52133000.0,-138436000.0,
Sale Of Business,0.0,138657000.0,52133000.0,11341000.0,
Purchase Of Business,-2900000.0,0.0,0.0,-149777000.0,
Net Intangibles Purchase And Sale,-24685000.0,-10702000.0,-2088000.0,-7469000.0,
Purchase Of Intangibles,-24685000.0,-10702000.0,-2088000.0,-7469000.0,
Net PPE Purchase And Sale,70000.0,628000.0,489000.0,5000.0,
Sale Of PPE,70000.0,628000.0,489000.0,5000.0,
Purchase Of PPE,,,,,-1024000.0
Operating Cash Flow,32557000.0,-135033000.0,-43022000.0,-32787000.0,
Taxes Refund Paid,-14354000.0,-14468000.0,-3311000.0,-2412000.0,
Interest Paid Cfo,43000.0,-41000.0,-68000.0,-125000.0,
Change In Working Capital,-1718000.0,-122051000.0,35733000.0,772000.0,
Change In Other Current Liabilities,-14693000.0,-105699000.0,43716000.0,38360000.0,
Change In Other Current Assets,22071000.0,19745000.0,-53922000.0,-497000.0,
Change In Payable,5013000.0,5037000.0,4849000.0,4993000.0,
Change In Receivables,-14109000.0,-41134000.0,41090000.0,-42084000.0,
Other Non Cash Items,-5372000.0,-6987000.0,-36715000.0,11261000.0,
Stock Based Compensation,2951000.0,446000.0,22633000.0,3955000.0,
Provisionand Write Offof Assets,-3496000.0,9568000.0,-11605000.0,-1028000.0,
Deferred Tax,1494000.0,-281000.0,1176000.0,0.0,
Depreciation And Amortization,11090000.0,19929000.0,13683000.0,4567000.0,
Depreciation,11090000.0,19929000.0,13683000.0,4567000.0,
Gain Loss On Investment Securities,-19250000.0,-17803000.0,3467000.0,,
Net Foreign Currency Exchange Gain Loss,-823000.0,224000.0,1924000.0,1545000.0,
Gain Loss On Sale Of PPE,148000.0,76000.0,1235000.0,3000.0,
Net Income From Continuing Operations,17120000.0,-9847000.0,-71889000.0,-51325000.0,
