,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,841633000.0,1376459000.0,3495663000.0,-4925580000.0,
Repurchase Of Capital Stock,-77163000.0,-44825000.0,0.0,,
Repayment Of Debt,-12374263000.0,-12838402000.0,-6701998000.0,-5220909000.0,
Issuance Of Debt,12032957000.0,10772063000.0,5849349000.0,11375468000.0,
Capital Expenditure,-6330912000.0,-5440952000.0,-2989921000.0,-9515726000.0,
End Cash Position,4187905000.0,4548717000.0,5229073000.0,4593600000.0,
Beginning Cash Position,4548717000.0,5229073000.0,4593600000.0,3548987000.0,
Effect Of Exchange Rate Changes,16923000.0,-1003000.0,-4232000.0,-2793000.0,
Changes In Cash,-377735000.0,-679353000.0,639705000.0,1047406000.0,
Financing Cash Flow,-1564864000.0,-2679293000.0,-1822275000.0,4668939000.0,
Net Other Financing Charges,53832000.0,-96543000.0,-152270000.0,18117000.0,
Interest Paid Cff,0.0,-187000.0,0.0,-1107894000.0,
Cash Dividends Paid,-748651000.0,-382393000.0,-769079000.0,-275179000.0,
Common Stock Dividend Paid,,,-769079000.0,-275179000.0,-972795000.0
Net Common Stock Issuance,-77163000.0,-44825000.0,0.0,,
Common Stock Payments,-77163000.0,-44825000.0,0.0,,
Net Issuance Payments Of Debt,-341306000.0,-2066339000.0,-852649000.0,6154559000.0,
Net Long Term Debt Issuance,-341306000.0,-2066339000.0,-852649000.0,6154559000.0,
Long Term Debt Payments,-12374263000.0,-12838402000.0,-6701998000.0,-5220909000.0,
Long Term Debt Issuance,12032957000.0,10772063000.0,5849349000.0,11375468000.0,
Investing Cash Flow,-5985416000.0,-4817471000.0,-4023604000.0,-8211679000.0,
Net Other Investing Changes,-248310000.0,-89510000.0,-103472000.0,-66128000.0,
Net Investment Purchase And Sale,572817000.0,675573000.0,-1519453000.0,1370175000.0,
Sale Of Investment,572817000.0,675573000.0,0.0,1370175000.0,
Purchase Of Investment,,0.0,-1519453000.0,0.0,
Net Business Purchase And Sale,-461000.0,0.0,587239000.0,0.0,
Sale Of Business,0.0,0.0,587239000.0,0.0,
Purchase Of Business,-461000.0,0.0,0.0,0.0,
Net Intangibles Purchase And Sale,-5906015000.0,-5104159000.0,-2693619000.0,-9336411000.0,
Purchase Of Intangibles,-5906015000.0,-5104159000.0,-2693619000.0,-9336411000.0,
Net PPE Purchase And Sale,-403447000.0,-299375000.0,-296302000.0,-179315000.0,
Sale Of PPE,21450000.0,37418000.0,,,
Purchase Of PPE,-424897000.0,-336793000.0,-296302000.0,-179315000.0,
Capital Expenditure Reported,,,,,-915000.0
Operating Cash Flow,7172545000.0,6817411000.0,6485584000.0,4590146000.0,
Dividend Received Cfo,261004000.0,251935000.0,228753000.0,70171000.0,
Change In Working Capital,-188887000.0,-67127000.0,-91363000.0,-1791275000.0,
Change In Other Current Liabilities,-67457000.0,-61861000.0,-14477000.0,81626000.0,
Change In Other Current Assets,-3645000.0,-124907000.0,376067000.0,-1480609000.0,
Change In Payable,261935000.0,473412000.0,839659000.0,-187576000.0,
Change In Prepaid Assets,-117886000.0,-137122000.0,-123819000.0,-113533000.0,
Change In Inventory,-119344000.0,-147821000.0,-149175000.0,,
Change In Receivables,195395000.0,78107000.0,-989025000.0,-5725000.0,
Other Non Cash Items,1484454000.0,662192000.0,-3151145000.0,1272877000.0,
Provisionand Write Offof Assets,659989000.0,593458000.0,395680000.0,156492000.0,
Deferred Tax,-16915000.0,226080000.0,1700783000.0,378422000.0,
Depreciation And Amortization,1716427000.0,1573148000.0,1732920000.0,3152785000.0,
Amortization Cash Flow,140653000.0,135108000.0,162947000.0,166449000.0,
Depreciation,1575774000.0,1438040000.0,1569973000.0,2986336000.0,
Pension And Employee Benefit Expense,20317000.0,10463000.0,0.0,,
Gain Loss On Investment Securities,372480000.0,103875000.0,-325820000.0,-23730000.0,
Net Foreign Currency Exchange Gain Loss,26418000.0,-38182000.0,-56087000.0,57154000.0,
Net Income From Continuing Operations,1311615000.0,1854501000.0,4212180000.0,805596000.0,
