,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-5999000.0,54866000.0,-46978000.0,-61784000.0,
Repayment Of Debt,-213347000.0,-236845000.0,-135240000.0,-77328000.0,
Issuance Of Debt,240406000.0,296666000.0,153765000.0,73706000.0,
Capital Expenditure,-64779000.0,-42682000.0,-24419000.0,-18260000.0,
End Cash Position,5879000.0,81941000.0,16146000.0,14326000.0,
Beginning Cash Position,81941000.0,16146000.0,14326000.0,13307000.0,
Changes In Cash,-76062000.0,65795000.0,1820000.0,1019000.0,
Financing Cash Flow,-63350000.0,9693000.0,40339000.0,50797000.0,
Net Other Financing Charges,-83335000.0,-39857000.0,28242000.0,59409000.0,
Net Issuance Payments Of Debt,27059000.0,59821000.0,18525000.0,-3622000.0,
Net Long Term Debt Issuance,27059000.0,59821000.0,18525000.0,-3622000.0,
Long Term Debt Payments,-213347000.0,-236845000.0,-135240000.0,-77328000.0,
Long Term Debt Issuance,240406000.0,296666000.0,153765000.0,73706000.0,
Investing Cash Flow,-71492000.0,-41446000.0,-15960000.0,-6254000.0,
Net Investment Purchase And Sale,-6713000.0,825000.0,3998000.0,12005000.0,
Sale Of Investment,,825000.0,3998000.0,12005000.0,
Purchase Of Investment,,0.0,0.0,0.0,-3754000.0
Net PPE Purchase And Sale,-64779000.0,-42271000.0,-19958000.0,-18259000.0,
Sale Of PPE,0.0,411000.0,4461000.0,1000.0,
Purchase Of PPE,-64779000.0,-42682000.0,-24419000.0,-18260000.0,
Operating Cash Flow,58780000.0,97548000.0,-22559000.0,-43524000.0,
Interest Paid Cfo,-63701000.0,-67564000.0,-65761000.0,-34254000.0,
Change In Working Capital,-73102000.0,-51395000.0,-50575000.0,-75151000.0,
Change In Other Current Liabilities,-764000.0,-3538000.0,3282000.0,1442000.0,
Change In Other Current Assets,-3157000.0,-273000.0,864000.0,-1632000.0,
Change In Accrued Expense,,,,-1610000.0,26938000.0
Change In Payable,-18339000.0,-133367000.0,-17964000.0,63901000.0,
Change In Inventory,-20710000.0,20937000.0,-3516000.0,-90337000.0,
Change In Receivables,-30941000.0,94532000.0,-33993000.0,-51240000.0,
Other Non Cash Items,80900000.0,87593000.0,90441000.0,45326000.0,
Provisionand Write Offof Assets,6515000.0,3348000.0,5087000.0,2578000.0,
Depreciation And Amortization,23190000.0,23595000.0,21667000.0,18711000.0,
Depreciation,23190000.0,23595000.0,21667000.0,18711000.0,
Gain Loss On Sale Of PPE,1802000.0,0.0,1536000.0,320000.0,
Gain Loss On Sale Of Business,0.0,0.0,0.0,0.0,
Net Income From Continuing Operations,82128000.0,101185000.0,-23673000.0,-1846000.0,
