,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,2859000000.0,2188000000.0,2673000000.0,752000000.0
Repayment Of Debt,-2612000000.0,-2109000000.0,-1659000000.0,-1146000000.0
Issuance Of Debt,3702000000.0,3390000000.0,3486000000.0,4428000000.0
End Cash Position,1525000000.0,956000000.0,1002000000.0,650000000.0
Beginning Cash Position,956000000.0,1002000000.0,650000000.0,474000000.0
Changes In Cash,569000000.0,-46000000.0,352000000.0,176000000.0
Financing Cash Flow,667000000.0,276000000.0,386000000.0,1913000000.0
Net Other Financing Charges,319000000.0,229000000.0,272000000.0,383000000.0
Cash Dividends Paid,-711000000.0,-1166000000.0,-1674000000.0,-1711000000.0
Common Stock Dividend Paid,-711000000.0,-1166000000.0,-1674000000.0,-1711000000.0
Net Issuance Payments Of Debt,1090000000.0,1281000000.0,1827000000.0,3282000000.0
Net Long Term Debt Issuance,1090000000.0,1281000000.0,1827000000.0,3282000000.0
Long Term Debt Payments,-2612000000.0,-2109000000.0,-1659000000.0,-1146000000.0
Long Term Debt Issuance,3702000000.0,3390000000.0,3486000000.0,4428000000.0
Investing Cash Flow,-2957000000.0,-2510000000.0,-2707000000.0,-2489000000.0
Net Other Investing Changes,-2948000000.0,-2546000000.0,-2724000000.0,-2448000000.0
Net Investment Purchase And Sale,-9000000.0,36000000.0,17000000.0,-41000000.0
Sale Of Investment,160000000.0,871000000.0,111000000.0,21000000.0
Purchase Of Investment,-169000000.0,-835000000.0,-94000000.0,-62000000.0
Operating Cash Flow,2859000000.0,2188000000.0,2673000000.0,752000000.0
Taxes Refund Paid,,,0.0,-208000000.0
Interest Paid Cfo,-1129000000.0,-1030000000.0,-873000000.0,-393000000.0
Change In Working Capital,-127000000.0,-602000000.0,287000000.0,-1449000000.0
Change In Other Current Assets,178000000.0,-6000000.0,722000000.0,-811000000.0
Change In Accrued Expense,-94000000.0,-84000000.0,-13000000.0,-37000000.0
Change In Payable,-28000000.0,187000000.0,-590000000.0,-103000000.0
Change In Receivables,-69000000.0,-598000000.0,245000000.0,-435000000.0
Other Non Cash Items,1550000000.0,1388000000.0,420000000.0,-131000000.0
Provisionand Write Offof Assets,-754000000.0,-665000000.0,81000000.0,84000000.0
Deferred Tax,416000000.0,199000000.0,340000000.0,404000000.0
Depreciation And Amortization,966000000.0,872000000.0,772000000.0,674000000.0
Depreciation,966000000.0,872000000.0,772000000.0,674000000.0
Pension And Employee Benefit Expense,78000000.0,71000000.0,54000000.0,58000000.0
Gain Loss On Investment Securities,-640000000.0,632000000.0,514000000.0,-36000000.0
Net Foreign Currency Exchange Gain Loss,763000000.0,-354000000.0,-303000000.0,106000000.0
Net Income From Continuing Operations,1808000000.0,1839000000.0,1567000000.0,1669000000.0
