,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,4577000000.0,5382000000.0,6252000000.0,3452000000.0,
Repayment Of Debt,-3047000000.0,-2746000000.0,-2679000000.0,-4507000000.0,
Issuance Of Debt,4582000000.0,1988000000.0,1981000000.0,13000000.0,
Capital Expenditure,-919000000.0,-1264000000.0,-292000000.0,-233000000.0,
End Cash Position,1898000000.0,1537000000.0,1441000000.0,825000000.0,
Beginning Cash Position,1537000000.0,1441000000.0,825000000.0,1680000000.0,
Changes In Cash,361000000.0,96000000.0,616000000.0,-855000000.0,
Financing Cash Flow,-2759000000.0,-2581000000.0,-2792000000.0,-5910000000.0,
Cash Flow From Continuing Financing Activities,-2759000000.0,-2581000000.0,-2792000000.0,-5910000000.0,
Interest Paid Cff,,-1823000000.0,-2094000000.0,-1416000000.0,-598000000.0
Cash Dividends Paid,-4294000000.0,-1823000000.0,-2094000000.0,-1416000000.0,
Net Issuance Payments Of Debt,1535000000.0,-758000000.0,-698000000.0,-4494000000.0,
Net Long Term Debt Issuance,1535000000.0,-758000000.0,-698000000.0,-4494000000.0,
Long Term Debt Payments,-3047000000.0,-2746000000.0,-2679000000.0,-4507000000.0,
Long Term Debt Issuance,4582000000.0,1988000000.0,1981000000.0,13000000.0,
Investing Cash Flow,-2376000000.0,-3969000000.0,-3136000000.0,1370000000.0,
Cash From Discontinued Investing Activities,,,,0.0,0.0
Cash Flow From Continuing Investing Activities,-2376000000.0,-3969000000.0,-3136000000.0,1370000000.0,
Net Other Investing Changes,-4644000000.0,-3679000000.0,-3112000000.0,-1755000000.0,
Net Investment Purchase And Sale,293000000.0,342000000.0,268000000.0,2047000000.0,
Sale Of Investment,16924000000.0,12360000000.0,14420000000.0,2047000000.0,
Purchase Of Investment,-16631000000.0,-12018000000.0,-14152000000.0,0.0,
Net Business Purchase And Sale,2793000000.0,632000000.0,0.0,1311000000.0,
Sale Of Business,2794000000.0,669000000.0,52000000.0,1367000000.0,
Purchase Of Business,-1000000.0,-37000000.0,-52000000.0,-56000000.0,
Net Intangibles Purchase And Sale,-248000000.0,-188000000.0,-119000000.0,-51000000.0,
Purchase Of Intangibles,-248000000.0,-188000000.0,-119000000.0,-51000000.0,
Net PPE Purchase And Sale,-570000000.0,-1076000000.0,-173000000.0,-182000000.0,
Sale Of PPE,101000000.0,0.0,0.0,,
Purchase Of PPE,-671000000.0,-1076000000.0,-173000000.0,-182000000.0,
Operating Cash Flow,5496000000.0,6646000000.0,6544000000.0,3685000000.0,
Cash From Discontinued Operating Activities,,,,0.0,0.0
Cash Flow From Continuing Operating Activities,5496000000.0,6646000000.0,6544000000.0,3685000000.0,
Taxes Refund Paid,-1136000000.0,-601000000.0,-704000000.0,-500000000.0,
Interest Received Cfo,351000000.0,328000000.0,291000000.0,0.0,
Interest Paid Cfo,-962000000.0,-1031000000.0,-1014000000.0,-1592000000.0,
Dividend Received Cfo,350000000.0,592000000.0,708000000.0,499000000.0,
Change In Working Capital,453000000.0,1064000000.0,3067000000.0,2719000000.0,
Change In Other Working Capital,-323000000.0,-490000000.0,-451000000.0,-492000000.0,
Change In Other Current Liabilities,-317000000.0,-38000000.0,-440000000.0,179000000.0,
Change In Other Current Assets,-194000000.0,154000000.0,278000000.0,-252000000.0,
Change In Payables And Accrued Expense,603000000.0,1191000000.0,861000000.0,1548000000.0,
Change In Accrued Expense,-21000000.0,-21000000.0,35000000.0,12000000.0,
Change In Payable,624000000.0,1212000000.0,826000000.0,1536000000.0,
Change In Account Payable,-65000000.0,185000000.0,149000000.0,325000000.0,
Change In Tax Payable,689000000.0,1027000000.0,677000000.0,1211000000.0,
Change In Income Tax Payable,689000000.0,1027000000.0,677000000.0,1211000000.0,
Change In Receivables,684000000.0,247000000.0,2819000000.0,1736000000.0,
Changes In Account Receivables,-553000000.0,-839000000.0,-440000000.0,-90000000.0,
Other Non Cash Items,-2927000000.0,-365000000.0,703000000.0,-1835000000.0,
Unrealized Gain Loss On Investment Securities,0.0,0.0,172000000.0,0.0,
Provisionand Write Offof Assets,85000000.0,594000000.0,433000000.0,375000000.0,
Asset Impairment Charge,140000000.0,89000000.0,75000000.0,58000000.0,
Deferred Tax,1726000000.0,-825000000.0,-2334000000.0,-1527000000.0,
Deferred Income Tax,1726000000.0,-825000000.0,-2334000000.0,-1527000000.0,
Depreciation Amortization Depletion,1376000000.0,1274000000.0,1182000000.0,1049000000.0,
Depreciation And Amortization,1376000000.0,1274000000.0,1182000000.0,1049000000.0,
Operating Gains Losses,-1079000000.0,-240000000.0,-129000000.0,686000000.0,
Pension And Employee Benefit Expense,488000000.0,611000000.0,666000000.0,86000000.0,
Earnings Losses From Equity Investments,-224000000.0,-432000000.0,-843000000.0,-182000000.0,
Gain Loss On Investment Securities,-147000000.0,177000000.0,438000000.0,538000000.0,
Net Foreign Currency Exchange Gain Loss,464000000.0,-277000000.0,-338000000.0,353000000.0,
Gain Loss On Sale Of PPE,-43000000.0,0.0,0.0,-109000000.0,
Net Income From Continuing Operations,7119000000.0,5767000000.0,4094000000.0,3753000000.0,
