,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,9994156000.0,6802778000.0,-1775577000.0,7705767000.0,
Repurchase Of Capital Stock,-324341000.0,0.0,-2093000.0,-651017000.0,
Repayment Of Debt,-365970000.0,-1157621000.0,-406339000.0,-91059000.0,
Issuance Of Debt,489360000.0,1417778000.0,,,
Issuance Of Capital Stock,,1417778000.0,4011171000.0,4543248000.0,130668000.0
Capital Expenditure,-1762531000.0,-1443585000.0,-1191025000.0,-1336004000.0,
End Cash Position,15185928000.0,9795878000.0,6489572000.0,10716802000.0,
Beginning Cash Position,9795878000.0,6489572000.0,10716802000.0,2972521000.0,
Effect Of Exchange Rate Changes,-8472000.0,3069000.0,-5240000.0,,0.0
Changes In Cash,5398522000.0,3303237000.0,-4221990000.0,7744281000.0,
Financing Cash Flow,-4594195000.0,-3734414000.0,-2099170000.0,38514000.0,
Net Other Financing Charges,,,,,130668000.0
Interest Paid Cff,-766661000.0,-307369000.0,-1155231000.0,-404941000.0,
Cash Dividends Paid,-3560041000.0,-3546896000.0,-4283404000.0,-3204666000.0,
Common Stock Dividend Paid,,,,,-2380000000.0
Net Common Stock Issuance,-324341000.0,0.0,4009078000.0,3892231000.0,
Common Stock Payments,-324341000.0,0.0,-2093000.0,-651017000.0,
Common Stock Issuance,,1417778000.0,4011171000.0,4543248000.0,130668000.0
Net Issuance Payments Of Debt,123390000.0,260157000.0,-406339000.0,-91059000.0,
Net Long Term Debt Issuance,123390000.0,260157000.0,-406339000.0,-91059000.0,
Long Term Debt Payments,-365970000.0,-1157621000.0,-406339000.0,-91059000.0,
Long Term Debt Issuance,489360000.0,1417778000.0,,,
Investing Cash Flow,-1763970000.0,-1208712000.0,-1538268000.0,-1336004000.0,
Net Investment Purchase And Sale,-1439000.0,234873000.0,-30302000.0,,
Purchase Of Investment,,,-30302000.0,,
Net Business Purchase And Sale,,0.0,-316941000.0,,
Sale Of Business,,0.0,41693000.0,,
Purchase Of Business,,0.0,-358634000.0,,
Net PPE Purchase And Sale,-1762531000.0,-1443585000.0,-1191025000.0,-1336004000.0,
Purchase Of PPE,-1762531000.0,-1443585000.0,-1191025000.0,-1336004000.0,
Capital Expenditure Reported,,,,,-641924000.0
Operating Cash Flow,11756687000.0,8246363000.0,-584552000.0,9041771000.0,
Taxes Refund Paid,-1281048000.0,-1256025000.0,-2872697000.0,-2300048000.0,
Interest Paid Cfo,-678258000.0,-557623000.0,-295972000.0,-75489000.0,
Dividend Received Cfo,54167000.0,38679000.0,31387000.0,19304000.0,
Change In Working Capital,6058567000.0,3854464000.0,-2448518000.0,1153109000.0,
Change In Other Current Liabilities,49706000.0,-33440000.0,-1053840000.0,1166075000.0,
Change In Other Current Assets,6032696000.0,4095136000.0,-496160000.0,-913398000.0,
Change In Payable,287330000.0,346217000.0,442060000.0,-483832000.0,
Change In Prepaid Assets,-523109000.0,128671000.0,78463000.0,95240000.0,
Change In Inventory,-190938000.0,-383198000.0,-453452000.0,-743686000.0,
Change In Receivables,394420000.0,-309699000.0,-972101000.0,2023341000.0,
Other Non Cash Items,605275000.0,555742000.0,296796000.0,103673000.0,
Provisionand Write Offof Assets,10473000.0,68420000.0,-54295000.0,11933000.0,
Deferred Tax,1221407000.0,1237821000.0,1030104000.0,2833678000.0,
Depreciation And Amortization,1150476000.0,1042129000.0,1000269000.0,752109000.0,
Amortization Cash Flow,,36184000.0,,,
Depreciation,1150476000.0,1042129000.0,1000269000.0,752109000.0,
Gain Loss On Investment Securities,306292000.0,733325000.0,100610000.0,28350000.0,
Net Foreign Currency Exchange Gain Loss,-78950000.0,-92360000.0,-179941000.0,248814000.0,
Net Income From Continuing Operations,4527719000.0,3568737000.0,2950298000.0,6370966000.0,
