,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,1693175000.0,505868000.0,897003000.0,123370000.0,
Repayment Of Debt,-2308933000.0,-2018178000.0,-1277103000.0,-693865000.0,
Issuance Of Debt,1610080000.0,3091531000.0,2530019000.0,1870050000.0,
Capital Expenditure,-55315000.0,-32882000.0,,-1167941000.0,-974132000.0
End Cash Position,214124000.0,96665000.0,182558000.0,204316000.0,
Beginning Cash Position,96665000.0,182558000.0,204316000.0,166015000.0,
Changes In Cash,117459000.0,-85893000.0,-21758000.0,38301000.0,
Financing Cash Flow,-177275000.0,667939000.0,1068739000.0,1073662000.0,
Net Other Financing Charges,564608000.0,-220172000.0,-23252000.0,104209000.0,
Cash Dividends Paid,-20860000.0,-173659000.0,-140608000.0,-199501000.0,
Common Stock Dividend Paid,,,,,-90217000.0
Net Issuance Payments Of Debt,-698853000.0,1073353000.0,1252916000.0,1176185000.0,
Net Long Term Debt Issuance,-698853000.0,1073353000.0,1252916000.0,1176185000.0,
Long Term Debt Payments,-2308933000.0,-2018178000.0,-1277103000.0,-693865000.0,
Long Term Debt Issuance,1610080000.0,3091531000.0,2530019000.0,1870050000.0,
Investing Cash Flow,-1453756000.0,-1292582000.0,-1987500000.0,-1158731000.0,
Net Other Investing Changes,-1495891000.0,-1248675000.0,-1981248000.0,-1170459000.0,
Net Investment Purchase And Sale,97450000.0,-11025000.0,-6252000.0,11728000.0,
Purchase Of Investment,,,,,-15343000.0
Net PPE Purchase And Sale,-55315000.0,-32882000.0,,-1167941000.0,-974132000.0
Purchase Of PPE,-55315000.0,-32882000.0,,-1167941000.0,-974132000.0
Capital Expenditure Reported,,,,,-974132000.0
Operating Cash Flow,1748490000.0,538750000.0,897003000.0,123370000.0,
Taxes Refund Paid,94309000.0,0.0,-124099000.0,-240226000.0,
Interest Paid Cfo,-517862000.0,-438075000.0,-394029000.0,-117063000.0,
Change In Working Capital,465078000.0,-563496000.0,96912000.0,-437435000.0,
Change In Other Current Liabilities,555221000.0,146485000.0,200876000.0,-148646000.0,
Change In Other Current Assets,43319000.0,27636000.0,342386000.0,-599767000.0,
Change In Accrued Expense,22694000.0,-15510000.0,10455000.0,-11297000.0,
Change In Payable,6399000.0,-744276000.0,-546572000.0,663409000.0,
Change In Receivables,-162555000.0,22169000.0,89767000.0,-341134000.0,
Other Non Cash Items,992000.0,-367835000.0,-35285000.0,-3970000.0,
Provisionand Write Offof Assets,64531000.0,404608000.0,113124000.0,188552000.0,
Deferred Tax,45656000.0,129375000.0,-19664000.0,-19898000.0,
Depreciation And Amortization,646208000.0,541680000.0,408084000.0,341068000.0,
Depreciation,646208000.0,541680000.0,408084000.0,341068000.0,
Pension And Employee Benefit Expense,11686000.0,9683000.0,8192000.0,8649000.0,
Gain Loss On Investment Securities,85824000.0,-63963000.0,266026000.0,-45836000.0,
Net Foreign Currency Exchange Gain Loss,467796000.0,621885000.0,,,
Gain Loss On Sale Of PPE,667000.0,16000.0,22905000.0,354000.0,
Net Income From Continuing Operations,464914000.0,315476000.0,640570000.0,488587000.0,
