,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,5246765000.0,4008482000.0,5440858000.0,372352000.0,
Repurchase Of Capital Stock,-192915000.0,-103283000.0,-84591000.0,-26101000.0,
Repayment Of Debt,-12881900000.0,-8544775000.0,-15678626000.0,-10386107000.0,
Issuance Of Debt,16983225000.0,12785628000.0,23886960000.0,12548547000.0,
Issuance Of Capital Stock,0.0,0.0,2370000.0,69155000.0,
Capital Expenditure,-7834521000.0,-6267962000.0,-4531374000.0,-4774839000.0,
Income Tax Paid Supplemental Data,1200228000.0,361726000.0,318845000.0,462120000.0,
End Cash Position,16903542000.0,14658481000.0,13301716000.0,16174130000.0,
Beginning Cash Position,14658481000.0,13301716000.0,16174130000.0,13642918000.0,
Effect Of Exchange Rate Changes,257900000.0,-100004000.0,-404341000.0,511465000.0,
Changes In Cash,1987161000.0,1456769000.0,-2468073000.0,2019747000.0,
Financing Cash Flow,-6605868000.0,-4516583000.0,8286259000.0,2348721000.0,
Cash From Discontinued Financing Activities,,,,0.0,0.0
Cash Flow From Continuing Financing Activities,-6605868000.0,-4516583000.0,8286259000.0,2348721000.0,
Net Other Financing Charges,-1929930000.0,-2268869000.0,5737503000.0,5234306000.0,
Interest Paid Cff,-5137245000.0,-3789240000.0,-3653589000.0,-2487169000.0,
Proceeds From Stock Option Exercised,0.0,-13597000.0,-15597000.0,-45024000.0,
Cash Dividends Paid,-3447103000.0,-2582447000.0,-1908171000.0,-2558886000.0,
Preferred Stock Dividend Paid,-668022000.0,0.0,0.0,,-174227000.0
Common Stock Dividend Paid,-2779081000.0,-2582447000.0,-1908171000.0,,-590769000.0
Net Common Stock Issuance,-192915000.0,-103283000.0,-82221000.0,43054000.0,
Common Stock Payments,-192915000.0,-103283000.0,-84591000.0,-26101000.0,
Common Stock Issuance,0.0,0.0,2370000.0,69155000.0,
Net Issuance Payments Of Debt,4101325000.0,4240853000.0,8208334000.0,2162440000.0,
Net Long Term Debt Issuance,4101325000.0,4240853000.0,8208334000.0,2162440000.0,
Long Term Debt Payments,-12881900000.0,-8544775000.0,-15678626000.0,-10386107000.0,
Long Term Debt Issuance,16983225000.0,12785628000.0,23886960000.0,12548547000.0,
Investing Cash Flow,-4488257000.0,-4303092000.0,-20726564000.0,-5476165000.0,
Cash From Discontinued Investing Activities,24510000.0,62700000.0,44969000.0,0.0,
Cash Flow From Continuing Investing Activities,-4512767000.0,-4365792000.0,-20771533000.0,-5476165000.0,
Net Other Investing Changes,42012000.0,-60498000.0,-58179000.0,27338000.0,
Dividends Received Cfi,1312706000.0,2466849000.0,1452898000.0,836155000.0,
Net Investment Purchase And Sale,2951861000.0,142019000.0,-12269296000.0,-557960000.0,
Sale Of Investment,3379775000.0,814080000.0,2116768000.0,197679000.0,
Purchase Of Investment,-427914000.0,-672061000.0,-14386064000.0,-755639000.0,
Net Business Purchase And Sale,-1021759000.0,-650837000.0,-5374901000.0,-1009949000.0,
Sale Of Business,0.0,99040000.0,0.0,0.0,
Purchase Of Business,-1021759000.0,-749877000.0,-5374901000.0,-1009949000.0,
Net PPE Purchase And Sale,-7797587000.0,-6263325000.0,-4522055000.0,-4771749000.0,
Sale Of PPE,36934000.0,4637000.0,9319000.0,3090000.0,
Purchase Of PPE,-7834521000.0,-6267962000.0,-4531374000.0,-4774839000.0,
Capital Expenditure Reported,,,,,-1052502000.0
Operating Cash Flow,13081286000.0,10276444000.0,9972232000.0,5147191000.0,
Cash Flow From Continuing Operating Activities,13081286000.0,10276444000.0,9972232000.0,5147191000.0,
Change In Working Capital,-2653652000.0,-2450595000.0,-708196000.0,-1454666000.0,
Change In Other Working Capital,-2788802000.0,-2580133000.0,-1387359000.0,-1435509000.0,
Change In Other Current Liabilities,-35467000.0,-563164000.0,44720000.0,50856000.0,
Change In Other Current Assets,,2894000.0,,,-181756000.0
Change In Payables And Accrued Expense,-535268000.0,202131000.0,1064200000.0,579177000.0,
Change In Payable,-535268000.0,202131000.0,1064200000.0,579177000.0,
Change In Account Payable,-180867000.0,-252810000.0,510616000.0,591975000.0,
Change In Tax Payable,-354401000.0,454941000.0,553584000.0,155712000.0,
Change In Income Tax Payable,-354401000.0,454941000.0,553584000.0,155712000.0,
Change In Prepaid Assets,,,,,24624000.0
Change In Inventory,159667000.0,-83166000.0,-423430000.0,-245174000.0,
Change In Receivables,546218000.0,573737000.0,-6327000.0,-404016000.0,
Changes In Account Receivables,546218000.0,573737000.0,-6327000.0,-404016000.0,
Other Non Cash Items,9959965000.0,9059935000.0,6798795000.0,2263062000.0,
Stock Based Compensation,65901000.0,207713000.0,99088000.0,53131000.0,
Provisionand Write Offof Assets,366715000.0,278864000.0,399227000.0,261132000.0,
Asset Impairment Charge,4672396000.0,0.0,0.0,,
Deferred Tax,-6030000.0,-33384000.0,-110541000.0,-648315000.0,
Deferred Income Tax,-6030000.0,-33384000.0,-110541000.0,-648315000.0,
Depreciation Amortization Depletion,3868583000.0,3364943000.0,3014480000.0,2504384000.0,
Depreciation And Amortization,3868583000.0,3364943000.0,3014480000.0,2504384000.0,
Depreciation,,,,,623084000.0
Operating Gains Losses,2052527000.0,-5264783000.0,-2173246000.0,-4082413000.0,
Pension And Employee Benefit Expense,454930000.0,419241000.0,380967000.0,358053000.0,
Earnings Losses From Equity Investments,-489051000.0,-2046344000.0,-326718000.0,-4720856000.0,
Gain Loss On Investment Securities,-926889000.0,-3654696000.0,-2240530000.0,287685000.0,
Net Income From Continuing Operations,-5245119000.0,5113751000.0,2652625000.0,6250876000.0,
