,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,3156170000.0,2884489000.0,-3333535000.0,11928556000.0,
Repurchase Of Capital Stock,-336162000.0,,-410568000.0,-1516388000.0,
Repayment Of Debt,-7235584000.0,-10132253000.0,-10938853000.0,-17753481000.0,
Issuance Of Debt,10148426000.0,15638624000.0,20187894000.0,12845544000.0,
Issuance Of Capital Stock,,,,1347862000.0,
Capital Expenditure,-5494335000.0,-4408119000.0,-5376328000.0,-2864707000.0,
End Cash Position,23310197000.0,16046218000.0,11991356000.0,16646480000.0,
Beginning Cash Position,16046218000.0,11991356000.0,16646480000.0,9944586000.0,
Effect Of Exchange Rate Changes,-162959000.0,27797000.0,9589000.0,-9438000.0,
Changes In Cash,7426938000.0,4027065000.0,-4664713000.0,6711332000.0,
Financing Cash Flow,-103832000.0,1323583000.0,4747026000.0,-8529859000.0,
Cash Flow From Continuing Financing Activities,-103832000.0,1323583000.0,4747026000.0,-8529859000.0,
Net Other Financing Charges,-145187000.0,-201917000.0,-334709000.0,-162852000.0,
Cash Dividends Paid,-2535325000.0,-3980871000.0,-3756738000.0,-3290544000.0,
Common Stock Dividend Paid,-2535325000.0,-3980871000.0,-3756738000.0,-3290544000.0,
Net Common Stock Issuance,-336162000.0,,-410568000.0,-168526000.0,
Common Stock Payments,-336162000.0,,-410568000.0,-1516388000.0,
Common Stock Issuance,,,,1347862000.0,
Net Issuance Payments Of Debt,2912842000.0,5506371000.0,9249041000.0,-4907937000.0,
Net Long Term Debt Issuance,2912842000.0,5506371000.0,9249041000.0,-4907937000.0,
Long Term Debt Payments,-7235584000.0,-10132253000.0,-10938853000.0,-17753481000.0,
Long Term Debt Issuance,10148426000.0,15638624000.0,20187894000.0,12845544000.0,
Investing Cash Flow,-1119735000.0,-4589126000.0,-11454532000.0,447928000.0,
Cash Flow From Continuing Investing Activities,-1119735000.0,-4589126000.0,-11454532000.0,447928000.0,
Net Other Investing Changes,-83521000.0,-93880000.0,-119536000.0,-123656000.0,
Net Investment Purchase And Sale,38335000.0,-201890000.0,-641193000.0,4427793000.0,
Sale Of Investment,70335000.0,136678000.0,21568000.0,4724150000.0,
Purchase Of Investment,-32000000.0,-338568000.0,-662761000.0,-296357000.0,
Net Business Purchase And Sale,4419786000.0,114763000.0,-5317475000.0,-991502000.0,
Sale Of Business,4419786000.0,114763000.0,1205666000.0,54768000.0,
Purchase Of Business,,,-6523141000.0,-991502000.0,0.0
Net Intangibles Purchase And Sale,,,-2024118000.0,,0.0
Purchase Of Intangibles,,,-2024118000.0,,0.0
Net PPE Purchase And Sale,-5494335000.0,-4408119000.0,-3352210000.0,-2864707000.0,
Purchase Of PPE,-5494335000.0,-4408119000.0,-3352210000.0,-2864707000.0,
Operating Cash Flow,8650505000.0,7292608000.0,2042793000.0,14793263000.0,
Cash Flow From Continuing Operating Activities,8650505000.0,7292608000.0,2042793000.0,14793263000.0,
Interest Paid Cfo,-4052226000.0,-3428721000.0,-2315586000.0,-2137782000.0,
Dividend Paid Cfo,-44859000.0,-52516000.0,-113697000.0,-196838000.0,
Change In Working Capital,4478756000.0,4689666000.0,-4666683000.0,512405000.0,
Change In Other Working Capital,7165560000.0,4698951000.0,-763116000.0,-715411000.0,
Change In Payables And Accrued Expense,-2331797000.0,-576795000.0,-1663340000.0,6228074000.0,
Change In Accrued Expense,87140000.0,48200000.0,31894000.0,46653000.0,
Change In Payable,-2418937000.0,-624995000.0,-1695234000.0,6181421000.0,
Change In Account Payable,-2178844000.0,-340006000.0,789409000.0,4989139000.0,
Change In Tax Payable,-215862000.0,-214330000.0,-2505758000.0,1221191000.0,
Change In Income Tax Payable,-215862000.0,-214330000.0,-2505758000.0,1221191000.0,
Change In Prepaid Assets,,,,,50028000.0
Change In Inventory,-906034000.0,1303288000.0,-734991000.0,-6352079000.0,
Change In Receivables,551027000.0,-735778000.0,-1505236000.0,1351821000.0,
Changes In Account Receivables,36788000.0,238509000.0,-1403313000.0,1210507000.0,
Other Non Cash Items,3894695000.0,2418625000.0,3031217000.0,2024099000.0,
Unrealized Gain Loss On Investment Securities,632612000.0,-292346000.0,1293784000.0,11293000.0,
Provisionand Write Offof Assets,294063000.0,280893000.0,-12807000.0,189747000.0,
Asset Impairment Charge,,,-387989000.0,,
Deferred Tax,-1278429000.0,-543415000.0,513036000.0,697951000.0,
Deferred Income Tax,-1278429000.0,-543415000.0,513036000.0,697951000.0,
Depreciation Amortization Depletion,3791413000.0,3379141000.0,2877656000.0,2218192000.0,
Operating Gains Losses,2472621000.0,438632000.0,-343836000.0,-2121425000.0,
Earnings Losses From Equity Investments,-456499000.0,-443569000.0,-237917000.0,-182504000.0,
Gain Loss On Investment Securities,,,,-2978341000.0,
Net Foreign Currency Exchange Gain Loss,2929120000.0,882201000.0,-105919000.0,1039420000.0,
Gain Loss On Sale Of PPE,,,,,12998000.0
Gain Loss On Sale Of Business,,,,,0.0
Net Income From Continuing Operations,-1538141000.0,402649000.0,2167698000.0,13595621000.0,
