,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-510553000.0,-1774873000.0,-1165156000.0,392374000.0,
Repurchase Of Capital Stock,0.0,-107526000.0,0.0,,
Repayment Of Debt,-2074626000.0,-3971446000.0,-2298229000.0,-947958000.0,
Issuance Of Debt,1710000000.0,3300000000.0,6005076000.0,2557630000.0,
Issuance Of Capital Stock,1592857000.0,1673291000.0,0.0,3666273000.0,
Capital Expenditure,-538499000.0,-811249000.0,-1136157000.0,-905805000.0,
End Cash Position,1742762000.0,1585194000.0,1284992000.0,1143026000.0,
Beginning Cash Position,1585194000.0,1284992000.0,1143026000.0,753607000.0,
Changes In Cash,157568000.0,300202000.0,141966000.0,389419000.0,
Financing Cash Flow,503215000.0,284868000.0,1770765000.0,4042958000.0,
Net Other Financing Charges,-353734000.0,-238187000.0,-1373598000.0,-259516000.0,
Interest Paid Cff,,,-1171072000.0,-225885000.0,-142063000.0
Cash Dividends Paid,-10083000.0,,-159241000.0,-220250000.0,-204450000.0
Common Stock Dividend Paid,,,,,-204450000.0
Net Common Stock Issuance,1592857000.0,1565765000.0,0.0,3666273000.0,
Common Stock Payments,0.0,-107526000.0,0.0,,
Common Stock Issuance,1592857000.0,1673291000.0,0.0,3666273000.0,
Net Issuance Payments Of Debt,-364626000.0,-671446000.0,3706847000.0,1609672000.0,
Net Long Term Debt Issuance,-364626000.0,-671446000.0,3706847000.0,1609672000.0,
Long Term Debt Payments,-2074626000.0,-3971446000.0,-2298229000.0,-947958000.0,
Long Term Debt Issuance,1710000000.0,3300000000.0,6005076000.0,2557630000.0,
Investing Cash Flow,-373593000.0,978958000.0,-1599800000.0,-4951718000.0,
Dividends Received Cfi,0.0,0.0,0.0,0.0,
Net Investment Purchase And Sale,-43247000.0,1796696000.0,806800000.0,-1622563000.0,
Sale Of Investment,47118000.0,7534188000.0,10718499000.0,7644577000.0,
Purchase Of Investment,-90365000.0,-5737492000.0,-9911699000.0,-9267140000.0,
Net Business Purchase And Sale,164119000.0,-7636000.0,-1270443000.0,-2423350000.0,
Sale Of Business,195528000.0,0.0,,,566705000.0
Purchase Of Business,-31409000.0,-7636000.0,-1270443000.0,-2423350000.0,
Net Intangibles Purchase And Sale,-63654000.0,-336640000.0,-455209000.0,-257947000.0,
Purchase Of Intangibles,-63654000.0,-336640000.0,-455209000.0,-257947000.0,
Net PPE Purchase And Sale,-430811000.0,-473462000.0,-680948000.0,-647858000.0,
Sale Of PPE,44034000.0,1147000.0,0.0,,88910000.0
Purchase Of PPE,-474845000.0,-474609000.0,-680948000.0,-647858000.0,
Operating Cash Flow,27946000.0,-963624000.0,-28999000.0,1298179000.0,
Taxes Refund Paid,-225624000.0,-174598000.0,-81674000.0,-77848000.0,
Interest Paid Cfo,-1548910000.0,-1898769000.0,-1368681000.0,,
Change In Working Capital,-1172925000.0,-1451400000.0,-1202923000.0,-94485000.0,
Change In Other Current Liabilities,0.0,-828000.0,,,
Change In Other Current Assets,173643000.0,-94939000.0,-356504000.0,220858000.0,
Change In Payable,-118515000.0,-551595000.0,42634000.0,-124182000.0,
Change In Inventory,-28650000.0,26138000.0,-84697000.0,46231000.0,
Change In Receivables,-1199403000.0,-830176000.0,-804356000.0,-237392000.0,
Other Non Cash Items,1870925000.0,1894332000.0,2027543000.0,343439000.0,
Stock Based Compensation,-47450000.0,66590000.0,23353000.0,695242000.0,
Provisionand Write Offof Assets,214162000.0,148894000.0,-62857000.0,11531000.0,
Deferred Tax,129116000.0,97941000.0,65521000.0,-118998000.0,
Depreciation And Amortization,1366818000.0,1296305000.0,1111523000.0,929761000.0,
Depreciation,1366818000.0,1296305000.0,1111523000.0,929761000.0,
Gain Loss On Investment Securities,306082000.0,36215000.0,26616000.0,-3463000.0,
Gain Loss On Sale Of Business,203109000.0,16820000.0,,,
Net Income From Continuing Operations,-1067357000.0,-995954000.0,-578795000.0,-216937000.0,
