,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-1800000.0,-195135000.0,203020000.0,73292000.0,
Repurchase Of Capital Stock,,0.0,-5540000.0,-31965000.0,-23939000.0
Repayment Of Debt,-694891000.0,-685108000.0,-448007000.0,-319375000.0,
Issuance Of Debt,947528000.0,606893000.0,561490000.0,152795000.0,
Issuance Of Capital Stock,0.0,406882000.0,0.0,50715000.0,
Capital Expenditure,-78054000.0,-24125000.0,-17337000.0,-16712000.0,
End Cash Position,792054000.0,633978000.0,733124000.0,723954000.0,
Beginning Cash Position,633978000.0,733124000.0,723954000.0,731569000.0,
Changes In Cash,158076000.0,-99146000.0,9170000.0,-7615000.0,
Financing Cash Flow,174405000.0,110737000.0,-162053000.0,-10278000.0,
Net Other Financing Charges,456700000.0,97213000.0,-510511000.0,-14863000.0,
Interest Paid Cff,-120390000.0,-145199000.0,-114192000.0,-60821000.0,
Cash Dividends Paid,-358379000.0,-104288000.0,-69964000.0,-100147000.0,
Common Stock Dividend Paid,,,,,-120364000.0
Net Common Stock Issuance,0.0,406882000.0,-5540000.0,18750000.0,
Common Stock Payments,,0.0,-5540000.0,-31965000.0,-23939000.0
Common Stock Issuance,0.0,406882000.0,0.0,50715000.0,
Net Issuance Payments Of Debt,252637000.0,-78215000.0,561490000.0,152795000.0,
Net Long Term Debt Issuance,252637000.0,-78215000.0,561490000.0,152795000.0,
Long Term Debt Payments,-694891000.0,-685108000.0,-448007000.0,-319375000.0,
Long Term Debt Issuance,947528000.0,606893000.0,561490000.0,152795000.0,
Investing Cash Flow,-92583000.0,-38873000.0,-49134000.0,-87341000.0,
Net Other Investing Changes,,-7062000.0,-39351000.0,-11681000.0,-7384000.0
Dividends Received Cfi,51252000.0,35082000.0,8493000.0,11451000.0,
Net Investment Purchase And Sale,12116000.0,62057000.0,-939000.0,-70399000.0,
Sale Of Investment,168542000.0,167831000.0,200016000.0,267432000.0,
Purchase Of Investment,-156426000.0,-105774000.0,-200955000.0,-337831000.0,
Net Business Purchase And Sale,-45079000.0,-120587000.0,-116872000.0,267432000.0,
Sale Of Business,,,,267432000.0,12123000.0
Net Intangibles Purchase And Sale,-24081000.0,-17063000.0,-17337000.0,-14202000.0,
Purchase Of Intangibles,-24081000.0,-17063000.0,-17337000.0,-14202000.0,
Net PPE Purchase And Sale,-53973000.0,-7062000.0,0.0,-2510000.0,
Purchase Of PPE,-53973000.0,-7062000.0,0.0,-2510000.0,
Operating Cash Flow,76254000.0,-171010000.0,220357000.0,90004000.0,
Taxes Refund Paid,-48063000.0,-8299000.0,-37328000.0,-32966000.0,
Change In Working Capital,-748377000.0,-657291000.0,-135944000.0,-248035000.0,
Change In Other Current Liabilities,-21411000.0,-58416000.0,74479000.0,-23930000.0,
Change In Other Current Assets,35511000.0,29360000.0,-4436000.0,-7837000.0,
Change In Accrued Expense,,,,,-2594000.0
Change In Payable,-242497000.0,-336843000.0,-238027000.0,-109855000.0,
Change In Inventory,373743000.0,8918000.0,249188000.0,176187000.0,
Change In Receivables,-868956000.0,-271661000.0,-197812000.0,-267322000.0,
Other Non Cash Items,196938000.0,173806000.0,152403000.0,109450000.0,
Stock Based Compensation,7537000.0,6038000.0,2914000.0,3284000.0,
Provisionand Write Offof Assets,98575000.0,34842000.0,30997000.0,41602000.0,
Deferred Tax,29214000.0,25465000.0,17890000.0,5839000.0,
Depreciation And Amortization,70067000.0,60555000.0,53425000.0,51287000.0,
Depreciation,70067000.0,60555000.0,53425000.0,51287000.0,
Gain Loss On Investment Securities,-235407000.0,-189284000.0,-60424000.0,-30849000.0,
Net Foreign Currency Exchange Gain Loss,,,0.0,1097000.0,7819000.0
Gain Loss On Sale Of Business,,-51695000.0,-83353000.0,-21174000.0,-40572000.0
Net Income From Continuing Operations,792298000.0,436859000.0,301535000.0,229125000.0,
