,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,8860218000.0,4114197000.0,-28428922000.0,5776423000.0,
Repurchase Of Capital Stock,-115099000.0,-1967218000.0,0.0,0.0,
Repayment Of Debt,-18741993000.0,-15962670000.0,-7455770000.0,-8747789000.0,
Issuance Of Debt,29965839000.0,11821045000.0,8500000000.0,4828697000.0,
Issuance Of Capital Stock,0.0,0.0,30648282000.0,0.0,
Capital Expenditure,-3525365000.0,-4121141000.0,-33624411000.0,-1188584000.0,
End Cash Position,26572522000.0,13046371000.0,10739126000.0,192659000.0,
Other Cash Adjustment Outside Changein Cash,,,,0.0,0.0
Beginning Cash Position,13046371000.0,10739126000.0,192659000.0,286607000.0,
Changes In Cash,13526151000.0,2307245000.0,10546467000.0,-93948000.0,
Financing Cash Flow,9800889000.0,-6755131000.0,30072386000.0,-6060508000.0,
Cash From Discontinued Financing Activities,0.0,0.0,-174814000.0,2105924000.0,
Cash Flow From Continuing Financing Activities,9800889000.0,-6755131000.0,30247200000.0,-8166432000.0,
Net Other Financing Charges,,217904000.0,44746000.0,-499734000.0,-2676370000.0
Cash Dividends Paid,-1307858000.0,-864192000.0,-1490058000.0,-3747606000.0,
Net Common Stock Issuance,-115099000.0,-1967218000.0,30648282000.0,0.0,
Common Stock Payments,-115099000.0,-1967218000.0,0.0,0.0,
Common Stock Issuance,0.0,0.0,30648282000.0,0.0,
Net Issuance Payments Of Debt,11223846000.0,-4141625000.0,1044230000.0,-3919092000.0,
Net Long Term Debt Issuance,11223846000.0,-4141625000.0,1044230000.0,-3919092000.0,
Long Term Debt Payments,-18741993000.0,-15962670000.0,-7455770000.0,-8747789000.0,
Long Term Debt Issuance,29965839000.0,11821045000.0,8500000000.0,4828697000.0,
Investing Cash Flow,-8660321000.0,827038000.0,-24721408000.0,-998447000.0,
Cash From Discontinued Investing Activities,0.0,952036000.0,3079754000.0,-1503660000.0,
Cash Flow From Continuing Investing Activities,-8660321000.0,-124998000.0,-27801162000.0,505213000.0,
Net Other Investing Changes,-4872841000.0,-2681093000.0,963806000.0,1379080000.0,
Interest Received Cfi,529802000.0,4066478000.0,3763966000.0,589071000.0,
Net Investment Purchase And Sale,-615274000.0,4050236000.0,1169784000.0,0.0,
Sale Of Investment,2449160000.0,4050236000.0,1169784000.0,0.0,
Purchase Of Investment,-3064434000.0,-450000000.0,-254498000.0,0.0,
Net Business Purchase And Sale,-176643000.0,-1439478000.0,-74307000.0,-274354000.0,
Sale Of Business,,,1349975000.0,0.0,941779000.0
Purchase Of Business,-176643000.0,-1439478000.0,-74307000.0,-274354000.0,
Net Intangibles Purchase And Sale,-425891000.0,-258371000.0,-32038772000.0,-103494000.0,
Purchase Of Intangibles,-425891000.0,-258371000.0,-32038772000.0,-103494000.0,
Net PPE Purchase And Sale,-3099474000.0,-3862770000.0,-1585639000.0,-1085090000.0,
Purchase Of PPE,-3099474000.0,-3862770000.0,-1585639000.0,-1085090000.0,
Operating Cash Flow,12385583000.0,8235338000.0,5195489000.0,6965007000.0,
Cash From Discontinued Operating Activities,0.0,0.0,-2908844000.0,-600801000.0,
Cash Flow From Continuing Operating Activities,12385583000.0,8235338000.0,8104333000.0,7565808000.0,
Taxes Refund Paid,-1488382000.0,-2930778000.0,-2607461000.0,-2463047000.0,
Interest Received Cfo,,,,,662713000.0
Interest Paid Cfo,-6650869000.0,-5512449000.0,-3211343000.0,-2176135000.0,
Dividend Received Cfo,1506336000.0,1329703000.0,1494560000.0,2175585000.0,
Change In Working Capital,907552000.0,-1908810000.0,-969676000.0,1356092000.0,
Change In Other Working Capital,,-162275000.0,104964000.0,,193363000.0
Change In Other Current Liabilities,-240167000.0,-62695000.0,-222756000.0,-124214000.0,
Change In Other Current Assets,1426184000.0,583179000.0,-899776000.0,-444561000.0,
Change In Payables And Accrued Expense,-1390139000.0,-1339923000.0,456256000.0,253633000.0,
Change In Accrued Expense,-775899000.0,-813498000.0,222345000.0,213739000.0,
Change In Payable,-614240000.0,-526425000.0,233911000.0,39894000.0,
Change In Account Payable,-614240000.0,-526425000.0,233911000.0,39894000.0,
Change In Prepaid Assets,,,,,-73748000.0
Change In Inventory,,,0.0,-303712000.0,42906000.0
Change In Receivables,1111674000.0,-927096000.0,-408364000.0,1671234000.0,
Changes In Account Receivables,1111674000.0,-927096000.0,-408364000.0,1671234000.0,
Other Non Cash Items,725134000.0,6324764000.0,367302000.0,-17061253000.0,
Provisionand Write Offof Assets,-180019000.0,2481054000.0,6928425000.0,14922063000.0,
Asset Impairment Charge,157248000.0,632441000.0,440775000.0,208618000.0,
Depreciation Amortization Depletion,3987775000.0,3621342000.0,2690269000.0,1443285000.0,
Depreciation And Amortization,3987775000.0,3621342000.0,2690269000.0,1443285000.0,
Operating Gains Losses,2800024000.0,2801708000.0,-1362513000.0,-1813675000.0,
Earnings Losses From Equity Investments,-2503207000.0,-2062090000.0,-2369777000.0,-1507418000.0,
Gain Loss On Investment Securities,1940087000.0,1521637000.0,356494000.0,-725826000.0,
Net Foreign Currency Exchange Gain Loss,3363144000.0,3342161000.0,650770000.0,419569000.0,
Gain Loss On Sale Of Business,,,,,-16134000.0
Net Income From Continuing Operations,10620784000.0,1396363000.0,4333995000.0,10974275000.0,
