,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-30766000.0,-47591000.0,-72387000.0,-103108000.0,
Repayment Of Debt,,,,0.0,-8853000.0
Issuance Of Debt,,,,0.0,7500000.0
Issuance Of Capital Stock,1265000.0,1266000.0,1266000.0,1265000.0,
Capital Expenditure,-35690000.0,-37523000.0,-38763000.0,-35105000.0,
End Cash Position,198800000.0,261693000.0,309098000.0,382542000.0,
Beginning Cash Position,261693000.0,309098000.0,382542000.0,486707000.0,
Changes In Cash,-62893000.0,-47405000.0,-73444000.0,-104165000.0,
Financing Cash Flow,-965000.0,-851000.0,-1057000.0,-1057000.0,
Net Common Stock Issuance,1265000.0,1266000.0,1266000.0,1265000.0,
Common Stock Issuance,1265000.0,1266000.0,1266000.0,1265000.0,
Net Issuance Payments Of Debt,,,,0.0,-1353000.0
Net Long Term Debt Issuance,,,,0.0,-1353000.0
Long Term Debt Payments,,,,0.0,-8853000.0
Long Term Debt Issuance,,,,0.0,7500000.0
Investing Cash Flow,-66852000.0,-36486000.0,-38763000.0,-35105000.0,
Net Other Investing Changes,-11147000.0,-600000.0,,,
Dividends Received Cfi,4985000.0,0.0,,,
Net Business Purchase And Sale,-25000000.0,1637000.0,,,
Sale Of Business,0.0,1637000.0,,,
Purchase Of Business,-25000000.0,0.0,,,
Net Intangibles Purchase And Sale,-35690000.0,-37523000.0,-37731000.0,-33022000.0,
Purchase Of Intangibles,-35690000.0,-37523000.0,-37731000.0,-33022000.0,
Net PPE Purchase And Sale,,,-1032000.0,-2083000.0,-961000.0
Purchase Of PPE,,,-1032000.0,-2083000.0,-961000.0
Operating Cash Flow,4924000.0,-10068000.0,-33624000.0,-68003000.0,
Change In Working Capital,-2372000.0,6256000.0,-7304000.0,-8761000.0,
Change In Other Current Liabilities,,-3298000.0,3750000.0,5421000.0,1689000.0
Change In Other Current Assets,2149000.0,-155000.0,12023000.0,3199000.0,
Change In Payable,545000.0,-6866000.0,-2594000.0,5878000.0,
Change In Prepaid Assets,-2993000.0,6209000.0,-8306000.0,-2836000.0,
Change In Receivables,-874000.0,10366000.0,-12177000.0,-20423000.0,
Other Non Cash Items,440000.0,337000.0,438000.0,622000.0,
Stock Based Compensation,3287000.0,10692000.0,21538000.0,46070000.0,
Provisionand Write Offof Assets,-58000.0,501000.0,328000.0,347000.0,
Deferred Tax,,,,0.0,28000.0
Depreciation And Amortization,34379000.0,24961000.0,17803000.0,10484000.0,
Amortization Cash Flow,,,14881000.0,8192000.0,
Depreciation,34379000.0,24961000.0,2922000.0,2292000.0,
Net Income From Continuing Operations,-23935000.0,-52971000.0,-66515000.0,-118785000.0,
