,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,1442373000.0,1025493000.0,574047000.0,605380000.0,
Repurchase Of Capital Stock,-20915000.0,-19491000.0,0.0,-24830000.0,
Repayment Of Debt,-825765000.0,-695299000.0,-320207000.0,-817234000.0,
Issuance Of Debt,2125000000.0,500000000.0,700000000.0,1000000000.0,
Issuance Of Capital Stock,0.0,111000.0,847493000.0,5050000.0,
Capital Expenditure,-488115000.0,-413811000.0,-413086000.0,-413289000.0,
End Cash Position,21788000.0,21920000.0,17256000.0,33722000.0,
Beginning Cash Position,21920000.0,17256000.0,33722000.0,28184000.0,
Changes In Cash,-132000.0,4664000.0,-16466000.0,5538000.0,
Financing Cash Flow,126010000.0,-1417562000.0,380874000.0,-421768000.0,
Net Other Financing Charges,4379000.0,13239000.0,-4585000.0,-3844000.0,
Interest Paid Cff,-411188000.0,-351343000.0,-270088000.0,-91627000.0,
Cash Dividends Paid,-343362000.0,-510109000.0,-337201000.0,-296141000.0,
Common Stock Dividend Paid,-343362000.0,-510109000.0,-337201000.0,-296141000.0,
Net Common Stock Issuance,-20915000.0,-19380000.0,847493000.0,-19780000.0,
Common Stock Payments,-20915000.0,-19491000.0,0.0,-24830000.0,
Common Stock Issuance,0.0,111000.0,847493000.0,5050000.0,
Net Issuance Payments Of Debt,1299235000.0,-195299000.0,379793000.0,182766000.0,
Net Long Term Debt Issuance,1299235000.0,-195299000.0,379793000.0,182766000.0,
Long Term Debt Payments,-825765000.0,-695299000.0,-320207000.0,-817234000.0,
Long Term Debt Issuance,2125000000.0,500000000.0,700000000.0,1000000000.0,
Investing Cash Flow,-2056630000.0,-17078000.0,-1384473000.0,-591363000.0,
Net Other Investing Changes,-24467000.0,-37459000.0,15140000.0,-84000.0,
Dividends Received Cfi,0.0,0.0,,,
Net Investment Purchase And Sale,-1388478000.0,383926000.0,-586171000.0,255532000.0,
Sale Of Investment,,383926000.0,,255532000.0,119000.0
Purchase Of Investment,,-19491000.0,-586171000.0,,-234400000.0
Net Business Purchase And Sale,-155570000.0,50266000.0,-400356000.0,-433522000.0,
Sale Of Business,0.0,176531000.0,,,
Purchase Of Business,-155570000.0,-126265000.0,-400356000.0,-433522000.0,
Net PPE Purchase And Sale,-488115000.0,-413811000.0,-413086000.0,-413289000.0,
Sale Of PPE,,,,,144000.0
Purchase Of PPE,-488115000.0,-413811000.0,-413086000.0,-413289000.0,
Capital Expenditure Reported,,,,,-187816000.0
Operating Cash Flow,1930488000.0,1439304000.0,987133000.0,1018669000.0,
Taxes Refund Paid,-105091000.0,-126481000.0,-189142000.0,-142738000.0,
Change In Working Capital,-198693000.0,-340296000.0,-203849000.0,-7299000.0,
Change In Other Current Liabilities,-64280000.0,-61792000.0,-25307000.0,-5826000.0,
Change In Other Current Assets,-7877000.0,17901000.0,604000.0,8968000.0,
Change In Payable,80079000.0,4422000.0,5331000.0,76379000.0,
Change In Prepaid Assets,,,,870000.0,-5648000.0
Change In Inventory,-19834000.0,3199000.0,-23966000.0,1113000.0,
Change In Receivables,-186781000.0,-304026000.0,-160511000.0,-87933000.0,
Other Non Cash Items,412791000.0,521200000.0,394325000.0,186048000.0,
Stock Based Compensation,21865000.0,18253000.0,16346000.0,10328000.0,
Provisionand Write Offof Assets,225926000.0,152377000.0,47253000.0,39491000.0,
Deferred Tax,185806000.0,118208000.0,100961000.0,145586000.0,
Depreciation And Amortization,779983000.0,675378000.0,455339000.0,389280000.0,
Amortization Cash Flow,234175000.0,185589000.0,119465000.0,,
Depreciation,545808000.0,489789000.0,335874000.0,389280000.0,
Gain Loss On Investment Securities,,,,,326000.0
Net Income From Continuing Operations,603654000.0,420823000.0,308731000.0,351491000.0,
