,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-51859000.0,903816000.0,-189207000.0,137473000.0
Repayment Of Debt,-313612000.0,-161210000.0,-199192000.0,-242339000.0
Issuance Of Debt,500156000.0,94734000.0,157686000.0,271374000.0
Issuance Of Capital Stock,,0.0,629400000.0,0.0
Capital Expenditure,-165843000.0,-133700000.0,-84136000.0,-107563000.0
End Cash Position,844881000.0,1050412000.0,567855000.0,363599000.0
Beginning Cash Position,1050412000.0,567855000.0,363599000.0,443243000.0
Changes In Cash,-205531000.0,482557000.0,204256000.0,-79644000.0
Financing Cash Flow,-118433000.0,-318571000.0,396708000.0,-129336000.0
Interest Paid Cff,-265733000.0,-220080000.0,-164523000.0,-119299000.0
Net Common Stock Issuance,,0.0,629400000.0,0.0
Common Stock Issuance,,0.0,629400000.0,0.0
Net Issuance Payments Of Debt,186544000.0,-66476000.0,-41506000.0,29035000.0
Net Long Term Debt Issuance,186544000.0,-66476000.0,-41506000.0,29035000.0
Long Term Debt Payments,-313612000.0,-161210000.0,-199192000.0,-242339000.0
Long Term Debt Issuance,500156000.0,94734000.0,157686000.0,271374000.0
Investing Cash Flow,-201082000.0,-236388000.0,-87381000.0,-195344000.0
Dividends Received Cfi,0.0,0.0,0.0,0.0
Net Business Purchase And Sale,-35239000.0,-102688000.0,-3245000.0,-87781000.0
Purchase Of Business,-35239000.0,-102688000.0,-3245000.0,-87781000.0
Net PPE Purchase And Sale,-165843000.0,-133700000.0,-84136000.0,-107563000.0
Purchase Of PPE,-165843000.0,-133700000.0,-84136000.0,-107563000.0
Operating Cash Flow,113984000.0,1037516000.0,-105071000.0,245036000.0
Taxes Refund Paid,-92092000.0,-55894000.0,-18662000.0,-39303000.0
Change In Working Capital,-623548000.0,423523000.0,-512139000.0,-132182000.0
Change In Other Current Assets,-617351000.0,493775000.0,-495819000.0,55685000.0
Change In Payable,397822000.0,-88165000.0,-18690000.0,106436000.0
Change In Inventory,-290695000.0,115724000.0,-37024000.0,-324985000.0
Change In Receivables,-113324000.0,-97811000.0,39394000.0,30682000.0
Other Non Cash Items,-110083000.0,-39262000.0,-52397000.0,-4261000.0
Provisionand Write Offof Assets,16835000.0,879000.0,8184000.0,9905000.0
Deferred Tax,168597000.0,137950000.0,45512000.0,15417000.0
Depreciation And Amortization,158712000.0,124695000.0,120079000.0,113514000.0
Amortization Cash Flow,,36287000.0,,
Depreciation,158712000.0,88408000.0,120079000.0,113514000.0
Gain Loss On Investment Securities,-662000.0,300000.0,7137000.0,4035000.0
Net Foreign Currency Exchange Gain Loss,204739000.0,106012000.0,84327000.0,85884000.0
Gain Loss On Sale Of Business,-2472000.0,-57620000.0,5960000.0,2344000.0
Net Income From Continuing Operations,374703000.0,388732000.0,203329000.0,210622000.0
