,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,5434826000.0,5802387000.0,6669083000.0,9324600000.0
Repurchase Of Capital Stock,-1194726000.0,0.0,-1073124000.0,0.0
Repayment Of Debt,-3754083000.0,-3218886000.0,-3511352000.0,-5392475000.0
Issuance Of Debt,3918019000.0,1776786000.0,2266032000.0,749259000.0
Capital Expenditure,-5946417000.0,-5336323000.0,-4481255000.0,-3192333000.0
End Cash Position,7767813000.0,3005645000.0,2475863000.0,4160654000.0
Beginning Cash Position,3005645000.0,2475863000.0,4160654000.0,4617204000.0
Effect Of Exchange Rate Changes,1102479000.0,-710659000.0,-119158000.0,5262000.0
Changes In Cash,3659689000.0,1240441000.0,-1565633000.0,-461812000.0
Financing Cash Flow,-2687204000.0,-4125428000.0,-8256287000.0,-9982642000.0
Cash Flow From Continuing Financing Activities,-2687204000.0,-4125428000.0,-8256287000.0,-9982642000.0
Net Other Financing Charges,,,-46153000.0,
Cash Dividends Paid,-1656414000.0,-2683328000.0,-5891690000.0,-5339426000.0
Net Common Stock Issuance,-1194726000.0,0.0,-1073124000.0,0.0
Common Stock Payments,-1194726000.0,0.0,-1073124000.0,0.0
Net Issuance Payments Of Debt,163936000.0,-1442100000.0,-1245320000.0,-4643216000.0
Net Long Term Debt Issuance,163936000.0,-1442100000.0,-1245320000.0,-4643216000.0
Long Term Debt Payments,-3754083000.0,-3218886000.0,-3511352000.0,-5392475000.0
Long Term Debt Issuance,3918019000.0,1776786000.0,2266032000.0,749259000.0
Investing Cash Flow,-5034350000.0,-5772841000.0,-4459684000.0,-2996103000.0
Cash Flow From Continuing Investing Activities,-5034350000.0,-5772841000.0,-4459684000.0,-2996103000.0
Net Business Purchase And Sale,-647630000.0,-477179000.0,-26751000.0,113595000.0
Sale Of Business,0.0,47006000.0,0.0,113595000.0
Purchase Of Business,-647630000.0,-524185000.0,-26751000.0,0.0
Net Intangibles Purchase And Sale,-168036000.0,-127195000.0,-189382000.0,-166310000.0
Purchase Of Intangibles,-168036000.0,-127195000.0,-189382000.0,-166310000.0
Net PPE Purchase And Sale,-4218684000.0,-5168467000.0,-4243551000.0,-2943388000.0
Sale Of PPE,1559697000.0,40661000.0,48322000.0,82635000.0
Purchase Of PPE,-5778381000.0,-5209128000.0,-4291873000.0,-3026023000.0
Operating Cash Flow,11381243000.0,11138710000.0,11150338000.0,12516933000.0
Cash Flow From Continuing Operating Activities,11381243000.0,11138710000.0,11150338000.0,12516933000.0
Taxes Refund Paid,-1399513000.0,-1560137000.0,-3355643000.0,-2893120000.0
Interest Paid Cfo,-1076073000.0,-986088000.0,-1057221000.0,-1169615000.0
Dividend Received Cfo,414653000.0,461292000.0,425493000.0,117438000.0
Change In Working Capital,1373744000.0,114228000.0,-4626582000.0,-6879836000.0
Change In Payables And Accrued Expense,-1600063000.0,-789516000.0,-2593200000.0,2147882000.0
Change In Payable,-1600063000.0,-789516000.0,-2593200000.0,2147882000.0
Change In Account Payable,-1192990000.0,-355416000.0,-995598000.0,2534329000.0
Change In Inventory,542496000.0,1305424000.0,-2039135000.0,-7704329000.0
Change In Receivables,2431311000.0,-401680000.0,5753000.0,-1323389000.0
Changes In Account Receivables,549548000.0,-294509000.0,290579000.0,-1614047000.0
Other Non Cash Items,2747525000.0,1171578000.0,589724000.0,1699911000.0
Provisionand Write Offof Assets,-33137000.0,12036000.0,43843000.0,-2812000.0
Asset Impairment Charge,230537000.0,10728000.0,81000.0,-357000.0
Deferred Tax,974098000.0,871649000.0,4674496000.0,3657189000.0
Deferred Income Tax,974098000.0,871649000.0,4674496000.0,3657189000.0
Depreciation Amortization Depletion,3126247000.0,3047212000.0,2866699000.0,2658561000.0
Depreciation And Amortization,3126247000.0,3047212000.0,2866699000.0,2658561000.0
Amortization Cash Flow,170254000.0,166155000.0,265144000.0,310017000.0
Amortization Of Intangibles,170254000.0,166155000.0,265144000.0,310017000.0
Depreciation,2955993000.0,2881057000.0,2601555000.0,2348545000.0
Operating Gains Losses,424100000.0,459229000.0,109896000.0,-229364000.0
Pension And Employee Benefit Expense,409773000.0,393956000.0,351672000.0,320766000.0
Earnings Losses From Equity Investments,-1272834000.0,-827606000.0,-1151827000.0,-563158000.0
Gain Loss On Investment Securities,176901000.0,14979000.0,-39079000.0,-17928000.0
Net Foreign Currency Exchange Gain Loss,1064401000.0,850375000.0,974709000.0,108373000.0
Gain Loss On Sale Of PPE,45859000.0,27525000.0,-25579000.0,-77417000.0
Net Income From Continuing Operations,4599062000.0,7536983000.0,11479552000.0,15558938000.0
