,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,1086895000.0,951029000.0,518712000.0,-538104000.0,
Repurchase Of Capital Stock,,,,,0.0
Repayment Of Debt,-1833710000.0,-1192576000.0,-1914972000.0,0.0,
Issuance Of Debt,134862000.0,401553000.0,2179680000.0,588338000.0,
Capital Expenditure,-419006000.0,-376966000.0,-588828000.0,-568543000.0,
End Cash Position,1158206000.0,1285983000.0,2044149000.0,1725775000.0,
Beginning Cash Position,1285983000.0,2044149000.0,1725775000.0,2921946000.0,
Changes In Cash,-127777000.0,-758166000.0,318374000.0,-1196171000.0,
Financing Cash Flow,-2095162000.0,-1140858000.0,-256646000.0,-1069855000.0,
Net Other Financing Charges,-12000.0,-60136000.0,-211201000.0,-76074000.0,
Interest Paid Cff,,,-201401000.0,-173624000.0,-255255000.0
Cash Dividends Paid,-59785000.0,,,,
Common Stock Dividend Paid,-59785000.0,0.0,,,0.0
Net Common Stock Issuance,,,,,0.0
Common Stock Payments,,,,,0.0
Net Issuance Payments Of Debt,-1698848000.0,-791023000.0,264708000.0,588338000.0,
Net Long Term Debt Issuance,-1698848000.0,-791023000.0,264708000.0,588338000.0,
Long Term Debt Payments,-1833710000.0,-1192576000.0,-1914972000.0,0.0,
Long Term Debt Issuance,134862000.0,401553000.0,2179680000.0,588338000.0,
Investing Cash Flow,461484000.0,-945303000.0,-532520000.0,-156755000.0,
Net Investment Purchase And Sale,880079000.0,-683807000.0,32370000.0,109236000.0,
Sale Of Investment,2381855000.0,3704842000.0,32370000.0,110236000.0,
Purchase Of Investment,-1501776000.0,-4388649000.0,0.0,-1000000.0,
Net Investment Properties Purchase And Sale,-3659000.0,-10269000.0,-8000.0,-5152000.0,
Purchase Of Investment Properties,-3659000.0,-10269000.0,-8000.0,-5152000.0,
Net Intangibles Purchase And Sale,-253461000.0,-242685000.0,-313773000.0,-334161000.0,
Purchase Of Intangibles,-253461000.0,-242685000.0,-313773000.0,-334161000.0,
Net PPE Purchase And Sale,-161475000.0,-8542000.0,-251109000.0,73322000.0,
Sale Of PPE,4070000.0,125739000.0,23946000.0,307704000.0,
Purchase Of PPE,-165545000.0,-134281000.0,-275055000.0,-234382000.0,
Operating Cash Flow,1505901000.0,1327995000.0,1107540000.0,30439000.0,
Taxes Refund Paid,-105713000.0,-33248000.0,-151308000.0,-55856000.0,
Interest Paid Cfo,-203266000.0,-374889000.0,-279485000.0,-144071000.0,
Dividend Received Cfo,0.0,0.0,0.0,0.0,
Change In Working Capital,-519623000.0,-410275000.0,-140601000.0,-788766000.0,
Change In Other Current Liabilities,331103000.0,-460596000.0,561187000.0,750933000.0,
Change In Other Current Assets,-11263000.0,123132000.0,-38265000.0,-95125000.0,
Change In Accrued Expense,59091000.0,94175000.0,-27525000.0,80106000.0,
Change In Payable,282515000.0,-68926000.0,126263000.0,110675000.0,
Change In Inventory,-192321000.0,53885000.0,-89428000.0,-248177000.0,
Change In Receivables,-988748000.0,-151945000.0,-672833000.0,-1387178000.0,
Other Non Cash Items,449597000.0,578580000.0,592944000.0,315845000.0,
Stock Based Compensation,5297000.0,-2949000.0,13931000.0,,
Provisionand Write Offof Assets,787579000.0,1038933000.0,683142000.0,-28318000.0,
Deferred Tax,-11855000.0,-16272000.0,-16167000.0,-246471000.0,
Depreciation And Amortization,692195000.0,624362000.0,599406000.0,549974000.0,
Depreciation,692195000.0,624362000.0,599406000.0,549974000.0,
Pension And Employee Benefit Expense,68630000.0,13435000.0,-98519000.0,20210000.0,
Gain Loss On Investment Securities,-970000.0,-924000.0,-385000.0,-552000.0,
Gain Loss On Sale Of PPE,2380000.0,-54960000.0,-49699000.0,-244611000.0,
Net Income From Continuing Operations,361945000.0,-21214000.0,-44149000.0,453128000.0,
