,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,2433395000.0,2090846000.0,759634000.0,-456572000.0,
Repurchase Of Capital Stock,-220813000.0,-24191000.0,-127950000.0,-299824000.0,
Repayment Of Debt,-2061631000.0,-2278912000.0,-2452853000.0,-157173000.0,
Issuance Of Debt,3260000000.0,2010000000.0,3321260000.0,3501700000.0,
Issuance Of Capital Stock,-26536000.0,1059155000.0,1089000.0,2025000000.0,
Capital Expenditure,-292837000.0,-243820000.0,-212273000.0,-708076000.0,
End Cash Position,596753000.0,1430144000.0,1267915000.0,347256000.0,
Beginning Cash Position,1430144000.0,1267915000.0,347256000.0,143202000.0,
Changes In Cash,-833391000.0,162229000.0,920659000.0,204054000.0,
Other Cash Adjustment Inside Changein Cash,-14880000.0,-16696000.0,0.0,,
Financing Cash Flow,-1319380000.0,-1278109000.0,-2151136000.0,4330491000.0,
Net Other Financing Charges,-374263000.0,-157085000.0,-156004000.0,-133719000.0,
Interest Paid Cff,-1369487000.0,-1403798000.0,-1359667000.0,-64627000.0,
Cash Dividends Paid,,,-1017145000.0,-284588000.0,-204653000.0
Common Stock Dividend Paid,,0.0,-1017145000.0,-284588000.0,-204653000.0
Net Common Stock Issuance,-247349000.0,1034964000.0,-126861000.0,1725176000.0,
Common Stock Payments,-220813000.0,-24191000.0,-127950000.0,-299824000.0,
Common Stock Issuance,-26536000.0,1059155000.0,1089000.0,2025000000.0,
Net Issuance Payments Of Debt,1198369000.0,-268912000.0,868407000.0,3344527000.0,
Net Long Term Debt Issuance,1198369000.0,-268912000.0,868407000.0,3344527000.0,
Long Term Debt Payments,-2061631000.0,-2278912000.0,-2452853000.0,-157173000.0,
Long Term Debt Issuance,3260000000.0,2010000000.0,3321260000.0,3501700000.0,
Investing Cash Flow,-2225363000.0,-877632000.0,2099888000.0,-4377941000.0,
Net Other Investing Changes,-542411000.0,-197415000.0,-532901000.0,11263000.0,
Dividends Received Cfi,0.0,1250000000.0,0.0,,
Net Investment Purchase And Sale,-1390115000.0,-1689591000.0,2642106000.0,-3308053000.0,
Sale Of Investment,18316853000.0,20327536000.0,20199198000.0,9915510000.0,
Purchase Of Investment,-19706968000.0,-22017127000.0,-17557092000.0,-13223563000.0,
Net Business Purchase And Sale,0.0,3194000.0,202956000.0,-373075000.0,
Sale Of Business,0.0,3194000.0,202956000.0,,
Purchase Of Business,,0.0,0.0,-373075000.0,
Net Intangibles Purchase And Sale,-292837000.0,-243820000.0,-212273000.0,-120279000.0,
Purchase Of Intangibles,-292837000.0,-243820000.0,-212273000.0,-120279000.0,
Net PPE Purchase And Sale,,,-523718000.0,-587797000.0,-233603000.0
Purchase Of PPE,,,-523718000.0,-587797000.0,-233603000.0
Operating Cash Flow,2726232000.0,2334666000.0,971907000.0,251504000.0,
Taxes Refund Paid,-250608000.0,-214638000.0,-72029000.0,-381996000.0,
Change In Working Capital,-272624000.0,-95997000.0,-2094492000.0,-1285446000.0,
Change In Other Current Liabilities,-111056000.0,-585100000.0,133789000.0,44649000.0,
Change In Other Current Assets,995737000.0,833439000.0,-818141000.0,-430183000.0,
Change In Payable,-1099473000.0,-84148000.0,-224317000.0,-557050000.0,
Change In Inventory,-47823000.0,-33921000.0,43455000.0,-50236000.0,
Change In Receivables,-10009000.0,-226267000.0,-1216861000.0,-261887000.0,
Other Non Cash Items,1686990000.0,1657856000.0,1759296000.0,482801000.0,
Stock Based Compensation,102722000.0,-15982000.0,486316000.0,56305000.0,
Provisionand Write Offof Assets,93918000.0,133991000.0,472382000.0,211391000.0,
Deferred Tax,1041392000.0,208901000.0,-387529000.0,1161000.0,
Depreciation And Amortization,1716717000.0,1625121000.0,2187283000.0,895085000.0,
Amortization Cash Flow,,1564619000.0,1587829000.0,,
Depreciation,1716717000.0,1625121000.0,599454000.0,895085000.0,
Gain Loss On Investment Securities,-814880000.0,-612051000.0,-634180000.0,-236326000.0,
Net Foreign Currency Exchange Gain Loss,60761000.0,-17803000.0,-4907000.0,3605000.0,
Gain Loss On Sale Of PPE,-463000.0,2579000.0,,,
Net Income From Continuing Operations,-649376000.0,-614629000.0,-775839000.0,500336000.0,
