,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-115924000.0,335065000.0,423092000.0,-196479000.0,
Repurchase Of Capital Stock,-733000.0,0.0,,,
Repayment Of Debt,-131320000.0,-219398000.0,-314860000.0,-138718000.0,
Issuance Of Debt,131609000.0,29350000.0,740954000.0,82000000.0,
Issuance Of Capital Stock,,,0.0,724500000.0,0.0
Capital Expenditure,-221097000.0,-213823000.0,-202924000.0,-154355000.0,
End Cash Position,887969000.0,1303169000.0,1556826000.0,940858000.0,
Beginning Cash Position,1303169000.0,1556826000.0,940858000.0,752981000.0,
Changes In Cash,-415200000.0,-253657000.0,615968000.0,187877000.0,
Financing Cash Flow,-297166000.0,-588167000.0,264990000.0,466544000.0,
Net Other Financing Charges,-8267000.0,-115338000.0,-3334000.0,,
Interest Paid Cff,-161556000.0,-191548000.0,-63034000.0,-65609000.0,
Cash Dividends Paid,-119456000.0,-83647000.0,-89213000.0,-93979000.0,
Common Stock Dividend Paid,-119456000.0,-83647000.0,-89213000.0,-93979000.0,
Net Common Stock Issuance,-733000.0,0.0,0.0,724500000.0,
Common Stock Payments,-733000.0,0.0,,,
Common Stock Issuance,,,0.0,724500000.0,0.0
Net Issuance Payments Of Debt,289000.0,-190048000.0,426094000.0,-56718000.0,
Net Long Term Debt Issuance,289000.0,-190048000.0,426094000.0,-56718000.0,
Long Term Debt Payments,-131320000.0,-219398000.0,-314860000.0,-138718000.0,
Long Term Debt Issuance,131609000.0,29350000.0,740954000.0,82000000.0,
Investing Cash Flow,-223207000.0,-214378000.0,-275038000.0,-236543000.0,
Dividends Received Cfi,0.0,0.0,0.0,0.0,
Net Investment Purchase And Sale,-2110000.0,1430000.0,-1253000.0,-580000.0,
Sale Of Investment,,1430000.0,,,
Purchase Of Investment,-2110000.0,0.0,-1253000.0,-580000.0,
Net Business Purchase And Sale,0.0,-1985000.0,-70861000.0,-81608000.0,
Purchase Of Business,0.0,-1985000.0,-70861000.0,-81608000.0,
Net Intangibles Purchase And Sale,-84510000.0,-42743000.0,-44810000.0,-28302000.0,
Purchase Of Intangibles,-84510000.0,-42743000.0,-44810000.0,-28302000.0,
Net PPE Purchase And Sale,-136587000.0,-171080000.0,-158114000.0,-126053000.0,
Sale Of PPE,,,,0.0,476000.0
Purchase Of PPE,-136587000.0,-171080000.0,-158114000.0,-126053000.0,
Operating Cash Flow,105173000.0,548888000.0,626016000.0,-42124000.0,
Taxes Refund Paid,-7791000.0,-10208000.0,-17662000.0,-8350000.0,
Change In Working Capital,-642972000.0,-32497000.0,44006000.0,-371748000.0,
Change In Other Current Assets,2839000.0,-12480000.0,6773000.0,-1497000.0,
Change In Accrued Expense,9340000.0,-6558000.0,11265000.0,-2860000.0,
Change In Payable,170728000.0,-173295000.0,77317000.0,230676000.0,
Change In Inventory,-632913000.0,185433000.0,73406000.0,-690615000.0,
Change In Receivables,-192966000.0,-25597000.0,-124755000.0,92548000.0,
Other Non Cash Items,249420000.0,84552000.0,126606000.0,15801000.0,
Provisionand Write Offof Assets,47686000.0,6141000.0,26424000.0,11328000.0,
Deferred Tax,-130692000.0,-119954000.0,-105991000.0,-96775000.0,
Depreciation And Amortization,97834000.0,79240000.0,69648000.0,40622000.0,
Amortization Cash Flow,41902000.0,27213000.0,28263000.0,13660000.0,
Depreciation,55932000.0,52027000.0,41385000.0,26962000.0,
Gain Loss On Investment Securities,-34869000.0,7253000.0,1829000.0,-7095000.0,
Gain Loss On Sale Of PPE,,,,3567000.0,6629000.0
Gain Loss On Sale Of Business,,0.0,0.0,,
Net Income From Continuing Operations,514835000.0,516694000.0,470063000.0,370526000.0,
