,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-742000000.0,-965000000.0,-1349000000.0,510000000.0,
Repurchase Of Capital Stock,-33000000.0,0.0,-311000000.0,-179000000.0,
Repayment Of Debt,-2293000000.0,-4692000000.0,-3076000000.0,-309000000.0,
Issuance Of Debt,2439000000.0,3703000000.0,5993000000.0,3404000000.0,
Issuance Of Capital Stock,0.0,433000000.0,0.0,,9000000.0
Capital Expenditure,-1355000000.0,-1263000000.0,-1215000000.0,-870000000.0,
End Cash Position,4852000000.0,5977000000.0,4472000000.0,3876000000.0,
Beginning Cash Position,5977000000.0,4472000000.0,3876000000.0,2887000000.0,
Effect Of Exchange Rate Changes,26000000.0,10000000.0,-32000000.0,-4000000.0,
Changes In Cash,-1151000000.0,1495000000.0,628000000.0,993000000.0,
Financing Cash Flow,-8153000000.0,-5431000000.0,-1370000000.0,-486000000.0,
Net Other Financing Charges,72000000.0,-182000000.0,-38000000.0,0.0,
Interest Paid Cff,-8196000000.0,-4561000000.0,-3851000000.0,-3335000000.0,
Cash Dividends Paid,,,,-3335000000.0,-4569000000.0
Common Stock Dividend Paid,,,,0.0,0.0
Net Common Stock Issuance,-33000000.0,433000000.0,-311000000.0,-179000000.0,
Common Stock Payments,-33000000.0,0.0,-311000000.0,-179000000.0,
Common Stock Issuance,0.0,433000000.0,0.0,,9000000.0
Net Issuance Payments Of Debt,146000000.0,-989000000.0,2917000000.0,3095000000.0,
Net Long Term Debt Issuance,146000000.0,-989000000.0,2917000000.0,3095000000.0,
Long Term Debt Payments,-2293000000.0,-4692000000.0,-3076000000.0,-309000000.0,
Long Term Debt Issuance,2439000000.0,3703000000.0,5993000000.0,3404000000.0,
Investing Cash Flow,6389000000.0,6628000000.0,2132000000.0,99000000.0,
Net Other Investing Changes,,,,,-472000000.0
Interest Received Cfi,8344000000.0,4098000000.0,2771000000.0,2476000000.0,
Net Investment Purchase And Sale,-454000000.0,3817000000.0,1678000000.0,-1541000000.0,
Sale Of Investment,45000000.0,3817000000.0,4670000000.0,1270000000.0,
Purchase Of Investment,-499000000.0,0.0,-2992000000.0,-2811000000.0,
Net Business Purchase And Sale,-196000000.0,-58000000.0,-1113000000.0,0.0,
Sale Of Business,0.0,26000000.0,7000000.0,0.0,
Purchase Of Business,-196000000.0,-84000000.0,-1120000000.0,,0.0
Net PPE Purchase And Sale,-1305000000.0,-1229000000.0,-1204000000.0,-836000000.0,
Sale Of PPE,50000000.0,34000000.0,11000000.0,34000000.0,
Purchase Of PPE,-1355000000.0,-1263000000.0,-1215000000.0,-870000000.0,
Operating Cash Flow,613000000.0,298000000.0,-134000000.0,1380000000.0,
Taxes Refund Paid,-115000000.0,-89000000.0,-54000000.0,-345000000.0,
Interest Paid Cfo,-1150000000.0,-1747000000.0,-1140000000.0,-335000000.0,
Change In Working Capital,-193000000.0,-110000000.0,-1023000000.0,-140000000.0,
Change In Other Current Liabilities,-96000000.0,-96000000.0,-151000000.0,292000000.0,
Change In Other Current Assets,-238000000.0,-254000000.0,-222000000.0,341000000.0,
Change In Payable,-298000000.0,-824000000.0,-1009000000.0,296000000.0,
Change In Inventory,-74000000.0,112000000.0,-267000000.0,-540000000.0,
Change In Receivables,543000000.0,936000000.0,640000000.0,-529000000.0,
Other Non Cash Items,991000000.0,959000000.0,1146000000.0,-187000000.0,
Provisionand Write Offof Assets,185000000.0,190000000.0,45000000.0,464000000.0,
Deferred Tax,,-116000000.0,0.0,-739000000.0,
Depreciation And Amortization,1231000000.0,1176000000.0,855000000.0,722000000.0,
Depreciation,1231000000.0,1176000000.0,855000000.0,722000000.0,
Gain Loss On Investment Securities,8000000.0,-1526000000.0,-3040000000.0,-903000000.0,
Gain Loss On Sale Of PPE,,,,-903000000.0,69000000.0
Net Income From Continuing Operations,15025000000.0,13775000000.0,14556000000.0,13240000000.0,
