,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-403876000.0,-1302430000.0,621963000.0,-450196000.0,
Repurchase Of Capital Stock,-322000.0,-52000.0,-1504000.0,0.0,
Repayment Of Debt,-2086132000.0,-941168000.0,-167750000.0,-628121000.0,
Issuance Of Debt,2453459000.0,2781022000.0,124503000.0,1542963000.0,
Issuance Of Capital Stock,,,,,683889000.0
Capital Expenditure,-107868000.0,-87912000.0,-89089000.0,-185827000.0,
End Cash Position,442823000.0,610869000.0,475625000.0,152951000.0,
Other Cash Adjustment Outside Changein Cash,,,,1000.0,-12536000.0
Beginning Cash Position,610869000.0,475625000.0,152951000.0,64575000.0,
Effect Of Exchange Rate Changes,18650000.0,-11046000.0,-7562000.0,0.0,
Changes In Cash,-186696000.0,146290000.0,330236000.0,88376000.0,
Financing Cash Flow,217180000.0,1510884000.0,-293202000.0,767830000.0,
Net Other Financing Charges,-149825000.0,-194143000.0,-148579000.0,-114148000.0,
Interest Paid Cff,,,,,-43925000.0
Cash Dividends Paid,,-134775000.0,-99872000.0,-32864000.0,-11488000.0
Common Stock Dividend Paid,0.0,-134775000.0,-99872000.0,-32864000.0,
Net Common Stock Issuance,-322000.0,-52000.0,-1504000.0,0.0,
Common Stock Payments,-322000.0,-52000.0,-1504000.0,0.0,
Common Stock Issuance,,,,,683889000.0
Net Issuance Payments Of Debt,367327000.0,1839854000.0,-43247000.0,914842000.0,
Net Long Term Debt Issuance,367327000.0,1839854000.0,-43247000.0,914842000.0,
Long Term Debt Payments,-2086132000.0,-941168000.0,-167750000.0,-628121000.0,
Long Term Debt Issuance,2453459000.0,2781022000.0,124503000.0,1542963000.0,
Investing Cash Flow,-107868000.0,-150076000.0,-87614000.0,-415085000.0,
Net Other Investing Changes,,,,-1000.0,12536000.0
Dividends Received Cfi,0.0,0.0,0.0,0.0,
Net Investment Purchase And Sale,0.0,0.0,0.0,0.0,
Net Business Purchase And Sale,0.0,-62164000.0,1475000.0,-229257000.0,
Sale Of Business,,,1475000.0,0.0,35528000.0
Purchase Of Business,0.0,-62164000.0,0.0,-229257000.0,
Net PPE Purchase And Sale,-107868000.0,-87912000.0,-89089000.0,-185827000.0,
Purchase Of PPE,-107868000.0,-87912000.0,-89089000.0,-185827000.0,
Capital Expenditure Reported,,,,,-114759000.0
Operating Cash Flow,-296008000.0,-1214518000.0,711052000.0,-264369000.0,
Taxes Refund Paid,-11205000.0,-20772000.0,-24634000.0,-27317000.0,
Interest Paid Cfo,-808846000.0,-569935000.0,-450304000.0,-161698000.0,
Change In Working Capital,-191507000.0,-68085000.0,383281000.0,82324000.0,
Change In Other Current Assets,108957000.0,255838000.0,197079000.0,338402000.0,
Change In Payable,-39367000.0,-35487000.0,88665000.0,286000.0,
Change In Inventory,-35339000.0,-2524000.0,-5528000.0,-9164000.0,
Change In Receivables,-225758000.0,-285912000.0,103065000.0,-247200000.0,
Other Non Cash Items,1369214000.0,687468000.0,720870000.0,405048000.0,
Stock Based Compensation,,,42000.0,270000.0,996000.0
Provisionand Write Offof Assets,-11659000.0,98947000.0,33808000.0,-99001000.0,
Deferred Tax,-189732000.0,-45647000.0,-64227000.0,-97490000.0,
Depreciation And Amortization,609035000.0,446586000.0,301497000.0,234139000.0,
Amortization Cash Flow,53521000.0,36164000.0,,,
Depreciation,555514000.0,410422000.0,301497000.0,234139000.0,
Gain Loss On Investment Securities,8443000.0,-38167000.0,39476000.0,-141169000.0,
Net Foreign Currency Exchange Gain Loss,12270000.0,65239000.0,-374000.0,0.0,
Net Income From Continuing Operations,268359000.0,377750000.0,166397000.0,322526000.0,
