,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,747929000.0,219129000.0,377228000.0,73083000.0,
Repayment Of Debt,-1142400000.0,-267198000.0,-173537000.0,-534924000.0,
Issuance Of Debt,420145000.0,275866000.0,130168000.0,586906000.0,
Issuance Of Capital Stock,1515000.0,3755000.0,4088000.0,2350000.0,
Capital Expenditure,-309514000.0,-286500000.0,-190760000.0,-343012000.0,
End Cash Position,289792000.0,436406000.0,337268000.0,216298000.0,
Beginning Cash Position,436406000.0,337268000.0,216298000.0,101338000.0,
Changes In Cash,-146614000.0,99138000.0,120970000.0,114960000.0,
Financing Cash Flow,-1017573000.0,-263432000.0,-353960000.0,-202779000.0,
Net Other Financing Charges,-40711000.0,-33083000.0,-100306000.0,-82348000.0,
Interest Paid Cff,-144306000.0,-144140000.0,-131017000.0,-92791000.0,
Net Common Stock Issuance,1515000.0,3755000.0,4088000.0,2350000.0,
Common Stock Issuance,1515000.0,3755000.0,4088000.0,2350000.0,
Net Issuance Payments Of Debt,-722255000.0,8668000.0,-43369000.0,51982000.0,
Net Long Term Debt Issuance,-722255000.0,8668000.0,-43369000.0,51982000.0,
Long Term Debt Payments,-1142400000.0,-267198000.0,-173537000.0,-534924000.0,
Long Term Debt Issuance,420145000.0,275866000.0,130168000.0,586906000.0,
Investing Cash Flow,-186484000.0,-143059000.0,-93058000.0,-98356000.0,
Dividends Received Cfi,,,0.0,0.0,
Net Investment Purchase And Sale,136441000.0,184120000.0,145704000.0,244656000.0,
Sale Of Investment,,,,244656000.0,6760000.0
Net Business Purchase And Sale,-13411000.0,-40679000.0,-48002000.0,0.0,
Sale Of Business,,0.0,4073000.0,0.0,
Purchase Of Business,-13411000.0,-40679000.0,-52075000.0,0.0,
Net PPE Purchase And Sale,-309514000.0,-286500000.0,-190760000.0,-343012000.0,
Purchase Of PPE,-309514000.0,-286500000.0,-190760000.0,-343012000.0,
Capital Expenditure Reported,,,,,-96157000.0
Operating Cash Flow,1057443000.0,505629000.0,567988000.0,416095000.0,
Taxes Refund Paid,-51861000.0,-64889000.0,-41394000.0,,
Change In Working Capital,443230000.0,32157000.0,106238000.0,-24254000.0,
Change In Other Current Liabilities,10476000.0,-1176000.0,-12518000.0,10711000.0,
Change In Other Current Assets,11431000.0,39434000.0,33281000.0,37598000.0,
Change In Accrued Expense,-22501000.0,19158000.0,2252000.0,7758000.0,
Change In Payable,588929000.0,33999000.0,-74953000.0,-45462000.0,
Change In Inventory,-9144000.0,-8200000.0,-13137000.0,-18398000.0,
Change In Receivables,-135961000.0,-51058000.0,171313000.0,-16461000.0,
Other Non Cash Items,357980000.0,137978000.0,88483000.0,213163000.0,
Stock Based Compensation,633000.0,6852000.0,1926000.0,4456000.0,
Provisionand Write Offof Assets,2095000.0,89911000.0,57925000.0,77624000.0,
Deferred Tax,28997000.0,84532000.0,-158210000.0,-46488000.0,
Depreciation And Amortization,278562000.0,227654000.0,176021000.0,122555000.0,
Depreciation,278562000.0,227654000.0,176021000.0,122555000.0,
Gain Loss On Investment Securities,-49332000.0,-64985000.0,-63876000.0,-23460000.0,
Gain Loss On Sale Of PPE,,,,,0.0
Net Income From Continuing Operations,53703000.0,60172000.0,406760000.0,97571000.0,
