,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,313491000.0,1863545000.0,-70505000.0,763066000.0,
Repurchase Of Capital Stock,-50533000.0,0.0,-36597000.0,-12850000.0,
Repayment Of Debt,-1185755000.0,-344077000.0,-85330000.0,-763269000.0,
Issuance Of Debt,1172112000.0,331715000.0,430094000.0,821645000.0,
Capital Expenditure,-278178000.0,-262237000.0,-177125000.0,-161755000.0,
End Cash Position,2152587000.0,2267837000.0,648046000.0,1555864000.0,
Other Cash Adjustment Outside Changein Cash,,,707861000.0,,
Beginning Cash Position,2267837000.0,648046000.0,1555864000.0,1213007000.0,
Effect Of Exchange Rate Changes,4607000.0,-488000.0,127000.0,,
Changes In Cash,-119857000.0,1620279000.0,-907945000.0,342857000.0,
Financing Cash Flow,-385149000.0,-161643000.0,-413451000.0,-218885000.0,
Interest Paid Cff,-221821000.0,-69775000.0,-655483000.0,-222087000.0,
Net Common Stock Issuance,-50533000.0,0.0,-36597000.0,-12850000.0,
Common Stock Payments,-50533000.0,0.0,-36597000.0,-12850000.0,
Net Issuance Payments Of Debt,-13643000.0,-12362000.0,344764000.0,58376000.0,
Net Long Term Debt Issuance,-13643000.0,-12362000.0,344764000.0,58376000.0,
Long Term Debt Payments,-1185755000.0,-344077000.0,-85330000.0,-763269000.0,
Long Term Debt Issuance,1172112000.0,331715000.0,430094000.0,821645000.0,
Investing Cash Flow,-326377000.0,-343860000.0,-601114000.0,-363079000.0,
Net Other Investing Changes,,,-2640000.0,,
Net Investment Purchase And Sale,970000.0,-378000.0,757000.0,1267000.0,
Sale Of Investment,1070000.0,1667000.0,2257000.0,3317000.0,
Purchase Of Investment,-100000.0,-2045000.0,-1500000.0,-2050000.0,
Net Business Purchase And Sale,-49169000.0,-81245000.0,-422106000.0,-202591000.0,
Purchase Of Business,-49169000.0,-81245000.0,-422106000.0,-202591000.0,
Net PPE Purchase And Sale,-278178000.0,-262237000.0,-177125000.0,-161755000.0,
Purchase Of PPE,-278178000.0,-262237000.0,-177125000.0,-161755000.0,
Operating Cash Flow,591669000.0,2125782000.0,106620000.0,924821000.0,
Taxes Refund Paid,-56000.0,-4778000.0,0.0,0.0,
Interest Paid Cfo,-126832000.0,-117854000.0,-80156000.0,-84225000.0,
Change In Working Capital,-698668000.0,824568000.0,-559844000.0,248827000.0,
Change In Other Current Liabilities,-128860000.0,-12189000.0,82020000.0,-38407000.0,
Change In Other Current Assets,-65940000.0,10250000.0,-149625000.0,83611000.0,
Change In Payable,-192553000.0,-142089000.0,300189000.0,332025000.0,
Change In Prepaid Assets,,,,2642000.0,-2518000.0
Change In Inventory,-404387000.0,816505000.0,-949485000.0,-24838000.0,
Change In Receivables,94561000.0,159932000.0,163308000.0,-46934000.0,
Other Non Cash Items,432612000.0,124776000.0,89758000.0,186460000.0,
Stock Based Compensation,17028000.0,13809000.0,11010000.0,9644000.0,
Provisionand Write Offof Assets,92744000.0,68196000.0,69693000.0,42972000.0,
Deferred Tax,-77775000.0,-76143000.0,-60737000.0,-216157000.0,
Depreciation And Amortization,368969000.0,364971000.0,317250000.0,286909000.0,
Depreciation,368969000.0,364971000.0,317250000.0,286909000.0,
Gain Loss On Investment Securities,-137448000.0,196578000.0,228840000.0,-16791000.0,
Gain Loss On Sale Of PPE,1290000.0,11748000.0,1343000.0,1354000.0,
Net Income From Continuing Operations,823185000.0,936027000.0,351691000.0,377152000.0,
