,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,137747000.0,48111000.0,-186249000.0,-57169000.0,
Repurchase Of Capital Stock,,,0.0,0.0,
Repayment Of Debt,-520000000.0,-50000000.0,-231771000.0,-972000.0,
Issuance Of Debt,514800000.0,0.0,256415000.0,0.0,
Issuance Of Capital Stock,,,,0.0,417589000.0
Capital Expenditure,-30883000.0,-28050000.0,-113211000.0,-182469000.0,
End Cash Position,164306000.0,102216000.0,285255000.0,461280000.0,
Other Cash Adjustment Outside Changein Cash,3915000.0,4911000.0,-1000.0,,1000.0
Beginning Cash Position,102216000.0,158678000.0,461280000.0,537581000.0,
Effect Of Exchange Rate Changes,2243000.0,-315000.0,-9435000.0,23725000.0,
Changes In Cash,55932000.0,-61058000.0,-166589000.0,-100026000.0,
Financing Cash Flow,-88973000.0,-80018000.0,-159606000.0,-32728000.0,
Net Other Financing Charges,-2598000.0,200000.0,-75842000.0,-16961000.0,
Interest Paid Cff,-52045000.0,-29927000.0,,,
Cash Dividends Paid,-30022000.0,,-5796000.0,-2724000.0,-2011000.0
Common Stock Dividend Paid,,,,,-2011000.0
Net Common Stock Issuance,3003000.0,1946000.0,0.0,0.0,
Common Stock Payments,,,0.0,0.0,
Common Stock Issuance,,,,0.0,417589000.0
Net Issuance Payments Of Debt,-5200000.0,-50000000.0,24644000.0,-972000.0,
Net Long Term Debt Issuance,-5200000.0,-50000000.0,24644000.0,-972000.0,
Long Term Debt Payments,-520000000.0,-50000000.0,-231771000.0,-972000.0,
Long Term Debt Issuance,514800000.0,0.0,256415000.0,0.0,
Investing Cash Flow,-23725000.0,-57201000.0,66055000.0,-192598000.0,
Net Other Investing Changes,5467000.0,1495000.0,,,
Interest Received Cfi,1691000.0,3238000.0,,,
Dividends Received Cfi,0.0,435000.0,,0.0,3275000.0
Net Investment Purchase And Sale,,114940000.0,0.0,,
Sale Of Investment,,114940000.0,0.0,,
Net Business Purchase And Sale,0.0,-34319000.0,179266000.0,-10129000.0,
Sale Of Business,,103830000.0,179266000.0,0.0,908000.0
Purchase Of Business,0.0,-34319000.0,-4174000.0,-10129000.0,
Net Intangibles Purchase And Sale,,,,-28325000.0,-12257000.0
Purchase Of Intangibles,,,,-28325000.0,-12257000.0
Net PPE Purchase And Sale,-30883000.0,-28050000.0,-113211000.0,-182469000.0,
Purchase Of PPE,-30883000.0,-28050000.0,-113211000.0,-182469000.0,
Operating Cash Flow,168630000.0,76161000.0,-73038000.0,125300000.0,
Taxes Refund Paid,-24042000.0,-28185000.0,-3635000.0,5667000.0,
Interest Paid Cfo,,-133278000.0,-113528000.0,-7985000.0,-31188000.0
Dividend Received Cfo,,11600000.0,0.0,0.0,
Change In Working Capital,-9011000.0,-58508000.0,-290657000.0,-125277000.0,
Change In Other Current Liabilities,60347000.0,56140000.0,,,
Change In Other Current Assets,-6564000.0,-47818000.0,-218653000.0,-24084000.0,
Change In Payable,,-8152000.0,-60162000.0,-27582000.0,-31689000.0
Change In Prepaid Assets,,-1502000.0,0.0,8475000.0,-10798000.0
Change In Inventory,-63454000.0,-41225000.0,-6961000.0,-7924000.0,
Change In Receivables,,44870000.0,9648000.0,-55910000.0,14565000.0
Other Non Cash Items,21853000.0,39188000.0,-83782000.0,3815000.0,
Stock Based Compensation,,-80000.0,4089000.0,2794000.0,4960000.0
Provisionand Write Offof Assets,8127000.0,-2588000.0,21589000.0,48468000.0,
Deferred Tax,,28284000.0,67662000.0,3954000.0,-134390000.0
Depreciation And Amortization,77032000.0,78566000.0,215800000.0,159449000.0,
Depreciation,77032000.0,78566000.0,215800000.0,159449000.0,
Pension And Employee Benefit Expense,,,26187000.0,25077000.0,20532000.0
Net Foreign Currency Exchange Gain Loss,,5534000.0,4380000.0,-808000.0,-437000.0
Gain Loss On Sale Of PPE,-31000.0,21000.0,,,
Net Income From Continuing Operations,94702000.0,46582000.0,72670000.0,-80449000.0,
