,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,8833097000.0,7384445000.0,4078188000.0,6924842000.0,
Repurchase Of Capital Stock,-1849212000.0,-213153000.0,-86057000.0,-656422000.0,
Repayment Of Debt,-85080007000.0,-56671865000.0,-49912715000.0,-32833939000.0,
Issuance Of Debt,75998148000.0,49407327000.0,54194411000.0,32312779000.0,
Issuance Of Capital Stock,0.0,5760088000.0,0.0,0.0,
Capital Expenditure,-3933252000.0,-3671935000.0,-3911112000.0,-2109023000.0,
End Cash Position,4516687000.0,6460212000.0,6403788000.0,1759482000.0,
Other Cash Adjustment Outside Changein Cash,,1500000000.0,,,
Beginning Cash Position,6460212000.0,6403788000.0,1759482000.0,2041924000.0,
Effect Of Exchange Rate Changes,2434715000.0,-149686000.0,172285000.0,471529000.0,
Changes In Cash,-4378240000.0,-1293890000.0,4472021000.0,-753971000.0,
Other Cash Adjustment Inside Changein Cash,4886329000.0,-2318720000.0,1833190000.0,,0.0
Financing Cash Flow,-15490583000.0,-3911183000.0,523047000.0,-5122334000.0,
Net Other Financing Charges,-110043000.0,-699345000.0,-219374000.0,,-4073000.0
Interest Paid Cff,,,,,-2440411000.0
Cash Dividends Paid,-3135078000.0,-340763000.0,-2769703000.0,-3744927000.0,
Common Stock Dividend Paid,-3135078000.0,-340763000.0,-2769703000.0,-3744927000.0,
Net Common Stock Issuance,-1849212000.0,5546935000.0,-86057000.0,-656422000.0,
Common Stock Payments,-1849212000.0,-213153000.0,-86057000.0,-656422000.0,
Common Stock Issuance,0.0,5760088000.0,0.0,0.0,
Net Issuance Payments Of Debt,-9081859000.0,-7264538000.0,4281696000.0,-521160000.0,
Net Long Term Debt Issuance,-9081859000.0,-7264538000.0,4281696000.0,-521160000.0,
Long Term Debt Payments,-85080007000.0,-56671865000.0,-49912715000.0,-32833939000.0,
Long Term Debt Issuance,75998148000.0,49407327000.0,54194411000.0,32312779000.0,
Investing Cash Flow,-6540335000.0,-6120367000.0,-5873516000.0,-4665502000.0,
Net Other Investing Changes,,-1457167000.0,-1058569000.0,,
Net Investment Purchase And Sale,-2607083000.0,-2448432000.0,-6424889000.0,-2556479000.0,
Sale Of Investment,,581569000.0,,,7000.0
Purchase Of Investment,-2607083000.0,-3030001000.0,-6424889000.0,-2556479000.0,
Net Business Purchase And Sale,,0.0,4462485000.0,0.0,-22807000.0
Sale Of Business,,0.0,4462485000.0,0.0,
Purchase Of Business,,,,,-22807000.0
Net Intangibles Purchase And Sale,-159879000.0,-168900000.0,-179261000.0,-4353000.0,
Purchase Of Intangibles,-159879000.0,-168900000.0,-179261000.0,-4353000.0,
Net PPE Purchase And Sale,-2318685000.0,-2045868000.0,-2673282000.0,-2104670000.0,
Purchase Of PPE,-2318685000.0,-2045868000.0,-2673282000.0,-2104670000.0,
Capital Expenditure Reported,-1454688000.0,-1457167000.0,-1058569000.0,,-1376185000.0
Operating Cash Flow,12766349000.0,11056380000.0,7989300000.0,9033865000.0,
Change In Working Capital,-2666927000.0,1919506000.0,-3625471000.0,-2674302000.0,
Change In Other Current Assets,-786931000.0,-1041469000.0,-806691000.0,-653635000.0,
Change In Accrued Expense,,-445257000.0,-995294000.0,675138000.0,754246000.0
Change In Payable,-4143043000.0,-243438000.0,-1086984000.0,-195456000.0,
Change In Inventory,-81004000.0,1661855000.0,-237552000.0,-1421963000.0,
Change In Receivables,2273620000.0,1987815000.0,-498950000.0,-1078386000.0,
Other Non Cash Items,6171421000.0,5763569000.0,714636000.0,1780980000.0,
Provisionand Write Offof Assets,1628432000.0,42730000.0,209978000.0,-112404000.0,
Deferred Tax,-2680085000.0,-1193360000.0,-674906000.0,699736000.0,
Depreciation And Amortization,7197504000.0,6740232000.0,5332693000.0,1563272000.0,
Amortization Cash Flow,984659000.0,,,,
Depreciation,6212845000.0,6740232000.0,5332693000.0,1563272000.0,
Gain Loss On Investment Securities,-1629000.0,-3836000.0,-6405000.0,,
Net Foreign Currency Exchange Gain Loss,286627000.0,1175664000.0,2534398000.0,1109742000.0,
Gain Loss On Sale Of PPE,,,,,70028000.0
Net Income From Continuing Operations,1710635000.0,-1348386000.0,4831386000.0,4341997000.0,
