,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-667905000.0,-1050980000.0,-665177000.0,-459797000.0,
Repurchase Of Capital Stock,-135269000.0,-119702000.0,,,
Repayment Of Debt,-3653085000.0,-3212263000.0,-3301708000.0,-2170057000.0,
Issuance Of Debt,4487027000.0,4248864000.0,5369363000.0,2980352000.0,
Issuance Of Capital Stock,4347000.0,953912000.0,2170000.0,12734000.0,
Capital Expenditure,-267200000.0,-227058000.0,-363971000.0,-179020000.0,
End Cash Position,414563000.0,406767000.0,733748000.0,947928000.0,
Beginning Cash Position,406767000.0,733748000.0,947928000.0,1080705000.0,
Effect Of Exchange Rate Changes,61661000.0,-23232000.0,14433000.0,7740000.0,
Changes In Cash,-53865000.0,-303749000.0,-228613000.0,-140517000.0,
Financing Cash Flow,1232010000.0,2223800000.0,1611330000.0,494986000.0,
Net Other Financing Charges,1277676000.0,1098514000.0,245168000.0,-17662000.0,
Interest Paid Cff,-748686000.0,-745525000.0,-509458000.0,,
Cash Dividends Paid,,,-194205000.0,-310381000.0,-163933000.0
Common Stock Dividend Paid,,0.0,-194205000.0,-310381000.0,-163933000.0
Net Common Stock Issuance,-130922000.0,834210000.0,2170000.0,12734000.0,
Common Stock Payments,-135269000.0,-119702000.0,,,
Common Stock Issuance,4347000.0,953912000.0,2170000.0,12734000.0,
Net Issuance Payments Of Debt,833942000.0,1036601000.0,2067655000.0,810295000.0,
Net Long Term Debt Issuance,833942000.0,1036601000.0,2067655000.0,810295000.0,
Long Term Debt Payments,-3653085000.0,-3212263000.0,-3301708000.0,-2170057000.0,
Long Term Debt Issuance,4487027000.0,4248864000.0,5369363000.0,2980352000.0,
Investing Cash Flow,-885170000.0,-1703627000.0,-1538737000.0,-354726000.0,
Net Other Investing Changes,,,,,-17554000.0
Dividends Received Cfi,-36289000.0,-41175000.0,-10000000.0,40396000.0,
Net Investment Purchase And Sale,-603134000.0,-582510000.0,-184809000.0,-86631000.0,
Sale Of Investment,12134051000.0,9559008000.0,7327220000.0,6181377000.0,
Purchase Of Investment,-12737185000.0,-10141518000.0,-7512029000.0,-6268008000.0,
Net Investment Properties Purchase And Sale,-981455000.0,-1522984000.0,-2920635000.0,-1882491000.0,
Purchase Of Investment Properties,-981455000.0,-1522984000.0,-2920635000.0,-1882491000.0,
Net Business Purchase And Sale,1008255000.0,676728000.0,1943988000.0,1759074000.0,
Sale Of Business,1023718000.0,719188000.0,2017645000.0,1796891000.0,
Purchase Of Business,-15463000.0,-42460000.0,-73657000.0,-37817000.0,
Net PPE Purchase And Sale,-267200000.0,-227058000.0,-363971000.0,-179020000.0,
Purchase Of PPE,-267200000.0,-227058000.0,-363971000.0,-179020000.0,
Capital Expenditure Reported,,,,,-179957000.0
Operating Cash Flow,-400705000.0,-823922000.0,-301206000.0,-280777000.0,
Taxes Refund Paid,-161161000.0,-222653000.0,-263568000.0,-131897000.0,
Interest Paid Cfo,-74913000.0,-94972000.0,-77617000.0,-320333000.0,
Change In Working Capital,-1348917000.0,-1017864000.0,53046000.0,-602113000.0,
Change In Other Current Liabilities,,,,,-27725000.0
Change In Other Current Assets,-74046000.0,-19403000.0,19634000.0,-138744000.0,
Change In Accrued Expense,8346000.0,48650000.0,-19000.0,35842000.0,
Change In Payable,241537000.0,13934000.0,548241000.0,442936000.0,
Change In Prepaid Assets,-285476000.0,-223559000.0,-190552000.0,-146263000.0,
Change In Inventory,287706000.0,417596000.0,-161975000.0,-390449000.0,
Change In Receivables,-1526984000.0,-1255082000.0,-162283000.0,-405435000.0,
Other Non Cash Items,698558000.0,293895000.0,122124000.0,93882000.0,
Stock Based Compensation,13680000.0,17133000.0,16668000.0,12807000.0,
Provisionand Write Offof Assets,504661000.0,512385000.0,342679000.0,317413000.0,
Deferred Tax,38664000.0,-219891000.0,-69419000.0,125725000.0,
Depreciation And Amortization,172616000.0,133409000.0,176381000.0,129009000.0,
Depreciation,172616000.0,133409000.0,176381000.0,129009000.0,
Gain Loss On Investment Securities,310960000.0,-67428000.0,288908000.0,36709000.0,
Gain Loss On Sale Of PPE,,-77495000.0,-624142000.0,-642246000.0,-88294000.0
Net Income From Continuing Operations,-482097000.0,-18439000.0,-123463000.0,902677000.0,
