,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,3013000000.0,917000000.0,2964000000.0,-2866000000.0,
Repurchase Of Capital Stock,0.0,-39000000.0,0.0,,
Repayment Of Debt,-9149000000.0,-6483000000.0,-8171000000.0,-5230000000.0,
Issuance Of Debt,12821000000.0,11522000000.0,12923000000.0,15718000000.0,
Capital Expenditure,-229000000.0,-715000000.0,-1656000000.0,-2998000000.0,
End Cash Position,7730000000.0,7448000000.0,6802000000.0,5545000000.0,
Beginning Cash Position,7448000000.0,6802000000.0,5545000000.0,5060000000.0,
Changes In Cash,282000000.0,646000000.0,1257000000.0,485000000.0,
Financing Cash Flow,2859000000.0,3763000000.0,4046000000.0,10677000000.0,
Net Other Financing Charges,408000000.0,325000000.0,471000000.0,1018000000.0,
Cash Dividends Paid,-937000000.0,-1335000000.0,-938000000.0,-596000000.0,
Common Stock Dividend Paid,,,,,-450000000.0
Net Common Stock Issuance,0.0,-39000000.0,0.0,,
Common Stock Payments,0.0,-39000000.0,0.0,,
Net Issuance Payments Of Debt,3672000000.0,5039000000.0,4752000000.0,10488000000.0,
Net Long Term Debt Issuance,3672000000.0,5039000000.0,4752000000.0,10488000000.0,
Long Term Debt Payments,-9149000000.0,-6483000000.0,-8171000000.0,-5230000000.0,
Long Term Debt Issuance,12821000000.0,11522000000.0,12923000000.0,15718000000.0,
Investing Cash Flow,-5819000000.0,-4749000000.0,-7409000000.0,-10324000000.0,
Net Other Investing Changes,-5692000000.0,-5276000000.0,-5720000000.0,-4637000000.0,
Net Investment Purchase And Sale,-3000000.0,-50000000.0,14000000.0,-234000000.0,
Sale Of Investment,767000000.0,1344000000.0,997000000.0,84000000.0,
Purchase Of Investment,-770000000.0,-1394000000.0,-983000000.0,-318000000.0,
Net Business Purchase And Sale,105000000.0,1292000000.0,-47000000.0,-2455000000.0,
Sale Of Business,198000000.0,1773000000.0,0.0,,
Purchase Of Business,-93000000.0,-481000000.0,-47000000.0,-2455000000.0,
Net PPE Purchase And Sale,-229000000.0,-715000000.0,-1656000000.0,-2998000000.0,
Purchase Of PPE,-229000000.0,-715000000.0,-1656000000.0,-2998000000.0,
Capital Expenditure Reported,,,,,-994000000.0
Operating Cash Flow,3242000000.0,1632000000.0,4620000000.0,132000000.0,
Taxes Refund Paid,-355000000.0,-465000000.0,-60000000.0,-574000000.0,
Interest Paid Cfo,-29000000.0,-27000000.0,-26000000.0,-15000000.0,
Dividend Received Cfo,132000000.0,80000000.0,87000000.0,46000000.0,
Change In Working Capital,-4767000000.0,-4713000000.0,-3387000000.0,-6759000000.0,
Change In Other Current Assets,1285000000.0,-357000000.0,1840000000.0,-2423000000.0,
Change In Accrued Expense,-99000000.0,-156000000.0,-36000000.0,-31000000.0,
Change In Payable,-255000000.0,251000000.0,-2634000000.0,705000000.0,
Change In Receivables,-5272000000.0,-4145000000.0,-2412000000.0,-4909000000.0,
Other Non Cash Items,3489000000.0,3624000000.0,2459000000.0,288000000.0,
Deferred Tax,1027000000.0,429000000.0,752000000.0,1523000000.0,
Depreciation And Amortization,2853000000.0,2611000000.0,2280000000.0,1777000000.0,
Depreciation,2853000000.0,2611000000.0,2280000000.0,1777000000.0,
Gain Loss On Investment Securities,277000000.0,-1247000000.0,136000000.0,482000000.0,
Net Income From Continuing Operations,3682000000.0,4527000000.0,4787000000.0,4066000000.0,
