,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-21664000.0,1598000.0,2247000.0,31602000.0
Repurchase Of Capital Stock,-7186000.0,0.0,-20285000.0,0.0
Repayment Of Debt,-2580000.0,-46330000.0,-26678000.0,-38455000.0
Issuance Of Debt,0.0,0.0,0.0,0.0
Issuance Of Capital Stock,0.0,0.0,565000.0,854000.0
Capital Expenditure,-23528000.0,-6917000.0,-2224000.0,-1867000.0
End Cash Position,91238000.0,62742000.0,69759000.0,96456000.0
Other Cash Adjustment Outside Changein Cash,1000.0,,,
Beginning Cash Position,62742000.0,69759000.0,96456000.0,114417000.0
Effect Of Exchange Rate Changes,7551000.0,-2257000.0,,
Changes In Cash,20944000.0,-4760000.0,-26697000.0,-17961000.0
Financing Cash Flow,-17484000.0,-65468000.0,-61881000.0,-45254000.0
Net Other Financing Charges,-1211000.0,-9629000.0,-7476000.0,-1328000.0
Cash Dividends Paid,-1242000.0,-3379000.0,-3473000.0,
Net Common Stock Issuance,-7186000.0,0.0,-19720000.0,854000.0
Common Stock Payments,-7186000.0,0.0,-20285000.0,0.0
Common Stock Issuance,0.0,0.0,565000.0,854000.0
Net Issuance Payments Of Debt,-2580000.0,-46330000.0,-26678000.0,-38455000.0
Net Long Term Debt Issuance,-2580000.0,-46330000.0,-26678000.0,-38455000.0
Long Term Debt Payments,-2580000.0,-46330000.0,-26678000.0,-38455000.0
Long Term Debt Issuance,0.0,0.0,0.0,0.0
Investing Cash Flow,36564000.0,52193000.0,30713000.0,-6176000.0
Net Other Investing Changes,,218000.0,,1527000.0
Net Investment Purchase And Sale,59824000.0,57976000.0,32554000.0,-7193000.0
Sale Of Investment,69386000.0,74156000.0,66428000.0,46617000.0
Purchase Of Investment,-9562000.0,-16180000.0,-33874000.0,-53810000.0
Net Business Purchase And Sale,0.0,0.0,0.0,0.0
Purchase Of Business,0.0,0.0,0.0,0.0
Net Intangibles Purchase And Sale,-22591000.0,-5144000.0,-552000.0,-1332000.0
Purchase Of Intangibles,-22591000.0,-5144000.0,-552000.0,-1332000.0
Net PPE Purchase And Sale,-669000.0,-857000.0,-1289000.0,822000.0
Sale Of PPE,268000.0,916000.0,383000.0,1357000.0
Purchase Of PPE,-937000.0,-1773000.0,-1672000.0,-535000.0
Operating Cash Flow,1864000.0,8515000.0,4471000.0,33469000.0
Taxes Refund Paid,-293000.0,-2970000.0,-4261000.0,-5074000.0
Interest Paid Cfo,-1463000.0,-7035000.0,-9006000.0,-6315000.0
Dividend Paid Cfo,0.0,0.0,-3473000.0,-2941000.0
Change In Working Capital,-5290000.0,-5981000.0,-17657000.0,4790000.0
Change In Other Current Liabilities,3907000.0,-6123000.0,6364000.0,1670000.0
Change In Other Current Assets,1816000.0,-2668000.0,-5206000.0,2589000.0
Change In Payable,4869000.0,78000.0,-2468000.0,4967000.0
Change In Prepaid Assets,-3272000.0,485000.0,-1258000.0,-1383000.0
Change In Receivables,-12610000.0,2247000.0,-15089000.0,-3053000.0
Other Non Cash Items,5310000.0,6839000.0,10464000.0,6861000.0
Stock Based Compensation,-109000.0,-98000.0,107000.0,391000.0
Provisionand Write Offof Assets,3737000.0,1656000.0,5208000.0,884000.0
Depreciation And Amortization,28327000.0,23840000.0,28437000.0,18533000.0
Amortization Cash Flow,21100000.0,16540000.0,21843000.0,11245000.0
Depreciation,7227000.0,7300000.0,6594000.0,7288000.0
Gain Loss On Investment Securities,-22363000.0,-29332000.0,-12051000.0,-9910000.0
Net Foreign Currency Exchange Gain Loss,3900000.0,-794000.0,-2034000.0,1835000.0
Gain Loss On Sale Of PPE,-97000.0,-83000.0,30000.0,-168000.0
Gain Loss On Sale Of Business,,,0.0,-254000.0
Net Income From Continuing Operations,-36930000.0,17343000.0,2088000.0,23468000.0
