,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-399096000.0,-363258000.0,-571823000.0,-211228000.0,
Repurchase Of Capital Stock,0.0,-33738000.0,-78017000.0,-177093000.0,
Repayment Of Debt,-1279223000.0,-545574000.0,-747934000.0,-518822000.0,
Issuance Of Debt,2039766000.0,1554214000.0,1439304000.0,1187648000.0,
Issuance Of Capital Stock,1500000000.0,204983000.0,927000.0,1790461000.0,
Capital Expenditure,-214245000.0,-311695000.0,-300179000.0,-201945000.0,
End Cash Position,550744000.0,550704000.0,263208000.0,536838000.0,
Beginning Cash Position,550704000.0,263208000.0,536838000.0,740891000.0,
Effect Of Exchange Rate Changes,565000.0,-187000.0,-347000.0,423000.0,
Changes In Cash,-525000.0,287683000.0,-273283000.0,-204476000.0,
Financing Cash Flow,1905411000.0,111415000.0,407083000.0,1834718000.0,
Net Other Financing Charges,-288499000.0,-944665000.0,-104927000.0,-291099000.0,
Cash Dividends Paid,-11656000.0,-59713000.0,-18291000.0,-26398000.0,
Net Common Stock Issuance,1500000000.0,171245000.0,-77090000.0,1613368000.0,
Common Stock Payments,0.0,-33738000.0,-78017000.0,-177093000.0,
Common Stock Issuance,1500000000.0,204983000.0,927000.0,1790461000.0,
Net Issuance Payments Of Debt,760543000.0,1008640000.0,691370000.0,668826000.0,
Net Long Term Debt Issuance,760543000.0,1008640000.0,691370000.0,668826000.0,
Long Term Debt Payments,-1279223000.0,-545574000.0,-747934000.0,-518822000.0,
Long Term Debt Issuance,2039766000.0,1554214000.0,1439304000.0,1187648000.0,
Investing Cash Flow,-1721085000.0,227831000.0,-408722000.0,-2029911000.0,
Net Other Investing Changes,-10538000.0,29795000.0,-6552000.0,5934000.0,
Dividends Received Cfi,,0.0,0.0,,
Net Investment Purchase And Sale,-1124304000.0,556094000.0,734392000.0,-1431400000.0,
Sale Of Investment,,,734392000.0,,
Purchase Of Investment,,,,-1431400000.0,-64175000.0
Net Business Purchase And Sale,-371998000.0,-46363000.0,-836383000.0,-402500000.0,
Sale Of Business,3448000.0,0.0,,,
Purchase Of Business,-375446000.0,-46363000.0,-836383000.0,-402500000.0,
Net PPE Purchase And Sale,-214245000.0,-311695000.0,-300179000.0,-201945000.0,
Purchase Of PPE,-214245000.0,-311695000.0,-300179000.0,-201945000.0,
Operating Cash Flow,-184851000.0,-51563000.0,-271644000.0,-9283000.0,
Taxes Refund Paid,-81817000.0,-95976000.0,-60443000.0,-33500000.0,
Interest Paid Cfo,-607997000.0,-490627000.0,-348545000.0,-128783000.0,
Change In Working Capital,-624987000.0,-506730000.0,-513387000.0,-217293000.0,
Change In Other Current Liabilities,11931000.0,-20155000.0,31489000.0,-90022000.0,
Change In Other Current Assets,-132116000.0,-9765000.0,-11059000.0,12112000.0,
Change In Payable,325147000.0,175568000.0,341562000.0,128706000.0,
Change In Inventory,-18847000.0,-42264000.0,-70292000.0,-24218000.0,
Change In Receivables,-811102000.0,-610114000.0,-805087000.0,-243871000.0,
Other Non Cash Items,1365083000.0,496348000.0,408039000.0,151280000.0,
Stock Based Compensation,27646000.0,46843000.0,11082000.0,69163000.0,
Provisionand Write Offof Assets,175150000.0,163249000.0,99308000.0,48712000.0,
Deferred Tax,-92746000.0,-224421000.0,-121484000.0,1548000.0,
Depreciation And Amortization,326379000.0,257365000.0,175152000.0,126973000.0,
Depreciation,326379000.0,257365000.0,175152000.0,126973000.0,
Gain Loss On Investment Securities,4444000.0,-16507000.0,-36805000.0,-6482000.0,
Net Foreign Currency Exchange Gain Loss,28998000.0,-7918000.0,-826000.0,416000.0,
Gain Loss On Sale Of PPE,,,,1100000.0,569000.0
Net Income From Continuing Operations,-717425000.0,312562000.0,113770000.0,-22417000.0,
