,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,1983313000.0,-224553000.0,-129259000.0,73008000.0,
Repurchase Of Capital Stock,-28132000.0,-6844000.0,0.0,,
Issuance Of Debt,,,,,10978000.0
Issuance Of Capital Stock,100343000.0,670000.0,61254000.0,0.0,
Capital Expenditure,-48300000.0,-2008000.0,-1532000.0,-681000.0,
End Cash Position,2328331000.0,205842000.0,301559000.0,312602000.0,
Beginning Cash Position,205842000.0,301559000.0,312602000.0,230437000.0,
Effect Of Exchange Rate Changes,-136167000.0,16625000.0,-9926000.0,19086000.0,
Changes In Cash,2258656000.0,-112342000.0,-1117000.0,63079000.0,
Financing Cash Flow,276019000.0,111870000.0,131446000.0,-9929000.0,
Interest Paid Cff,-83196000.0,-25710000.0,-11475000.0,0.0,
Net Common Stock Issuance,72211000.0,-6174000.0,61254000.0,0.0,
Common Stock Payments,-28132000.0,-6844000.0,0.0,,
Common Stock Issuance,100343000.0,670000.0,61254000.0,0.0,
Net Issuance Payments Of Debt,287004000.0,143754000.0,81667000.0,-9929000.0,
Net Long Term Debt Issuance,287004000.0,143754000.0,81667000.0,-9929000.0,
Long Term Debt Issuance,,,,,10978000.0
Investing Cash Flow,-48976000.0,-1667000.0,-4836000.0,-681000.0,
Dividends Received Cfi,6605000.0,0.0,,,
Net Investment Purchase And Sale,-3000.0,341000.0,-3304000.0,0.0,
Purchase Of Investment,,,-3304000.0,0.0,
Net Business Purchase And Sale,-7278000.0,0.0,0.0,0.0,
Sale Of Business,1054000.0,0.0,,,
Purchase Of Business,-8332000.0,0.0,,0.0,0.0
Net Intangibles Purchase And Sale,-10456000.0,0.0,0.0,-515000.0,
Net PPE Purchase And Sale,-37844000.0,-2008000.0,-1532000.0,-166000.0,
Operating Cash Flow,2031613000.0,-222545000.0,-127727000.0,73689000.0,
Change In Working Capital,1532761000.0,-450850000.0,-234218000.0,83632000.0,
Change In Other Current Liabilities,-128715000.0,2195356000.0,576695000.0,-60584000.0,
Change In Other Current Assets,-133726000.0,132468000.0,-508461000.0,63573000.0,
Stock Based Compensation,21880000.0,5062000.0,0.0,,
Provisionand Write Offof Assets,64532000.0,-9119000.0,33887000.0,-1541000.0,
Deferred Tax,34038000.0,70633000.0,19648000.0,2463000.0,
Depreciation And Amortization,6936000.0,2120000.0,2130000.0,2279000.0,
Depreciation,6936000.0,2120000.0,2130000.0,2279000.0,
Net Foreign Currency Exchange Gain Loss,136167000.0,-16625000.0,9926000.0,-19086000.0,
Net Income From Continuing Operations,258248000.0,180878000.0,40900000.0,5942000.0,
