,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,254790000.0,296352000.0,42009000.0,49737000.0,
Repurchase Of Capital Stock,,0.0,-11009000.0,-8175000.0,
Repayment Of Debt,-563640000.0,-801261000.0,-635603000.0,-455883000.0,
Issuance Of Debt,373888000.0,600877000.0,696625000.0,547340000.0,
Issuance Of Capital Stock,4270000.0,0.0,,867000.0,40006000.0
Capital Expenditure,-34963000.0,-18308000.0,-26605000.0,-24841000.0,
End Cash Position,733767000.0,312182000.0,254237000.0,200338000.0,
Beginning Cash Position,312182000.0,254237000.0,200338000.0,204223000.0,
Changes In Cash,421585000.0,57945000.0,53899000.0,-3885000.0,
Financing Cash Flow,112917000.0,-232759000.0,7329000.0,39424000.0,
Net Other Financing Charges,420596000.0,2257000.0,-7091000.0,-1871000.0,
Cash Dividends Paid,-118484000.0,-31749000.0,-32083000.0,-40000000.0,
Common Stock Dividend Paid,-118484000.0,-31749000.0,-32083000.0,-40000000.0,
Net Common Stock Issuance,4270000.0,0.0,-11009000.0,-8175000.0,
Common Stock Payments,,0.0,-11009000.0,-8175000.0,
Common Stock Issuance,4270000.0,0.0,,867000.0,40006000.0
Net Issuance Payments Of Debt,-189752000.0,-200384000.0,61022000.0,91457000.0,
Net Long Term Debt Issuance,-189752000.0,-200384000.0,61022000.0,91457000.0,
Long Term Debt Payments,-563640000.0,-801261000.0,-635603000.0,-455883000.0,
Long Term Debt Issuance,373888000.0,600877000.0,696625000.0,547340000.0,
Investing Cash Flow,18915000.0,-23956000.0,-22044000.0,-117887000.0,
Net Other Investing Changes,45524000.0,-27434000.0,5239000.0,-91033000.0,
Dividends Received Cfi,0.0,0.0,,,
Net Investment Purchase And Sale,-18000.0,-74000.0,-552000.0,-2000000.0,
Sale Of Investment,,,0.0,0.0,
Purchase Of Investment,,,0.0,-2000000.0,
Net Business Purchase And Sale,8372000.0,21860000.0,-126000.0,-13000.0,
Sale Of Business,11187000.0,21860000.0,0.0,,
Purchase Of Business,-2815000.0,0.0,-126000.0,-13000.0,
Net PPE Purchase And Sale,-34963000.0,-18308000.0,-26605000.0,-24841000.0,
Purchase Of PPE,,,,-24841000.0,-11739000.0
Operating Cash Flow,289753000.0,314660000.0,68614000.0,74578000.0,
Taxes Refund Paid,-54025000.0,-37705000.0,-29640000.0,-24625000.0,
Change In Working Capital,-227707000.0,-106359000.0,-151345000.0,-93264000.0,
Change In Other Current Liabilities,-12488000.0,-18485000.0,28233000.0,1731000.0,
Change In Other Current Assets,-7513000.0,84321000.0,555000.0,-517000.0,
Change In Payable,-37936000.0,154573000.0,-119893000.0,-95109000.0,
Change In Inventory,156314000.0,-36731000.0,134156000.0,61433000.0,
Change In Receivables,-326084000.0,-290037000.0,-194396000.0,-60802000.0,
Other Non Cash Items,31217000.0,30986000.0,29352000.0,6585000.0,
Provisionand Write Offof Assets,40431000.0,77524000.0,23247000.0,1772000.0,
Deferred Tax,7888000.0,11803000.0,7871000.0,1926000.0,
Depreciation And Amortization,18805000.0,17029000.0,22306000.0,20955000.0,
Depreciation,18805000.0,17029000.0,22306000.0,20955000.0,
Pension And Employee Benefit Expense,-2125000.0,-2470000.0,241000.0,-137000.0,
Gain Loss On Investment Securities,26932000.0,,,,
Net Income From Continuing Operations,446347000.0,324538000.0,166321000.0,161897000.0,
