,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,60027000.0,-143748000.0,128584000.0,-58653000.0,
Repayment Of Debt,-437122000.0,-631955000.0,-932220000.0,-929644000.0,
Issuance Of Debt,459092000.0,865289000.0,928771000.0,918807000.0,
Issuance Of Capital Stock,1320000.0,0.0,,,
Capital Expenditure,-16690000.0,-19332000.0,-89172000.0,-91154000.0,
End Cash Position,8524000.0,85000.0,2500000.0,40115000.0,
Beginning Cash Position,85000.0,2500000.0,40115000.0,138761000.0,
Changes In Cash,8439000.0,-2415000.0,-37615000.0,-98646000.0,
Financing Cash Flow,-51338000.0,136629000.0,-181846000.0,-62232000.0,
Net Other Financing Charges,-9542000.0,-7842000.0,-16536000.0,,
Interest Paid Cff,-57342000.0,-77228000.0,-148335000.0,-39284000.0,
Cash Dividends Paid,,,-152000.0,,-20000.0
Common Stock Dividend Paid,,0.0,-152000.0,0.0,-20000.0
Net Common Stock Issuance,1320000.0,0.0,,,
Common Stock Issuance,1320000.0,0.0,,,
Net Issuance Payments Of Debt,21970000.0,233334000.0,-3449000.0,-10837000.0,
Net Long Term Debt Issuance,21970000.0,233334000.0,-3449000.0,-10837000.0,
Long Term Debt Payments,-437122000.0,-631955000.0,-932220000.0,-929644000.0,
Long Term Debt Issuance,459092000.0,865289000.0,928771000.0,918807000.0,
Investing Cash Flow,-16940000.0,-14628000.0,-73525000.0,-68915000.0,
Net Other Investing Changes,,-7842000.0,-16536000.0,,
Net Investment Purchase And Sale,-250000.0,4704000.0,15647000.0,22239000.0,
Sale Of Investment,1009000.0,10740000.0,19361000.0,33143000.0,
Purchase Of Investment,-1259000.0,-6036000.0,-3714000.0,-10904000.0,
Net Business Purchase And Sale,0.0,0.0,,,
Sale Of Business,0.0,0.0,,,
Net PPE Purchase And Sale,-16690000.0,-19332000.0,-89172000.0,-91154000.0,
Purchase Of PPE,-16690000.0,-19332000.0,-89172000.0,-91154000.0,
Capital Expenditure Reported,,,,,-65050000.0
Operating Cash Flow,76717000.0,-124416000.0,217756000.0,32501000.0,
Taxes Refund Paid,1000.0,0.0,,0.0,-365000.0
Change In Working Capital,274164000.0,306334000.0,854827000.0,110570000.0,
Change In Other Current Liabilities,8893000.0,-31355000.0,21073000.0,-241782000.0,
Change In Other Current Assets,-154868000.0,65298000.0,-11557000.0,176111000.0,
Change In Accrued Expense,19053000.0,28991000.0,-1370000.0,2022000.0,
Change In Payable,172025000.0,211283000.0,304181000.0,-427570000.0,
Change In Prepaid Assets,5248000.0,-5289000.0,7842000.0,1955000.0,
Change In Inventory,3594000.0,5370000.0,436095000.0,390672000.0,
Change In Receivables,219056000.0,31041000.0,98563000.0,226581000.0,
Other Non Cash Items,1829543000.0,430678000.0,673464000.0,489966000.0,
Provisionand Write Offof Assets,33801000.0,6206000.0,462443000.0,17166000.0,
Deferred Tax,0.0,396508000.0,0.0,,
Depreciation And Amortization,93731000.0,110407000.0,116611000.0,152746000.0,
Depreciation,93731000.0,110407000.0,116611000.0,152746000.0,
Gain Loss On Investment Securities,,,837687000.0,45496000.0,13808000.0
Net Income From Continuing Operations,-2153224000.0,-1377316000.0,-2727825000.0,-791470000.0,
