,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,66623000.0,157179000.0,23843000.0,-4402000.0
Repurchase Of Capital Stock,-4929000.0,-715000.0,-1605000.0,-20406000.0
Repayment Of Debt,-136492000.0,-287836000.0,-52857000.0,-52837000.0
Issuance Of Debt,281732000.0,425000000.0,150000000.0,0.0
Issuance Of Capital Stock,1932000.0,2075000.0,1445000.0,683000.0
Capital Expenditure,-157826000.0,-139442000.0,-181637000.0,-135580000.0
End Cash Position,79995000.0,27953000.0,25715000.0,54435000.0
Beginning Cash Position,27953000.0,25715000.0,54435000.0,130107000.0
Changes In Cash,52042000.0,2238000.0,-28720000.0,-75672000.0
Financing Cash Flow,-116714000.0,-97825000.0,-103115000.0,-221755000.0
Net Other Financing Charges,,,,-683000.0
Interest Paid Cff,-43893000.0,-41526000.0,-25037000.0,-6289000.0
Cash Dividends Paid,-33165000.0,-28721000.0,-24752000.0,-20442000.0
Common Stock Dividend Paid,-33165000.0,-28721000.0,-24752000.0,-20442000.0
Net Common Stock Issuance,-2997000.0,1360000.0,-160000.0,-19723000.0
Common Stock Payments,-4929000.0,-715000.0,-1605000.0,-20406000.0
Common Stock Issuance,1932000.0,2075000.0,1445000.0,683000.0
Net Issuance Payments Of Debt,145240000.0,137164000.0,97143000.0,-52837000.0
Net Long Term Debt Issuance,145240000.0,137164000.0,97143000.0,-52837000.0
Long Term Debt Payments,-136492000.0,-287836000.0,-52857000.0,-52837000.0
Long Term Debt Issuance,281732000.0,425000000.0,150000000.0,0.0
Investing Cash Flow,-55693000.0,-196558000.0,-131085000.0,14905000.0
Net Other Investing Changes,-7608000.0,,11479000.0,
Net Investment Purchase And Sale,109741000.0,-57116000.0,39073000.0,150485000.0
Net Intangibles Purchase And Sale,-35102000.0,-25023000.0,-32339000.0,-25535000.0
Purchase Of Intangibles,-35102000.0,-25023000.0,-32339000.0,-25535000.0
Net PPE Purchase And Sale,-122724000.0,-114419000.0,-149298000.0,-110045000.0
Purchase Of PPE,-122724000.0,-114419000.0,-149298000.0,-110045000.0
Operating Cash Flow,224449000.0,296621000.0,205480000.0,131178000.0
Taxes Refund Paid,-10307000.0,-3559000.0,-4664000.0,-4701000.0
Change In Working Capital,-204170000.0,-68390000.0,-104237000.0,-108425000.0
Change In Other Current Liabilities,22806000.0,-8946000.0,13459000.0,-2398000.0
Change In Other Current Assets,-47804000.0,-46767000.0,11285000.0,-2886000.0
Change In Payable,-1744000.0,136924000.0,89038000.0,90452000.0
Change In Inventory,-151186000.0,-103010000.0,-157643000.0,-164456000.0
Change In Receivables,-26242000.0,-46591000.0,-60376000.0,-29137000.0
Other Non Cash Items,102394000.0,72874000.0,50596000.0,34179000.0
Stock Based Compensation,6025000.0,5614000.0,,
Provisionand Write Offof Assets,1185000.0,-2131000.0,-2033000.0,4302000.0
Deferred Tax,7054000.0,-7253000.0,-13506000.0,-34849000.0
Depreciation And Amortization,210203000.0,200154000.0,184568000.0,157774000.0
Depreciation,210203000.0,200154000.0,184568000.0,157774000.0
Net Income From Continuing Operations,105509000.0,92905000.0,86345000.0,79426000.0
