,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,437996000.0,454935000.0,-413018000.0,-189272000.0,
Repurchase Of Capital Stock,-9201000.0,0.0,0.0,-14632000.0,
Repayment Of Debt,-1321355000.0,-622569000.0,-575486000.0,-588090000.0,
Issuance Of Debt,1153228000.0,494659000.0,1198679000.0,689110000.0,
Issuance Of Capital Stock,2799000.0,585000.0,983000.0,3371000.0,
Capital Expenditure,-91084000.0,-85799000.0,-83049000.0,-43524000.0,
End Cash Position,566929000.0,591375000.0,426576000.0,359007000.0,
Beginning Cash Position,591375000.0,426576000.0,359007000.0,544162000.0,
Effect Of Exchange Rate Changes,-4018000.0,216000.0,1061000.0,-937000.0,
Changes In Cash,-20428000.0,164583000.0,66508000.0,-184218000.0,
Financing Cash Flow,-262982000.0,-222083000.0,562226000.0,18555000.0,
Net Other Financing Charges,-15109000.0,-6009000.0,-1354000.0,-10009000.0,
Cash Dividends Paid,-61992000.0,-77368000.0,-50329000.0,-52591000.0,
Common Stock Dividend Paid,-61992000.0,-77368000.0,-50329000.0,-52591000.0,
Net Common Stock Issuance,-6402000.0,585000.0,983000.0,-11261000.0,
Common Stock Payments,-9201000.0,0.0,0.0,-14632000.0,
Common Stock Issuance,2799000.0,585000.0,983000.0,3371000.0,
Net Issuance Payments Of Debt,-168127000.0,-127910000.0,623193000.0,101020000.0,
Net Long Term Debt Issuance,-168127000.0,-127910000.0,623193000.0,101020000.0,
Long Term Debt Payments,-1321355000.0,-622569000.0,-575486000.0,-588090000.0,
Long Term Debt Issuance,1153228000.0,494659000.0,1198679000.0,689110000.0,
Investing Cash Flow,-286526000.0,-154068000.0,-165749000.0,-57025000.0,
Net Investment Purchase And Sale,-159123000.0,408000.0,-10147000.0,,
Sale Of Investment,,408000.0,0.0,,
Purchase Of Investment,-159123000.0,0.0,-10147000.0,,
Net Business Purchase And Sale,-23196000.0,-68677000.0,-72553000.0,-13501000.0,
Purchase Of Business,-23196000.0,-68677000.0,-72553000.0,-13501000.0,
Net Intangibles Purchase And Sale,-70198000.0,-36571000.0,-47763000.0,-16043000.0,
Purchase Of Intangibles,-70198000.0,-36571000.0,-47763000.0,-16043000.0,
Net PPE Purchase And Sale,-20886000.0,-49228000.0,-35286000.0,-27481000.0,
Purchase Of PPE,-20886000.0,-49228000.0,-35286000.0,-27481000.0,
Operating Cash Flow,529080000.0,540734000.0,-329969000.0,-145748000.0,
Taxes Refund Paid,,,,,0.0
Interest Paid Cfo,-185862000.0,-162205000.0,-100278000.0,-68264000.0,
Change In Working Capital,400841000.0,164735000.0,-831060000.0,-432571000.0,
Change In Other Current Liabilities,,,395000.0,0.0,
Change In Other Current Assets,-11605000.0,-8034000.0,-4541000.0,-5828000.0,
Change In Payable,-183392000.0,259547000.0,-464141000.0,657728000.0,
Change In Prepaid Assets,15713000.0,-5607000.0,6075000.0,-7860000.0,
Change In Inventory,152343000.0,148528000.0,265514000.0,-1061553000.0,
Change In Receivables,427782000.0,-229699000.0,-633967000.0,-15058000.0,
Other Non Cash Items,143742000.0,188653000.0,106397000.0,22304000.0,
Stock Based Compensation,1071000.0,1882000.0,1299000.0,1475000.0,
Provisionand Write Offof Assets,-17971000.0,28397000.0,110754000.0,70112000.0,
Deferred Tax,7517000.0,10983000.0,12272000.0,16829000.0,
Depreciation And Amortization,57417000.0,56230000.0,49891000.0,42344000.0,
Depreciation,57417000.0,56230000.0,49891000.0,42344000.0,
Net Foreign Currency Exchange Gain Loss,29622000.0,-5380000.0,6129000.0,6743000.0,
Gain Loss On Sale Of PPE,,,0.0,-3458000.0,
Net Income From Continuing Operations,85038000.0,250882000.0,306357000.0,202896000.0,
