,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-5144800000.0,-5583350000.0,1195603000.0,871124000.0,
Repurchase Of Capital Stock,-945077000.0,-530641000.0,-18633000.0,,
Repayment Of Debt,-2549014000.0,-1322323000.0,0.0,-2973134000.0,
Issuance Of Debt,10238071000.0,1711425000.0,4386823000.0,4191053000.0,
Issuance Of Capital Stock,58595000.0,33118000.0,16030000.0,1976744000.0,
Capital Expenditure,-14814285000.0,-13323637000.0,-3731556000.0,-1312612000.0,
End Cash Position,3993359000.0,2335403000.0,9612961000.0,970681000.0,
Beginning Cash Position,2335403000.0,9612961000.0,970681000.0,809273000.0,
Effect Of Exchange Rate Changes,971976000.0,-855986000.0,-118833000.0,93563000.0,
Changes In Cash,685980000.0,-6421572000.0,8761113000.0,67845000.0,
Financing Cash Flow,5830780000.0,-917103000.0,4009917000.0,2627429000.0,
Net Other Financing Charges,18699000.0,,-21544000.0,-115747000.0,-155960000.0
Interest Paid Cff,-916407000.0,-675521000.0,-287096000.0,-312565000.0,
Cash Dividends Paid,,-60618000.0,,,
Net Common Stock Issuance,-886482000.0,-497523000.0,-2603000.0,1976744000.0,
Common Stock Payments,-945077000.0,-530641000.0,-18633000.0,,
Common Stock Issuance,58595000.0,33118000.0,16030000.0,1976744000.0,
Net Issuance Payments Of Debt,7689057000.0,389102000.0,4386823000.0,1217919000.0,
Net Long Term Debt Issuance,7689057000.0,389102000.0,4386823000.0,1217919000.0,
Long Term Debt Payments,-2549014000.0,-1322323000.0,0.0,-2973134000.0,
Long Term Debt Issuance,10238071000.0,1711425000.0,4386823000.0,4191053000.0,
Investing Cash Flow,-14814285000.0,-13244756000.0,-175963000.0,-4743320000.0,
Net Other Investing Changes,,78881000.0,1236000.0,30692000.0,65949000.0
Net Investment Purchase And Sale,,0.0,3555593000.0,-3461400000.0,206491000.0
Net Intangibles Purchase And Sale,-12764000.0,-395000.0,-862000.0,-368950000.0,
Purchase Of Intangibles,,,,,-90967000.0
Net PPE Purchase And Sale,-14801521000.0,-13323242000.0,-3730694000.0,-943662000.0,
Purchase Of PPE,-14801521000.0,-13323242000.0,-3730694000.0,-943662000.0,
Operating Cash Flow,9669485000.0,7740287000.0,4927159000.0,2183736000.0,
Change In Working Capital,-15227000.0,-2006147000.0,335581000.0,-693223000.0,
Change In Other Current Liabilities,78711000.0,33428000.0,3577000.0,-106446000.0,
Change In Other Current Assets,,,,9680000.0,4000.0
Change In Payable,-451383000.0,-533874000.0,-200216000.0,-133231000.0,
Change In Prepaid Assets,-357273000.0,-89191000.0,-10673000.0,33729000.0,
Change In Inventory,-326239000.0,213845000.0,-223015000.0,-51033000.0,
Change In Receivables,991101000.0,-1739569000.0,754699000.0,-512710000.0,
Other Non Cash Items,917348000.0,1683473000.0,330951000.0,533817000.0,
Stock Based Compensation,70870000.0,90001000.0,36008000.0,27527000.0,
Provisionand Write Offof Assets,-158921000.0,-154448000.0,-291457000.0,-64777000.0,
Depreciation And Amortization,2494296000.0,2054585000.0,854256000.0,881271000.0,
Depreciation,2494296000.0,2054585000.0,854256000.0,881271000.0,
Gain Loss On Investment Securities,,-31849000.0,,,
Gain Loss On Sale Of PPE,,,,,0.0
Net Income From Continuing Operations,6361119000.0,6104672000.0,3661820000.0,1499121000.0,
