,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,1033720000.0,25357000.0,278533000.0,-193382000.0,
Repurchase Of Capital Stock,-14124000.0,-4055000.0,-8364000.0,-5527000.0,
Repayment Of Debt,-1043520000.0,-331000.0,-704675000.0,-283203000.0,
Issuance Of Debt,1746027000.0,279030000.0,643520000.0,60479000.0,
Issuance Of Capital Stock,1702000.0,2604000.0,1038927000.0,1190431000.0,
Capital Expenditure,-1185407000.0,-1366449000.0,-1227617000.0,-832281000.0,
End Cash Position,295548000.0,197184000.0,361028000.0,217159000.0,
Beginning Cash Position,197184000.0,361028000.0,217159000.0,30861000.0,
Effect Of Exchange Rate Changes,0.0,247000.0,597000.0,,
Changes In Cash,98364000.0,-164091000.0,143272000.0,186298000.0,
Financing Cash Flow,-518177000.0,-694726000.0,436216000.0,865552000.0,
Net Other Financing Charges,-398712000.0,-651888000.0,-273954000.0,,
Cash Dividends Paid,-775976000.0,-281943000.0,-205309000.0,,
Common Stock Dividend Paid,-775976000.0,-281943000.0,-205309000.0,,
Net Common Stock Issuance,-12422000.0,-1451000.0,1030563000.0,1184904000.0,
Common Stock Payments,-14124000.0,-4055000.0,-8364000.0,-5527000.0,
Common Stock Issuance,1702000.0,2604000.0,1038927000.0,1190431000.0,
Net Issuance Payments Of Debt,702507000.0,278699000.0,-61155000.0,-222724000.0,
Net Long Term Debt Issuance,702507000.0,278699000.0,-61155000.0,-222724000.0,
Long Term Debt Payments,-1043520000.0,-331000.0,-704675000.0,-283203000.0,
Long Term Debt Issuance,1746027000.0,279030000.0,643520000.0,60479000.0,
Investing Cash Flow,-1602586000.0,-861171000.0,-1799094000.0,-1318153000.0,
Net Other Investing Changes,,,,-832281000.0,-227555000.0
Dividends Received Cfi,,0.0,0.0,,
Net Investment Purchase And Sale,-417179000.0,977533000.0,-571477000.0,-485872000.0,
Purchase Of Investment,,,-571477000.0,-485872000.0,-124829000.0
Net Business Purchase And Sale,0.0,-472255000.0,0.0,,
Sale Of Business,,0.0,0.0,,
Purchase Of Business,0.0,-472255000.0,0.0,,
Net Intangibles Purchase And Sale,,,,,-1559000.0
Purchase Of Intangibles,,,,,-1559000.0
Net PPE Purchase And Sale,-1185407000.0,-1366449000.0,-1227617000.0,-832281000.0,
Purchase Of PPE,-1185407000.0,-1366449000.0,-1227617000.0,-832281000.0,
Operating Cash Flow,2219127000.0,1391806000.0,1506150000.0,638899000.0,
Taxes Refund Paid,-18622000.0,-73378000.0,-222313000.0,-24349000.0,
Interest Paid Cfo,-140901000.0,-60439000.0,-46111000.0,-60126000.0,
Change In Working Capital,145366000.0,23676000.0,-63657000.0,-39201000.0,
Change In Other Current Assets,-46431000.0,-9863000.0,-15286000.0,915000.0,
Change In Accrued Expense,18541000.0,26343000.0,30285000.0,46000.0,
Change In Payable,23084000.0,44782000.0,379342000.0,55253000.0,
Change In Inventory,4344000.0,5685000.0,-4899000.0,-5341000.0,
Change In Receivables,145828000.0,-43271000.0,-453099000.0,-90074000.0,
Other Non Cash Items,409594000.0,-81818000.0,-72910000.0,96183000.0,
Stock Based Compensation,,,12171000.0,20171000.0,
Provisionand Write Offof Assets,78067000.0,21369000.0,93997000.0,6562000.0,
Deferred Tax,,,318000.0,,2188000.0
Depreciation And Amortization,694816000.0,598327000.0,351220000.0,250200000.0,
Amortization Cash Flow,,,,,753000.0
Depreciation,694816000.0,598327000.0,351220000.0,250200000.0,
Gain Loss On Investment Securities,495759000.0,268254000.0,441631000.0,126780000.0,
Net Foreign Currency Exchange Gain Loss,,,0.0,596000.0,-199000.0
Gain Loss On Sale Of PPE,,,,162240000.0,81277000.0
Net Income From Continuing Operations,363405000.0,728829000.0,1324600000.0,233617000.0,
