,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-5043128000.0,-2368651000.0,-7503406000.0,-15024161000.0,
Repurchase Of Capital Stock,-99687000.0,-37587000.0,-17721000.0,-291916000.0,
Repayment Of Debt,-7702758000.0,-6872956000.0,-1625750000.0,-7125373000.0,
Issuance Of Debt,15563309000.0,9909483000.0,9850734000.0,21561680000.0,
Issuance Of Capital Stock,12674000.0,0.0,7126000.0,8231000.0,
Capital Expenditure,-1482994000.0,-988309000.0,-660859000.0,-310510000.0,
End Cash Position,1903850000.0,1345475000.0,1718025000.0,1029383000.0,
Beginning Cash Position,1345475000.0,1718025000.0,1029383000.0,409601000.0,
Changes In Cash,558375000.0,-372550000.0,688642000.0,619782000.0,
Financing Cash Flow,5647131000.0,2401839000.0,9326225000.0,15785450000.0,
Net Other Financing Charges,-1969229000.0,-115538000.0,1527020000.0,1866529000.0,
Interest Paid Cff,,,,-62974000.0,-36028000.0
Cash Dividends Paid,-157178000.0,-481563000.0,-415184000.0,-226573000.0,
Common Stock Dividend Paid,,-481563000.0,-415184000.0,-226573000.0,-12828000.0
Net Common Stock Issuance,-87013000.0,-37587000.0,-10595000.0,-283685000.0,
Common Stock Payments,-99687000.0,-37587000.0,-17721000.0,-291916000.0,
Common Stock Issuance,12674000.0,0.0,7126000.0,8231000.0,
Net Issuance Payments Of Debt,7860551000.0,3036527000.0,8224984000.0,14436307000.0,
Net Long Term Debt Issuance,7860551000.0,3036527000.0,8224984000.0,14436307000.0,
Long Term Debt Payments,-7702758000.0,-6872956000.0,-1625750000.0,-7125373000.0,
Long Term Debt Issuance,15563309000.0,9909483000.0,9850734000.0,21561680000.0,
Investing Cash Flow,-1528622000.0,-1394047000.0,-1795036000.0,-452017000.0,
Dividends Received Cfi,2000000.0,0.0,0.0,0.0,
Net Investment Purchase And Sale,0.0,-130606000.0,0.0,0.0,
Sale Of Investment,,,,318443000.0,0.0
Purchase Of Investment,0.0,-130606000.0,0.0,0.0,
Net Business Purchase And Sale,-47628000.0,-275132000.0,-1134177000.0,-141507000.0,
Sale Of Business,0.0,0.0,0.0,318443000.0,
Purchase Of Business,-47628000.0,-275132000.0,-1134177000.0,-459950000.0,
Net Intangibles Purchase And Sale,,,0.0,-302022000.0,0.0
Purchase Of Intangibles,,,0.0,-302022000.0,0.0
Net PPE Purchase And Sale,-1482994000.0,-988309000.0,-660859000.0,-310510000.0,
Purchase Of PPE,-1482994000.0,-988309000.0,-660859000.0,-310510000.0,
Capital Expenditure Reported,,,,-310510000.0,-224817000.0
Operating Cash Flow,-3560134000.0,-1380342000.0,-6842547000.0,-14713651000.0,
Taxes Refund Paid,-288101000.0,-481917000.0,-464810000.0,-173587000.0,
Interest Paid Cfo,-5396180000.0,-4553899000.0,-3126045000.0,-1539718000.0,
Change In Working Capital,-1139918000.0,-2318812000.0,-1901270000.0,-976751000.0,
Change In Other Current Assets,-692983000.0,-404471000.0,-517258000.0,136707000.0,
Change In Accrued Expense,9435000.0,186006000.0,283326000.0,135498000.0,
Change In Payable,1007954000.0,-100977000.0,225630000.0,-40709000.0,
Change In Inventory,-283152000.0,-1070770000.0,-715865000.0,-268150000.0,
Change In Receivables,-1181172000.0,-928600000.0,-1177103000.0,-940097000.0,
Other Non Cash Items,13630586000.0,10016160000.0,7953443000.0,4167973000.0,
Stock Based Compensation,,0.0,0.0,16754000.0,-3176000.0
Provisionand Write Offof Assets,493357000.0,912093000.0,334987000.0,172660000.0,
Depreciation And Amortization,4010493000.0,3481049000.0,1895775000.0,1059114000.0,
Depreciation,4010493000.0,3481049000.0,1895775000.0,1059114000.0,
Gain Loss On Investment Securities,-1183294000.0,1951027000.0,1547875000.0,-326352000.0,
Net Foreign Currency Exchange Gain Loss,2244280000.0,-442794000.0,-695607000.0,593255000.0,
Net Income From Continuing Operations,411420000.0,-1029055000.0,987385000.0,1912958000.0,
