,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,662069000.0,979717000.0,1527024000.0,-2020000.0,
Repurchase Of Capital Stock,-2937000.0,-193762000.0,,-71233000.0,
Repayment Of Debt,-1965981000.0,-2358100000.0,-1676238000.0,-2154523000.0,
Issuance Of Debt,2741276000.0,3325696000.0,2602726000.0,1427030000.0,
Issuance Of Capital Stock,900000.0,0.0,,,4681000.0
Capital Expenditure,-818062000.0,-822184000.0,-464753000.0,-437110000.0,
End Cash Position,1979575000.0,1613703000.0,1235775000.0,139780000.0,
Other Cash Adjustment Outside Changein Cash,,,,,-44689000.0
Beginning Cash Position,1613703000.0,1235775000.0,139780000.0,1604053000.0,
Changes In Cash,365872000.0,377928000.0,1095995000.0,-1464273000.0,
Financing Cash Flow,-271146000.0,-567559000.0,-409969000.0,-1423168000.0,
Net Other Financing Charges,-187016000.0,-195367000.0,-91203000.0,-188163000.0,
Cash Dividends Paid,-423837000.0,-628934000.0,-558383000.0,-205339000.0,
Common Stock Dividend Paid,-423837000.0,-628934000.0,-558383000.0,-205339000.0,
Net Common Stock Issuance,-2037000.0,-193762000.0,-175533000.0,-71233000.0,
Common Stock Payments,-2937000.0,-193762000.0,,-71233000.0,
Common Stock Issuance,900000.0,0.0,,,4681000.0
Net Issuance Payments Of Debt,775295000.0,967596000.0,926488000.0,-727493000.0,
Net Long Term Debt Issuance,775295000.0,967596000.0,926488000.0,-727493000.0,
Long Term Debt Payments,-1965981000.0,-2358100000.0,-1676238000.0,-2154523000.0,
Long Term Debt Issuance,2741276000.0,3325696000.0,2602726000.0,1427030000.0,
Investing Cash Flow,-843113000.0,-856414000.0,-485813000.0,-476195000.0,
Net Investment Purchase And Sale,-21051000.0,-37582000.0,-22703000.0,-1640000.0,
Purchase Of Investment,,-37582000.0,-22703000.0,-2346000.0,-706000.0
Net Business Purchase And Sale,-4000000.0,0.0,0.0,-55297000.0,
Purchase Of Business,-4000000.0,0.0,0.0,-55297000.0,
Net Intangibles Purchase And Sale,-8297000.0,-17069000.0,-36433000.0,-36007000.0,
Purchase Of Intangibles,-8297000.0,-17069000.0,-36433000.0,-36007000.0,
Net PPE Purchase And Sale,-809765000.0,-801763000.0,-426677000.0,-383251000.0,
Sale Of PPE,0.0,3352000.0,1643000.0,17852000.0,
Purchase Of PPE,-809765000.0,-805115000.0,-428320000.0,-401103000.0,
Operating Cash Flow,1480131000.0,1801901000.0,1991777000.0,435090000.0,
Taxes Refund Paid,-132131000.0,-274365000.0,-376330000.0,-171484000.0,
Interest Paid Cfo,-419872000.0,-477531000.0,-328655000.0,-105946000.0,
Dividend Received Cfo,,0.0,0.0,0.0,
Dividend Paid Cfo,0.0,0.0,,,
Change In Working Capital,-274420000.0,-260016000.0,-376304000.0,-1031251000.0,
Change In Other Current Liabilities,-2435000.0,58000.0,2422000.0,-51000.0,
Change In Other Current Assets,-182354000.0,495752000.0,82666000.0,240039000.0,
Change In Payable,324010000.0,-604570000.0,338480000.0,-319883000.0,
Change In Prepaid Assets,-21453000.0,339000.0,10102000.0,-22556000.0,
Change In Inventory,-183201000.0,-119647000.0,-685879000.0,-958924000.0,
Change In Receivables,-208987000.0,-31948000.0,-124095000.0,30124000.0,
Other Non Cash Items,1417985000.0,978101000.0,636575000.0,-145996000.0,
Stock Based Compensation,12064000.0,18432000.0,15800000.0,8901000.0,
Provisionand Write Offof Assets,9517000.0,15199000.0,71366000.0,38487000.0,
Deferred Tax,,810000.0,13278000.0,-3780000.0,24904000.0
Depreciation And Amortization,575304000.0,519230000.0,488557000.0,279157000.0,
Depreciation,575304000.0,519230000.0,488557000.0,279157000.0,
Pension And Employee Benefit Expense,60973000.0,89157000.0,85356000.0,98621000.0,
Gain Loss On Investment Securities,-283508000.0,-30211000.0,-52549000.0,-105675000.0,
Net Income From Continuing Operations,514216000.0,1223905000.0,1805825000.0,1560810000.0,
