,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,1496052000.0,681090000.0,1832359000.0,1396218000.0,
Repayment Of Debt,-2012611000.0,-539263000.0,-1320388000.0,-757797000.0,
Issuance Of Debt,1682950000.0,1755677000.0,2362096000.0,739539000.0,
Capital Expenditure,-44285000.0,-75312000.0,-178512000.0,-52356000.0,
End Cash Position,750976000.0,1306121000.0,1083174000.0,384824000.0,
Beginning Cash Position,1306121000.0,1083174000.0,384824000.0,896031000.0,
Changes In Cash,-555145000.0,222947000.0,698350000.0,-511207000.0,
Financing Cash Flow,-2058117000.0,-458158000.0,-1001313000.0,-1830963000.0,
Net Other Financing Charges,8308000.0,7206000.0,151345000.0,-11344000.0,
Interest Paid Cff,-728598000.0,-673848000.0,-509193000.0,-239443000.0,
Cash Dividends Paid,-1006548000.0,-1004021000.0,-1672384000.0,-1551506000.0,
Common Stock Dividend Paid,-1006548000.0,-1004021000.0,-1672384000.0,-1551506000.0,
Net Issuance Payments Of Debt,-329661000.0,1216414000.0,1041708000.0,-18258000.0,
Net Long Term Debt Issuance,-329661000.0,1216414000.0,1041708000.0,-18258000.0,
Long Term Debt Payments,-2012611000.0,-539263000.0,-1320388000.0,-757797000.0,
Long Term Debt Issuance,1682950000.0,1755677000.0,2362096000.0,739539000.0,
Investing Cash Flow,-37365000.0,-75297000.0,-311208000.0,-128818000.0,
Net Investment Purchase And Sale,6920000.0,15000.0,804000.0,-62000.0,
Sale Of Investment,6920000.0,15000.0,804000.0,,
Net Business Purchase And Sale,0.0,0.0,-133500000.0,-76400000.0,
Purchase Of Business,0.0,0.0,-133500000.0,-76400000.0,
Net PPE Purchase And Sale,-44285000.0,-75312000.0,-178512000.0,-52356000.0,
Purchase Of PPE,-44285000.0,-75312000.0,-178512000.0,-52356000.0,
Capital Expenditure Reported,,,,,-41179000.0
Operating Cash Flow,1540337000.0,756402000.0,2010871000.0,1448574000.0,
Taxes Refund Paid,-52989000.0,-76990000.0,-77344000.0,-58885000.0,
Dividend Received Cfo,527065000.0,593653000.0,395883000.0,423809000.0,
Change In Working Capital,643644000.0,-269339000.0,1179874000.0,741198000.0,
Change In Other Current Liabilities,-6006000.0,-10989000.0,10389000.0,-10857000.0,
Change In Other Current Assets,40551000.0,-8043000.0,-66052000.0,4317000.0,
Change In Payable,-932072000.0,-829384000.0,-238307000.0,-442534000.0,
Change In Receivables,1541171000.0,579077000.0,1473844000.0,1190272000.0,
Other Non Cash Items,-830319000.0,-571938000.0,-814324000.0,-1645089000.0,
Provisionand Write Offof Assets,63804000.0,-19923000.0,74451000.0,2040000.0,
Deferred Tax,244698000.0,140919000.0,293956000.0,525495000.0,
Depreciation And Amortization,24720000.0,17924000.0,24978000.0,22652000.0,
Depreciation,24720000.0,17924000.0,24978000.0,22652000.0,
Gain Loss On Investment Securities,-110066000.0,1889000.0,49069000.0,5078000.0,
Net Income From Continuing Operations,1693915000.0,1367720000.0,1449215000.0,2213714000.0,
