,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,475551000.0,249232000.0,-426369000.0,-306897000.0,
Repurchase Of Capital Stock,,,,-96069000.0,-5287000.0
Repayment Of Debt,-1273351000.0,-1184918000.0,-661015000.0,-930111000.0,
Issuance Of Debt,1125247000.0,877918000.0,738681000.0,1093657000.0,
Issuance Of Capital Stock,13979000.0,257372000.0,20745000.0,,816000.0
Capital Expenditure,-66633000.0,-30715000.0,-59031000.0,-143240000.0,
End Cash Position,92687000.0,52056000.0,83692000.0,87074000.0,
Beginning Cash Position,52056000.0,83692000.0,87074000.0,69735000.0,
Changes In Cash,40631000.0,-31636000.0,-3382000.0,17339000.0,
Financing Cash Flow,-267317000.0,-244215000.0,-67507000.0,42550000.0,
Net Other Financing Charges,-29000.0,-289000.0,9055000.0,-1724000.0,
Interest Paid Cff,-123530000.0,-175572000.0,-167421000.0,-140932000.0,
Cash Dividends Paid,,,,-17055000.0,-48573000.0
Common Stock Dividend Paid,,,0.0,-17055000.0,-48573000.0
Net Common Stock Issuance,13979000.0,257372000.0,20745000.0,-95332000.0,
Common Stock Payments,,,,-96069000.0,-5287000.0
Common Stock Issuance,13979000.0,257372000.0,20745000.0,,816000.0
Net Issuance Payments Of Debt,-148104000.0,-307000000.0,77666000.0,163546000.0,
Net Long Term Debt Issuance,-148104000.0,-307000000.0,77666000.0,163546000.0,
Long Term Debt Payments,-1273351000.0,-1184918000.0,-661015000.0,-930111000.0,
Long Term Debt Issuance,1125247000.0,877918000.0,738681000.0,1093657000.0,
Investing Cash Flow,-234236000.0,-67368000.0,431463000.0,138446000.0,
Net Other Investing Changes,,,,,-564000.0
Net Investment Purchase And Sale,-155055000.0,-14905000.0,496594000.0,277335000.0,
Net Investment Properties Purchase And Sale,,,,,-564000.0
Purchase Of Investment Properties,,,,,-564000.0
Net Business Purchase And Sale,-12548000.0,-21748000.0,-6100000.0,4351000.0,
Purchase Of Business,,,,,-123000.0
Net PPE Purchase And Sale,-66633000.0,-30715000.0,-59031000.0,-143240000.0,
Purchase Of PPE,-66633000.0,-30715000.0,-59031000.0,-143240000.0,
Operating Cash Flow,542184000.0,279947000.0,-367338000.0,-163657000.0,
Taxes Refund Paid,-4456000.0,-11807000.0,-41403000.0,-23295000.0,
Dividend Received Cfo,,,,0.0,0.0
Change In Working Capital,-131069000.0,83424000.0,-185432000.0,-179308000.0,
Change In Other Current Liabilities,587533000.0,325350000.0,78631000.0,265337000.0,
Change In Other Current Assets,76179000.0,0.0,0.0,,
Change In Accrued Expense,-48634000.0,-31370000.0,-15151000.0,-19558000.0,
Change In Payable,-33518000.0,114009000.0,-1869000.0,54445000.0,
Change In Inventory,-216476000.0,12193000.0,-242244000.0,-183008000.0,
Change In Receivables,-496153000.0,-336758000.0,-4799000.0,-296524000.0,
Other Non Cash Items,254995000.0,156532000.0,92213000.0,74154000.0,
Stock Based Compensation,26151000.0,3303000.0,12872000.0,16308000.0,
Provisionand Write Offof Assets,163084000.0,128532000.0,140110000.0,67369000.0,
Deferred Tax,-6682000.0,96000.0,4949000.0,-3937000.0,
Depreciation And Amortization,68595000.0,61723000.0,59509000.0,44553000.0,
Depreciation,68595000.0,61723000.0,59509000.0,44553000.0,
Gain Loss On Investment Securities,65394000.0,-54405000.0,24764000.0,-14860000.0,
Gain Loss On Sale Of Business,0.0,0.0,2000.0,-901000.0,
Net Income From Continuing Operations,124282000.0,-58071000.0,-511081000.0,-150541000.0,
