,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,201917000.0,173742000.0,177689000.0,24917000.0,
Repayment Of Debt,-10000000.0,-55000000.0,-60000000.0,-65005000.0,
Issuance Of Debt,14639000.0,56271000.0,32568000.0,0.0,
Capital Expenditure,-56770000.0,-42694000.0,-30101000.0,-28584000.0,
End Cash Position,241335000.0,232539000.0,190299000.0,147128000.0,
Other Cash Adjustment Outside Changein Cash,,,,,60282000.0
Beginning Cash Position,232539000.0,190299000.0,147128000.0,260387000.0,
Changes In Cash,8796000.0,42240000.0,43171000.0,-113259000.0,
Financing Cash Flow,-207087000.0,-144536000.0,-136480000.0,-149370000.0,
Net Other Financing Charges,,,,,16967000.0
Cash Dividends Paid,-180158000.0,-112817000.0,-73963000.0,-51816000.0,
Common Stock Dividend Paid,-180158000.0,-112817000.0,-73963000.0,,-22431000.0
Net Issuance Payments Of Debt,4639000.0,1271000.0,-27432000.0,-65005000.0,
Net Long Term Debt Issuance,4639000.0,1271000.0,-27432000.0,-65005000.0,
Long Term Debt Payments,-10000000.0,-55000000.0,-60000000.0,-65005000.0,
Long Term Debt Issuance,14639000.0,56271000.0,32568000.0,0.0,
Investing Cash Flow,-42804000.0,-29660000.0,-28139000.0,-17390000.0,
Net Other Investing Changes,,,1146000.0,831000.0,548000.0
Dividends Received Cfi,27154000.0,14702000.0,6682000.0,6588000.0,
Net Investment Purchase And Sale,-6000000.0,-3003000.0,-5866000.0,3775000.0,
Sale Of Investment,,,0.0,3775000.0,
Purchase Of Investment,-6000000.0,-3003000.0,-5866000.0,0.0,
Net Business Purchase And Sale,-10000000.0,0.0,524000.0,0.0,
Sale Of Business,,0.0,524000.0,,0.0
Purchase Of Business,-10000000.0,0.0,0.0,0.0,
Net Intangibles Purchase And Sale,-15742000.0,-7027000.0,-7736000.0,-5276000.0,
Purchase Of Intangibles,-15742000.0,-7027000.0,-7736000.0,-5276000.0,
Net PPE Purchase And Sale,-38216000.0,-34332000.0,-21743000.0,-23308000.0,
Sale Of PPE,2812000.0,1335000.0,622000.0,,
Purchase Of PPE,-41028000.0,-35667000.0,-22365000.0,-23308000.0,
Operating Cash Flow,258687000.0,216436000.0,207790000.0,53501000.0,
Taxes Refund Paid,-63544000.0,-40447000.0,-20873000.0,-16571000.0,
Interest Paid Cfo,-21534000.0,-23329000.0,-18317000.0,-15817000.0,
Change In Working Capital,30560000.0,41077000.0,40934000.0,-74258000.0,
Change In Other Current Liabilities,14360000.0,5173000.0,13468000.0,-3794000.0,
Change In Other Current Assets,-7488000.0,475000.0,-7108000.0,-1841000.0,
Change In Accrued Expense,3201000.0,3868000.0,1890000.0,3715000.0,
Change In Payable,11993000.0,9755000.0,-13336000.0,15345000.0,
Change In Receivables,8494000.0,21806000.0,46020000.0,-87683000.0,
Other Non Cash Items,23143000.0,24304000.0,23684000.0,15288000.0,
Provisionand Write Offof Assets,,2112000.0,6852000.0,4935000.0,15295000.0
Deferred Tax,-964000.0,-4126000.0,-9992000.0,2167000.0,
Depreciation And Amortization,55635000.0,54764000.0,53095000.0,50865000.0,
Amortization Cash Flow,6179000.0,5916000.0,4996000.0,,
Depreciation,49456000.0,48848000.0,48099000.0,50865000.0,
Gain Loss On Investment Securities,-778000.0,176000.0,-663000.0,-2178000.0,
Net Income From Continuing Operations,270612000.0,181912000.0,159664000.0,107785000.0,
