,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,319629000.0,-18497000.0,-295846000.0,-110186000.0,
Repurchase Of Capital Stock,-12388000.0,0.0,0.0,-27265000.0,
Issuance Of Capital Stock,,,,0.0,0.0
Capital Expenditure,-1012000.0,-19581000.0,-23965000.0,-27180000.0,
End Cash Position,449769000.0,362013000.0,310361000.0,387514000.0,
Beginning Cash Position,362013000.0,310361000.0,387514000.0,478720000.0,
Changes In Cash,87756000.0,51652000.0,-77153000.0,-91206000.0,
Financing Cash Flow,-292844000.0,100451000.0,208754000.0,9875000.0,
Net Other Financing Charges,-18134000.0,-9337000.0,-4994000.0,-13195000.0,
Cash Dividends Paid,-36000000.0,-24984000.0,-39957000.0,-44994000.0,
Common Stock Dividend Paid,-36000000.0,-24984000.0,-39957000.0,-44994000.0,
Net Common Stock Issuance,-12388000.0,0.0,0.0,-27265000.0,
Common Stock Payments,-12388000.0,0.0,0.0,-27265000.0,
Common Stock Issuance,,,,0.0,0.0
Net Issuance Payments Of Debt,-226322000.0,134772000.0,253705000.0,95329000.0,
Net Long Term Debt Issuance,-226322000.0,134772000.0,253705000.0,95329000.0,
Investing Cash Flow,59959000.0,-49883000.0,-14026000.0,-18075000.0,
Net Investment Purchase And Sale,39626000.0,-30302000.0,9939000.0,9105000.0,
Net Intangibles Purchase And Sale,-1012000.0,-1845000.0,-1391000.0,-1781000.0,
Purchase Of Intangibles,-1012000.0,-1845000.0,-1391000.0,-1781000.0,
Net PPE Purchase And Sale,21345000.0,-17736000.0,-22574000.0,-25399000.0,
Purchase Of PPE,,-17736000.0,-22574000.0,-25399000.0,-17629000.0
Operating Cash Flow,320641000.0,1084000.0,-271881000.0,-83006000.0,
Taxes Refund Paid,-31138000.0,-22221000.0,-20412000.0,-19182000.0,
Interest Paid Cfo,-56943000.0,-61276000.0,-47859000.0,-21524000.0,
Change In Working Capital,75342000.0,-134370000.0,-364934000.0,-227018000.0,
Change In Other Current Assets,-92140000.0,-59064000.0,-67810000.0,-24441000.0,
Change In Payable,-26512000.0,-44316000.0,-111576000.0,-346120000.0,
Change In Inventory,355505000.0,223772000.0,-100526000.0,14827000.0,
Change In Receivables,-161511000.0,-254762000.0,-85022000.0,128716000.0,
Other Non Cash Items,91249000.0,65636000.0,61427000.0,31978000.0,
Provisionand Write Offof Assets,24934000.0,18382000.0,13437000.0,-2832000.0,
Deferred Tax,1872000.0,5203000.0,1584000.0,-3318000.0,
Depreciation And Amortization,24739000.0,25704000.0,23329000.0,17914000.0,
Depreciation,24739000.0,25704000.0,23329000.0,17914000.0,
Gain Loss On Investment Securities,,-6678000.0,-11812000.0,,
Gain Loss On Sale Of PPE,,,,0.0,0.0
Net Income From Continuing Operations,209499000.0,158343000.0,91500000.0,149420000.0,
