,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,1948401000.0,2562492000.0,797858000.0,1305148000.0,
Repurchase Of Capital Stock,-148945000.0,0.0,0.0,,
Repayment Of Debt,-3004357000.0,-3363052000.0,-6199622000.0,-2731197000.0,
Issuance Of Debt,4179974000.0,2903031000.0,1519580000.0,1383611000.0,
Capital Expenditure,-1787175000.0,-1287330000.0,-1206836000.0,-1280812000.0,
End Cash Position,2071593000.0,5925688000.0,5621769000.0,2280074000.0,
Beginning Cash Position,5925688000.0,5621769000.0,2280074000.0,2273513000.0,
Effect Of Exchange Rate Changes,32381000.0,-29952000.0,-43340000.0,52006000.0,
Changes In Cash,-3886476000.0,333871000.0,3385035000.0,-45445000.0,
Cash Flow From Discontinued Operation,0.0,0.0,387981000.0,,
Financing Cash Flow,-1234102000.0,-2494396000.0,-6910741000.0,-3355541000.0,
Cash From Discontinued Financing Activities,0.0,0.0,-179025000.0,-552967000.0,
Cash Flow From Continuing Financing Activities,-1234102000.0,-2494396000.0,-6731716000.0,-2802574000.0,
Net Other Financing Charges,-161470000.0,-221317000.0,-8297000.0,-177000.0,
Interest Paid Cff,-1265646000.0,-1413033000.0,-1405097000.0,-749058000.0,
Cash Dividends Paid,-833658000.0,-400025000.0,-638280000.0,-705753000.0,
Common Stock Dividend Paid,,,-638280000.0,-705753000.0,-284767000.0
Net Common Stock Issuance,-148945000.0,0.0,0.0,,
Common Stock Payments,-148945000.0,0.0,0.0,,
Net Issuance Payments Of Debt,1175617000.0,-460021000.0,-4680042000.0,-1347586000.0,
Net Long Term Debt Issuance,1175617000.0,-460021000.0,-4680042000.0,-1347586000.0,
Long Term Debt Payments,-3004357000.0,-3363052000.0,-6199622000.0,-2731197000.0,
Long Term Debt Issuance,4179974000.0,2903031000.0,1519580000.0,1383611000.0,
Investing Cash Flow,-6387950000.0,-1021555000.0,7903101000.0,724136000.0,
Cash From Discontinued Investing Activities,0.0,0.0,-220190000.0,-158733000.0,
Cash Flow From Continuing Investing Activities,-6387950000.0,-1021555000.0,8123291000.0,882869000.0,
Net Other Investing Changes,,,3980699000.0,2334000.0,
Net Investment Purchase And Sale,-4601297000.0,262675000.0,5377428000.0,2185547000.0,
Sale Of Investment,1386252000.0,586800000.0,5377428000.0,2185547000.0,
Purchase Of Investment,-5987549000.0,-324125000.0,0.0,0.0,
Net Business Purchase And Sale,522000.0,3100000.0,-28000000.0,-24200000.0,
Sale Of Business,522000.0,3100000.0,0.0,1500000.0,
Purchase Of Business,0.0,0.0,-28000000.0,-25700000.0,
Net Intangibles Purchase And Sale,,-274691000.0,-277600000.0,-237488000.0,-154534000.0
Purchase Of Intangibles,,-274691000.0,-277600000.0,-237488000.0,-154534000.0
Net PPE Purchase And Sale,-1787175000.0,-1287330000.0,-1206836000.0,-1043324000.0,
Sale Of PPE,,,,162837000.0,160023000.0
Purchase Of PPE,-1787175000.0,-1287330000.0,-1206836000.0,-1043324000.0,
Operating Cash Flow,3735576000.0,3849822000.0,2004694000.0,2585960000.0,
Cash From Discontinued Operating Activities,0.0,0.0,30550000.0,982519000.0,
Cash Flow From Continuing Operating Activities,3735576000.0,3849822000.0,1974144000.0,1603441000.0,
Taxes Refund Paid,-308915000.0,-268558000.0,-283331000.0,-230036000.0,
Dividend Received Cfo,2028000.0,12041000.0,146000.0,1005000.0,
Change In Working Capital,-2616157000.0,-1860093000.0,-1708544000.0,-983453000.0,
Change In Other Working Capital,,,,-44873000.0,-27499000.0
Change In Other Current Liabilities,-160331000.0,218523000.0,677016000.0,-55099000.0,
Change In Other Current Assets,-114528000.0,-87797000.0,-224379000.0,-19392000.0,
Change In Payables And Accrued Expense,-1250167000.0,-1694558000.0,1678981000.0,2500620000.0,
Change In Accrued Expense,-17019000.0,30965000.0,130586000.0,63066000.0,
Change In Payable,-1233148000.0,-1725523000.0,1548395000.0,2437554000.0,
Change In Account Payable,-1209636000.0,-1700496000.0,1557837000.0,2425821000.0,
