,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-5995000.0,1583899000.0,-1086276000.0,3853185000.0,
Repayment Of Debt,-1752218000.0,-2993000.0,-2007026000.0,-7609000.0,
Issuance Of Debt,1779618000.0,0.0,2200000000.0,0.0,
Capital Expenditure,-995160000.0,-2984178000.0,-2091876000.0,-1483289000.0,
End Cash Position,5200342000.0,5323851000.0,2916047000.0,6341017000.0,
Beginning Cash Position,5323851000.0,4257959000.0,6341017000.0,3261288000.0,
Effect Of Exchange Rate Changes,211626000.0,-52034000.0,6837000.0,-11151000.0,
Changes In Cash,-335135000.0,1117926000.0,-3431807000.0,3090880000.0,
Financing Cash Flow,-423371000.0,-775786000.0,-1096510000.0,-1919865000.0,
Net Other Financing Charges,-21376000.0,,8482000.0,-23089000.0,-171472000.0
Cash Dividends Paid,-383804000.0,-726529000.0,-1233223000.0,-1849264000.0,
Common Stock Dividend Paid,,,,,-68083000.0
Net Issuance Payments Of Debt,27400000.0,-2993000.0,192974000.0,-7609000.0,
Net Long Term Debt Issuance,27400000.0,-2993000.0,192974000.0,-7609000.0,
Long Term Debt Payments,-1752218000.0,-2993000.0,-2007026000.0,-7609000.0,
Long Term Debt Issuance,1779618000.0,0.0,2200000000.0,0.0,
Investing Cash Flow,-900929000.0,-2674365000.0,-3340897000.0,-325729000.0,
Dividends Received Cfi,147144000.0,161459000.0,137255000.0,128235000.0,
Net Investment Purchase And Sale,-67657000.0,128420000.0,-1473782000.0,924284000.0,
Sale Of Investment,,,,924284000.0,
Purchase Of Investment,,,-1473782000.0,,-938641000.0
Net Business Purchase And Sale,-104000.0,0.0,-67000.0,0.0,
Purchase Of Business,-104000.0,0.0,-67000.0,0.0,
Net Intangibles Purchase And Sale,-71282000.0,-53891000.0,-65240000.0,-93562000.0,
Purchase Of Intangibles,-71282000.0,-53891000.0,-65240000.0,-93562000.0,
Net PPE Purchase And Sale,-909030000.0,-2910353000.0,-1939063000.0,-1284686000.0,
Sale Of PPE,14848000.0,19934000.0,87573000.0,105041000.0,
Purchase Of PPE,-923878000.0,-2930287000.0,-2026636000.0,-1389727000.0,
Operating Cash Flow,989165000.0,4568077000.0,1005600000.0,5336474000.0,
Taxes Refund Paid,-73946000.0,-258522000.0,-1185780000.0,-1768479000.0,
Interest Paid Cfo,-547721000.0,-555159000.0,-584431000.0,-343849000.0,
Change In Working Capital,-354522000.0,3586523000.0,-2522484000.0,-3636632000.0,
Change In Other Current Liabilities,-317773000.0,-432572000.0,-25804000.0,27925000.0,
Change In Other Current Assets,-585331000.0,-267398000.0,-183895000.0,83686000.0,
Change In Payable,-339436000.0,622583000.0,851668000.0,1679017000.0,
Change In Prepaid Assets,3964000.0,617768000.0,-620917000.0,83713000.0,
Change In Inventory,201717000.0,2271346000.0,-2496568000.0,-3695605000.0,
Change In Receivables,364564000.0,342224000.0,-72772000.0,-1585453000.0,
Other Non Cash Items,595827000.0,400165000.0,363995000.0,259972000.0,
Provisionand Write Offof Assets,127732000.0,38529000.0,-160217000.0,-1550175000.0,
Deferred Tax,-98946000.0,-474543000.0,1186025000.0,2276323000.0,
Depreciation And Amortization,1226067000.0,1061971000.0,902681000.0,982741000.0,
Amortization Cash Flow,,61791000.0,41566000.0,,
Depreciation,1226067000.0,1061971000.0,861115000.0,982741000.0,
Pension And Employee Benefit Expense,70602000.0,-434814000.0,111263000.0,-234967000.0,
Gain Loss On Investment Securities,,175211000.0,-15263000.0,44896000.0,
Net Foreign Currency Exchange Gain Loss,416391000.0,-35641000.0,-216839000.0,-815507000.0,
Gain Loss On Sale Of PPE,-1265000.0,-11658000.0,-74212000.0,-64974000.0,
Net Income From Continuing Operations,3362000.0,1640368000.0,2092889000.0,10059954000.0,
