,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-2735076000.0,-3242411000.0,-2397580000.0,-4924031000.0,
Repurchase Of Capital Stock,-106862000.0,0.0,-600000.0,0.0,
Repayment Of Debt,-707997000.0,-566504000.0,-295209000.0,-498834000.0,
Issuance Of Debt,2638122000.0,3030426000.0,1164192000.0,3799329000.0,
Issuance Of Capital Stock,0.0,106051000.0,623862000.0,1941177000.0,
Capital Expenditure,-32258000.0,-842000.0,-78608000.0,-51586000.0,
End Cash Position,152938000.0,73517000.0,84498000.0,153161000.0,
Other Cash Adjustment Outside Changein Cash,1000.0,,,,
Beginning Cash Position,97768000.0,60786000.0,153161000.0,18405000.0,
Changes In Cash,55169000.0,12731000.0,-68663000.0,134756000.0,
Financing Cash Flow,2858936000.0,3254661000.0,2391269000.0,5085719000.0,
Net Other Financing Charges,1376241000.0,931612000.0,899024000.0,34853000.0,
Cash Dividends Paid,-340568000.0,-246924000.0,,-190806000.0,-159377000.0
Common Stock Dividend Paid,,-247307000.0,0.0,,
Net Common Stock Issuance,-106862000.0,106051000.0,623262000.0,1941177000.0,
Common Stock Payments,-106862000.0,0.0,-600000.0,0.0,
Common Stock Issuance,0.0,106051000.0,623862000.0,1941177000.0,
Net Issuance Payments Of Debt,1930125000.0,2463922000.0,868983000.0,3300495000.0,
Net Long Term Debt Issuance,1930125000.0,2463922000.0,868983000.0,3300495000.0,
Long Term Debt Payments,-707997000.0,-566504000.0,-295209000.0,-498834000.0,
Long Term Debt Issuance,2638122000.0,3030426000.0,1164192000.0,3799329000.0,
Investing Cash Flow,-100949000.0,-361000.0,-140960000.0,-78518000.0,
Net Other Investing Changes,-68691000.0,,,,
Dividends Received Cfi,,0.0,0.0,0.0,
Net Business Purchase And Sale,0.0,0.0,-62352000.0,-26932000.0,
Sale Of Business,,0.0,0.0,0.0,
Purchase Of Business,0.0,0.0,-62352000.0,-26932000.0,
Net Intangibles Purchase And Sale,-217000.0,-842000.0,-4637000.0,-4900000.0,
Purchase Of Intangibles,-217000.0,-842000.0,-4637000.0,-4900000.0,
Net PPE Purchase And Sale,-32041000.0,481000.0,-73971000.0,-46686000.0,
Sale Of PPE,,481000.0,,,
Purchase Of PPE,-32041000.0,-99756000.0,-73971000.0,-46686000.0,
Operating Cash Flow,-2702818000.0,-3241569000.0,-2318972000.0,-4872445000.0,
Taxes Refund Paid,-5356000.0,-5282000.0,-98453000.0,-52877000.0,
Interest Paid Cfo,-1231753000.0,-833032000.0,-593869000.0,-222406000.0,
Change In Working Capital,-99517000.0,-2291467000.0,998900000.0,-224281000.0,
Change In Other Current Liabilities,213998000.0,-28611000.0,92279000.0,114719000.0,
Change In Other Current Assets,-111862000.0,35877000.0,-128405000.0,99341000.0,
Change In Accrued Expense,,,,19323000.0,6450000.0
Change In Payable,122857000.0,-1953599000.0,2059052000.0,64150000.0,
Change In Inventory,28873000.0,28988000.0,-372416000.0,-171795000.0,
Change In Receivables,-353383000.0,-374122000.0,-651610000.0,-330696000.0,
Other Non Cash Items,629655000.0,643003000.0,1152749000.0,484035000.0,
Stock Based Compensation,,0.0,13000.0,118000.0,273000.0
Provisionand Write Offof Assets,185045000.0,84225000.0,33620000.0,21374000.0,
Deferred Tax,,-1270000.0,-1761000.0,-2529000.0,-2071000.0
Depreciation And Amortization,750613000.0,547118000.0,321955000.0,296109000.0,
Depreciation,750613000.0,547118000.0,321955000.0,296109000.0,
Gain Loss On Investment Securities,-41702000.0,246017000.0,227261000.0,-136105000.0,
Gain Loss On Sale Of PPE,,78762000.0,6447000.0,1242000.0,23397000.0
Net Income From Continuing Operations,942610000.0,548591000.0,780987000.0,579835000.0,
