,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,3014000000.0,5505000000.0,536000000.0,1692000000.0,
Repurchase Of Capital Stock,-29000000.0,0.0,-234000000.0,-916000000.0,
Repayment Of Debt,-2101000000.0,-3174000000.0,-1170000000.0,-2036000000.0,
Issuance Of Debt,5925000000.0,1836000000.0,4742000000.0,6761000000.0,
Capital Expenditure,-1134000000.0,-742000000.0,-727000000.0,-584000000.0,
End Cash Position,10480000000.0,6666000000.0,4145000000.0,3625000000.0,
Beginning Cash Position,6666000000.0,4145000000.0,3625000000.0,3358000000.0,
Effect Of Exchange Rate Changes,174000000.0,-54000000.0,28000000.0,0.0,
Changes In Cash,3640000000.0,2575000000.0,492000000.0,267000000.0,
Financing Cash Flow,325000000.0,-4117000000.0,1240000000.0,406000000.0,
Net Other Financing Charges,-535000000.0,-801000000.0,-539000000.0,-73000000.0,
Interest Paid Cff,-1314000000.0,-1447000000.0,-943000000.0,-351000000.0,
Cash Dividends Paid,-1528000000.0,-401000000.0,-490000000.0,-2761000000.0,
Common Stock Dividend Paid,,,,,-1080000000.0
Net Common Stock Issuance,-29000000.0,0.0,-234000000.0,-916000000.0,
Common Stock Payments,-29000000.0,0.0,-234000000.0,-916000000.0,
Net Issuance Payments Of Debt,3824000000.0,-1338000000.0,3572000000.0,4725000000.0,
Net Long Term Debt Issuance,3824000000.0,-1338000000.0,3572000000.0,4725000000.0,
Long Term Debt Payments,-2101000000.0,-3174000000.0,-1170000000.0,-2036000000.0,
Long Term Debt Issuance,5925000000.0,1836000000.0,4742000000.0,6761000000.0,
Investing Cash Flow,-833000000.0,445000000.0,-2011000000.0,-2415000000.0,
Net Other Investing Changes,488000000.0,1271000000.0,361000000.0,185000000.0,
Dividends Received Cfi,7000000.0,137000000.0,53000000.0,15000000.0,
Net Investment Purchase And Sale,-8000000.0,0.0,0.0,-1998000000.0,
Sale Of Investment,,,,,0.0
Purchase Of Investment,-8000000.0,0.0,0.0,-1998000000.0,
Net Business Purchase And Sale,-155000000.0,-190000000.0,-1693000000.0,-62000000.0,
Purchase Of Business,-155000000.0,-190000000.0,-1693000000.0,-62000000.0,
Net PPE Purchase And Sale,-1134000000.0,-742000000.0,-727000000.0,-584000000.0,
Purchase Of PPE,-1134000000.0,-742000000.0,-727000000.0,-584000000.0,
Capital Expenditure Reported,,,,,-606000000.0
Operating Cash Flow,4148000000.0,6247000000.0,1263000000.0,2276000000.0,
Taxes Refund Paid,-64000000.0,-52000000.0,-478000000.0,-1000000.0,
Change In Working Capital,-1583000000.0,950000000.0,-2644000000.0,-2965000000.0,
Change In Other Current Assets,-111000000.0,119000000.0,-162000000.0,-383000000.0,
Change In Payable,-2182000000.0,-14000000.0,622000000.0,1468000000.0,
Change In Prepaid Assets,-442000000.0,-791000000.0,-830000000.0,-736000000.0,
Change In Inventory,-149000000.0,797000000.0,-1078000000.0,-2117000000.0,
Change In Receivables,1590000000.0,1136000000.0,-865000000.0,-988000000.0,
Other Non Cash Items,2337000000.0,1542000000.0,1332000000.0,494000000.0,
Provisionand Write Offof Assets,1267000000.0,1914000000.0,1458000000.0,1674000000.0,
Deferred Tax,-3000000000.0,-1784000000.0,-350000000.0,386000000.0,
Depreciation And Amortization,554000000.0,554000000.0,553000000.0,559000000.0,
Depreciation,554000000.0,554000000.0,553000000.0,559000000.0,
Pension And Employee Benefit Expense,129000000.0,111000000.0,243000000.0,-30000000.0,
Gain Loss On Investment Securities,-1250000000.0,9000000.0,733000000.0,60000000.0,
Net Income From Continuing Operations,6367000000.0,4766000000.0,1537000000.0,2497000000.0,
