,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-151138000.0,-1197896000.0,273430000.0,88347000.0,
Repurchase Of Capital Stock,-18721000.0,0.0,-40448000.0,0.0,
Repayment Of Debt,-896578000.0,-317849000.0,-263641000.0,-657030000.0,
Issuance Of Debt,1450420000.0,252120000.0,1388622000.0,1589108000.0,
Issuance Of Capital Stock,0.0,778348000.0,0.0,652870000.0,
Capital Expenditure,-185288000.0,-302271000.0,-259321000.0,-126195000.0,
End Cash Position,543666000.0,472702000.0,1042561000.0,1364846000.0,
Beginning Cash Position,472702000.0,1042558000.0,1364846000.0,937334000.0,
Changes In Cash,70964000.0,-569856000.0,-322285000.0,427512000.0,
Financing Cash Flow,309606000.0,325377000.0,903905000.0,1523104000.0,
Net Other Financing Charges,-93731000.0,-212044000.0,-22457000.0,-25362000.0,
Interest Paid Cff,,-74742000.0,-67985000.0,0.0,
Cash Dividends Paid,-43482000.0,-74742000.0,-45000000.0,,
Common Stock Dividend Paid,,,-45000000.0,0.0,
Net Common Stock Issuance,-18721000.0,778348000.0,-40448000.0,652870000.0,
Common Stock Payments,-18721000.0,0.0,-40448000.0,0.0,
Common Stock Issuance,0.0,778348000.0,0.0,652870000.0,
Net Issuance Payments Of Debt,553842000.0,-65729000.0,1124981000.0,932078000.0,
Net Long Term Debt Issuance,553842000.0,-65729000.0,1124981000.0,932078000.0,
Long Term Debt Payments,-896578000.0,-317849000.0,-263641000.0,-657030000.0,
Long Term Debt Issuance,1450420000.0,252120000.0,1388622000.0,1589108000.0,
Investing Cash Flow,-272792000.0,392000.0,-1758941000.0,-1310134000.0,
Net Other Investing Changes,-57703000.0,444702000.0,-166921000.0,-741379000.0,
Dividends Received Cfi,0.0,0.0,0.0,0.0,
Net Investment Purchase And Sale,0.0,-73886000.0,-1332699000.0,-442560000.0,
Purchase Of Investment,0.0,-73886000.0,-1332699000.0,-442560000.0,
Net Business Purchase And Sale,-29801000.0,-68153000.0,0.0,0.0,
Sale Of Business,65000000.0,0.0,0.0,0.0,
Purchase Of Business,-94801000.0,-68153000.0,0.0,0.0,
Net Intangibles Purchase And Sale,-103666000.0,-134176000.0,-107078000.0,-48242000.0,
Purchase Of Intangibles,-103666000.0,-134176000.0,-107078000.0,-48242000.0,
Net PPE Purchase And Sale,-81622000.0,-168095000.0,-152243000.0,-77953000.0,
Sale Of PPE,,,,0.0,3324000.0
Purchase Of PPE,-81622000.0,-168095000.0,-152243000.0,-77953000.0,
Operating Cash Flow,34150000.0,-895625000.0,532751000.0,214542000.0,
Taxes Refund Paid,-23967000.0,-73513000.0,-58476000.0,-28664000.0,
Interest Paid Cfo,-412760000.0,-450516000.0,-245009000.0,-78884000.0,
Change In Working Capital,-195818000.0,-1298460000.0,-17313000.0,-243411000.0,
Change In Other Current Liabilities,-14812000.0,-63664000.0,-28159000.0,-97967000.0,
Change In Other Current Assets,29827000.0,103773000.0,23534000.0,31968000.0,
Change In Accrued Expense,,,,290000.0,-14024000.0
Change In Payable,-389625000.0,8995000.0,360133000.0,93143000.0,
Change In Inventory,-138816000.0,-684335000.0,-53064000.0,-162697000.0,
Change In Receivables,317608000.0,-663229000.0,-319757000.0,-107858000.0,
Other Non Cash Items,1062929000.0,532950000.0,407149000.0,332153000.0,
Stock Based Compensation,4415000.0,6944000.0,4511000.0,0.0,
Provisionand Write Offof Assets,414487000.0,28497000.0,6407000.0,-296029000.0,
Deferred Tax,-178259000.0,-221419000.0,-59804000.0,13696000.0,
Depreciation And Amortization,311127000.0,260611000.0,176359000.0,98189000.0,
Depreciation,311127000.0,260611000.0,176359000.0,98189000.0,
Gain Loss On Investment Securities,-73774000.0,-24336000.0,43350000.0,15724000.0,
Net Foreign Currency Exchange Gain Loss,,,,,6518000.0
Gain Loss On Sale Of PPE,,7149000.0,6352000.0,2277000.0,4404000.0
Gain Loss On Sale Of Business,0.0,-16668000.0,0.0,,
Net Income From Continuing Operations,-1415491000.0,359916000.0,259733000.0,395155000.0,
