Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-12-11,2522168.5097439163,2522168.5097439163,1919041.1249999998,1919041.125,0,0.0,0.0
2002-12-12,2522168.5097439163,2522168.5097439163,1919041.1249999998,1919041.125,0,0.0,0.0
2002-12-13,2522168.5097439163,2522168.5097439163,1919041.1249999998,1919041.125,0,0.0,0.0
2002-12-16,2522168.5097439163,2522168.5097439163,1919041.1249999998,1919041.125,0,0.0,0.0
2002-12-17,2193189.25,2193189.25,2193189.25,2193189.25,2,0.0,0.0
2002-12-18,2193189.25,2193189.25,2193189.25,2193189.25,1,0.0,0.0
2002-12-19,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2002-12-20,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2002-12-23,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2002-12-24,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2002-12-25,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2002-12-26,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2002-12-27,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2002-12-30,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2002-12-31,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-01-01,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-01-02,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-01-03,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-01-06,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-01-07,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-01-08,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-01-09,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-01-10,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-01-13,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-01-14,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-01-15,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-01-16,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-01-17,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-01-20,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-01-21,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-01-22,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-01-23,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-01-24,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-01-27,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-01-28,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-01-29,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-01-30,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-01-31,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-02-03,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-02-04,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-02-05,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-02-06,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-02-07,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-02-10,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-02-11,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-02-12,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-02-13,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-02-14,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-02-17,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-02-18,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-02-19,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-02-20,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-02-21,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-02-24,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-02-25,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-02-26,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-02-27,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-02-28,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-03-03,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-03-04,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-03-05,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-03-06,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-03-07,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-03-10,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-03-11,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-03-12,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-03-13,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-03-14,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
2003-03-17,2193189.25,2193189.25,2193189.25,2193189.25,0,0.0,0.0
